SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,870.5,897.4,865.5,894.95,896.5,865.15,151890,134625710.5,31-JUL-2020,5640,INE117A01022,
ABCAPITAL,EQ,55.6,55.75,54.0,54.1,54.4,55.5,1656358,90308259.05,31-JUL-2020,10928,INE674K01013,
ADANIENT,EQ,174.0,178.65,172.1,175.25,175.45,175.05,2644458,464369718.4,31-JUL-2020,21574,INE423A01024,
ADANIGREEN,EQ,340.05,348.9,338.0,340.65,341.7,341.45,452663,155460842.95,31-JUL-2020,9848,INE364U01010,
ADANIPORTS,EQ,315.0,318.15,312.75,315.2,315.15,312.5,1945026,613558478.65,31-JUL-2020,26265,INE742F01042,
ADANIPOWER,EQ,35.95,36.25,35.1,35.4,35.4,35.5,3255265,115910508.4,31-JUL-2020,6990,INE814H01011,
ALKEM,EQ,2559.6,2718.35,2545.0,2662.1,2656.6,2545.5,450832,1189496363.1,31-JUL-2020,27149,INE540L01014,
AMBER,EQ,1495.0,1521.85,1465.9,1482.5,1473.4,1469.3,141356,209968514.5,31-JUL-2020,10354,INE371P01015,
AMBUJACEM,EQ,221.25,225.5,217.6,220.1,219.6,221.25,6638453,1468266875.7,31-JUL-2020,52538,INE079A01024,
APLAPOLLO,EQ,1830.3,1862.6,1800.1,1841.0,1801.05,1821.15,70360,130341767.75,31-JUL-2020,5113,INE702C01019,
APOLLOHOSP,EQ,1717.05,1717.05,1643.5,1674.6,1679.9,1716.15,885944,1486646692.35,31-JUL-2020,36306,INE437A01024,
ASHOKLEY,EQ,49.25,49.4,48.0,48.65,48.75,49.15,24647307,1196433920.9,31-JUL-2020,59380,INE208A01029,
ASIANPAINT,EQ,1754.0,1770.9,1710.4,1715.5,1720.0,1743.35,1678643,2922735772.3,31-JUL-2020,70295,INE021A01026,
ASTRAL,EQ,943.0,968.5,935.15,964.5,968.5,941.6,92888,89083707.15,31-JUL-2020,3912,INE006I01046,
AUBANK,EQ,694.95,744.55,680.6,740.45,737.5,709.1,767573,556399513.1,31-JUL-2020,20025,INE949L01017,
AUROPHARMA,EQ,821.0,881.0,820.0,874.6,875.5,820.75,7948319,6822154909.15,31-JUL-2020,147389,INE406A01037,
AXISBANK,EQ,429.0,434.45,421.3,431.65,432.9,425.85,27499643,11792993542.65,31-JUL-2020,231122,INE238A01034,
BAJAJ-AUTO,EQ,3068.85,3077.9,2991.6,3004.95,3000.0,3048.95,561196,1696393602.75,31-JUL-2020,35568,INE917I01010,
BAJAJFINSV,EQ,6220.0,6305.0,6120.0,6205.9,6213.0,6177.6,749710,4665468757.2,31-JUL-2020,67163,INE918I01018,
BAJAJHLDNG,EQ,2658.0,2676.0,2602.55,2656.1,2635.5,2649.65,73788,193645010.35,31-JUL-2020,3925,INE118A01012,
BAJFINANCE,EQ,3236.0,3273.0,3181.25,3251.3,3258.0,3218.3,7235401,23388003254.3,31-JUL-2020,245994,INE296A01024,
BANDHANBNK,EQ,338.0,348.0,329.0,345.1,344.4,338.1,8836933,2978468440.85,31-JUL-2020,88657,INE545U01014,
BANKBARODA,EQ,46.0,47.2,45.45,46.8,46.75,45.95,31805020,1475084157.5,31-JUL-2020,61627,INE028A01039,
BANKINDIA,EQ,46.5,47.7,45.7,47.05,47.1,46.35,2236543,104233730.85,31-JUL-2020,8944,INE084A01016,
BDL,EQ,386.0,391.05,376.8,384.85,384.3,383.65,409979,157610492.8,31-JUL-2020,16458,INE171Z01018,
BEL,EQ,95.8,96.75,93.75,95.85,96.2,95.65,14677625,1398673527.4,31-JUL-2020,62192,INE263A01024,
BHARATFORG,EQ,385.3,389.6,380.15,381.95,381.55,385.25,2639052,1012149468.1,31-JUL-2020,33386,INE465A01025,
BHARTIARTL,EQ,550.9,559.3,546.3,554.85,555.1,552.7,13661601,7585466560.6,31-JUL-2020,149948,INE397D01024,
BHEL,EQ,36.8,36.95,35.75,35.95,36.15,36.8,37100469,1343727602.55,31-JUL-2020,51266,INE257A01026,
BIOCON,EQ,408.0,412.8,400.8,409.6,410.45,403.45,7274624,2968680992.6,31-JUL-2020,82890,INE376G01013,
BLUESTARCO,EQ,486.5,489.9,474.5,486.4,485.0,488.95,33196,16057112.05,31-JUL-2020,1602,INE472A01039,
BOSCHLTD,EQ,13076.55,13199.0,12955.3,13078.65,13150.0,12983.85,16982,221879677.75,31-JUL-2020,5646,INE323A01026,
BPCL,EQ,421.1,428.0,410.9,413.8,414.0,419.1,11189905,4669672859.1,31-JUL-2020,149970,INE029A01011,
BRITANNIA,EQ,3811.0,3860.0,3801.1,3823.6,3831.0,3805.95,681895,2610744470.05,31-JUL-2020,47880,INE216A01030,
BSE,EQ,505.0,522.0,499.0,514.95,515.15,503.2,417081,213709731.15,31-JUL-2020,11088,INE118H01025,
CANBK,EQ,99.2,102.45,98.35,101.85,101.95,99.35,14254944,1430404156.1,31-JUL-2020,46990,INE476A01014,
CDSL,EQ,344.5,358.0,341.0,349.1,350.0,347.85,1204938,422019474.4,31-JUL-2020,20856,INE736A01011,
CGPOWER,EQ,9.3,9.3,9.15,9.3,9.3,8.9,1122772,10426592.05,31-JUL-2020,1075,INE067A01029,
CHOLAFIN,EQ,216.2,216.9,200.5,202.5,202.8,214.2,12415404,2553905254.8,31-JUL-2020,111968,INE121A01024,
CIPLA,EQ,687.0,724.0,687.0,720.15,721.0,685.95,18897332,13446763108.25,31-JUL-2020,242751,INE059A01026,
COALINDIA,EQ,128.95,130.0,127.55,129.25,129.55,128.6,5310134,683780289.9,31-JUL-2020,39395,INE522F01014,
COCHINSHIP,EQ,336.0,337.9,328.0,328.85,329.0,335.45,223165,74159611.15,31-JUL-2020,5116,INE704P01017,
COLPAL,EQ,1438.0,1454.9,1413.55,1423.3,1423.0,1434.45,765088,1094602988.9,31-JUL-2020,30522,INE259A01022,
CONCOR,EQ,447.0,453.5,439.65,451.1,450.2,449.95,1333011,595228493.5,31-JUL-2020,30609,INE111A01025,
CROMPTON,EQ,245.0,246.8,242.45,244.1,246.2,245.05,497252,121742009.7,31-JUL-2020,24938,INE299U01018,
CUMMINSIND,EQ,400.0,404.5,391.0,401.65,400.8,397.85,1151392,457013318.35,31-JUL-2020,13778,INE298A01020,
DABUR,EQ,496.0,515.0,494.05,513.55,512.75,491.9,8509912,4325246028.3,31-JUL-2020,99442,INE016A01026,
DALBHARAT,EQ,754.7,774.75,752.0,760.65,760.9,748.2,101022,77005533.95,31-JUL-2020,5047,INE00R701025,
DIVISLAB,EQ,2570.0,2645.6,2557.0,2616.55,2613.85,2562.35,2699006,7048721951.35,31-JUL-2020,119645,INE361B01024,
DIXON,EQ,7499.9,7729.9,7217.1,7633.7,7680.0,7051.25,154277,1150598360.4,31-JUL-2020,29075,INE935N01012,
DLF,EQ,140.95,142.75,139.0,141.15,141.2,140.1,7720316,1088306828.95,31-JUL-2020,43212,INE271C01023,
DMART,EQ,2046.0,2075.0,2033.05,2063.45,2060.05,2040.2,423797,873590637.9,31-JUL-2020,39860,INE192R01011,
DRREDDY,EQ,4479.0,4550.85,4455.4,4521.05,4523.75,4516.6,1582134,7140170816.5,31-JUL-2020,91846,INE089A01023,
EICHERMOT,EQ,21441.35,21486.6,20567.0,20638.7,20620.0,21201.35,219061,4573390396.95,31-JUL-2020,51387,INE066A01013,
FEDERALBNK,EQ,54.2,54.65,53.1,53.9,53.85,54.15,23229970,1249367466.2,31-JUL-2020,43144,INE171A01029,
FORCEMOT,EQ,899.85,919.9,884.0,887.65,886.0,899.8,16703,14895652.85,31-JUL-2020,1662,INE451A01017,
FORTIS,EQ,138.95,138.95,136.7,138.0,138.2,138.5,1461076,201309224.45,31-JUL-2020,8976,INE061F01013,
GAIL,EQ,96.7,98.2,96.25,96.65,96.8,96.6,6660302,645004620.5,31-JUL-2020,32349,INE129A01019,
GLENMARK,EQ,444.1,458.5,437.0,452.35,450.55,441.4,9865112,4444533153.95,31-JUL-2020,143925,INE935A01035,
GODFRYPHLP,EQ,920.0,932.45,911.0,916.6,914.95,916.1,38830,35683083.25,31-JUL-2020,2649,INE260B01028,
GODREJCP,EQ,683.0,695.0,678.8,691.85,693.0,682.65,1127724,776915070.85,31-JUL-2020,26083,INE102D01028,
GODREJPROP,EQ,872.85,939.0,856.4,926.6,934.0,870.35,599329,539379155.2,31-JUL-2020,25139,INE484J01027,
GRASIM,EQ,606.35,636.9,602.0,633.05,633.0,602.95,4750804,2963981069.1,31-JUL-2020,71736,INE047A01021,
HAL,EQ,884.8,884.8,865.65,872.45,872.0,879.9,115965,101230550.7,31-JUL-2020,6650,INE066F01012,
HAVELLS,EQ,578.5,590.0,575.05,583.15,584.0,578.5,1645272,960778206.3,31-JUL-2020,40480,INE176B01034,
HCLTECH,EQ,701.85,716.7,696.0,705.2,706.0,695.45,6322672,4473786956.25,31-JUL-2020,115232,INE860A01027,
HDFCAMC,EQ,2411.75,2428.0,2387.7,2419.65,2420.0,2411.75,217996,524480745.0,31-JUL-2020,23706,INE127D01025,
HDFCBANK,EQ,1057.7,1057.7,1020.05,1032.8,1033.25,1050.65,18865230,19458084557.5,31-JUL-2020,325344,INE040A01034,
HDFCLIFE,EQ,628.7,637.9,619.05,627.1,627.0,635.1,3775023,2370582030.45,31-JUL-2020,86250,INE795G01014,
HEROMOTOCO,EQ,2705.0,2709.7,2646.45,2676.5,2670.25,2703.95,1260570,3366477412.65,31-JUL-2020,95512,INE158A01026,
HINDALCO,EQ,161.9,164.5,159.6,163.1,164.0,162.0,9872796,1598004422.8,31-JUL-2020,51131,INE038A01020,
HINDPETRO,EQ,222.95,225.75,213.8,215.0,215.05,223.05,6454986,1406879685.9,31-JUL-2020,81782,INE094A01015,
HINDUNILVR,EQ,2197.5,2221.95,2178.0,2209.9,2210.0,2195.6,1715834,3787813006.35,31-JUL-2020,59984,INE030A01027,
