SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
360ONE,EQ,427.0,432.85,411.15,428.65,431.0,429.1,119069,50707948.9,27-MAR-2023,7141,INE466L01038,
ABB,EQ,3354.0,3368.9,3313.8,3324.6,3337.0,3346.7,171779,574017881.65,27-MAR-2023,23981,INE117A01022,
ABCAPITAL,EQ,143.45,147.6,139.25,146.0,147.0,144.05,11289841,1631441249.4,27-MAR-2023,39146,INE674K01013,
ADANIENT,EQ,1740.65,1757.4,1682.0,1723.05,1721.35,1740.65,5053055,8707723637.95,27-MAR-2023,225632,INE423A01024,
ADANIGREEN,EQ,1060.0,1074.5,977.9,984.9,977.9,1029.35,7656812,7822689656.35,27-MAR-2023,301693,INE364U01010,
ADANIPORTS,EQ,638.0,644.85,625.5,629.1,626.85,638.0,5621870,3557807063.85,27-MAR-2023,84603,INE742F01042,
ADANIPOWER,EQ,195.6,195.6,183.0,183.0,183.0,192.6,8057710,1497960982.35,27-MAR-2023,87250,INE814H01011,
ALKEM,EQ,3170.3,3265.0,3157.85,3227.95,3220.0,3153.75,171827,555458247.25,27-MAR-2023,17460,INE540L01014,
AMBER,EQ,1812.1,1824.65,1762.5,1790.95,1798.0,1812.1,68598,122785968.2,27-MAR-2023,8717,INE371P01015,
AMBUJACEM,EQ,372.6,374.8,367.45,370.0,370.5,371.8,6288107,2331156180.05,27-MAR-2023,58329,INE079A01024,
ANGELONE,EQ,1135.0,1140.35,1114.25,1125.4,1121.5,1131.95,393607,443887826.75,27-MAR-2023,14612,INE732I01013,
APLAPOLLO,EQ,1216.75,1216.75,1185.6,1190.05,1190.25,1208.95,297995,357318881.35,27-MAR-2023,13203,INE702C01027,
APOLLOHOSP,EQ,4304.7,4407.9,4277.0,4318.1,4304.95,4283.35,495895,2157026637.45,27-MAR-2023,39698,INE437A01024,
ASHOKLEY,EQ,137.0,137.2,133.4,134.6,134.3,137.65,8383012,1130317657.25,27-MAR-2023,75132,INE208A01029,
ASIANPAINT,EQ,2798.5,2820.0,2786.5,2803.75,2802.1,2798.5,791560,2218267432.5,27-MAR-2023,54933,INE021A01026,
ASTRAL,EQ,1329.95,1345.95,1317.15,1322.3,1321.0,1333.55,288500,385094731.7,27-MAR-2023,25105,INE006I01046,
AUBANK,EQ,562.0,572.75,560.05,566.9,564.15,559.9,1373334,778322011.55,27-MAR-2023,66693,INE949L01017,
AUROPHARMA,EQ,500.55,519.0,500.1,511.4,509.25,500.45,5489577,2816759945.85,27-MAR-2023,88005,INE406A01037,
AXISBANK,EQ,841.05,842.2,829.2,833.35,832.0,839.9,10602508,8856424106.65,27-MAR-2023,220621,INE238A01034,
BAJAJ-AUTO,EQ,3834.95,3844.3,3800.0,3807.55,3800.0,3827.9,198811,759462780.7,27-MAR-2023,15729,INE917I01010,
BAJAJFINSV,EQ,1245.0,1251.6,1226.65,1239.1,1239.0,1240.65,1553877,1928495490.5,27-MAR-2023,55473,INE918I01026,
BAJAJHLDNG,EQ,6059.9,6084.85,6021.0,6042.35,6055.0,6034.25,16474,99534752.85,27-MAR-2023,3622,INE118A01012,
BAJFINANCE,EQ,5698.0,5725.0,5584.55,5593.05,5596.4,5649.25,1118743,6300112522.1,27-MAR-2023,98226,INE296A01024,
BANDHANBNK,EQ,204.0,205.75,196.8,197.8,197.35,203.1,7024491,1408929303.85,27-MAR-2023,63178,INE545U01014,
BANKBARODA,EQ,159.5,162.4,158.5,161.25,160.6,159.8,50783785,8160548615.55,27-MAR-2023,104169,INE028A01039,
BANKINDIA,EQ,70.85,71.5,67.6,69.05,68.95,70.35,11732479,807800133.9,27-MAR-2023,45668,INE084A01016,
BDL,EQ,899.3,907.35,890.1,900.1,898.0,895.15,435783,392330918.15,27-MAR-2023,20933,INE171Z01018,
BEL,EQ,93.1,93.75,91.35,91.75,91.65,91.55,15959308,1474817808.85,27-MAR-2023,60628,INE263A01024,
BHARATFORG,EQ,765.0,769.5,754.75,757.15,758.9,764.8,588990,449128007.4,27-MAR-2023,16946,INE465A01025,
BHARTIARTL,EQ,763.0,769.7,759.35,761.75,759.35,762.45,2258853,1728191028.85,27-MAR-2023,77864,INE397D01024,
BHEL,EQ,72.1,72.3,70.65,71.05,71.0,71.8,9250889,659613503.95,27-MAR-2023,24446,INE257A01026,
BIOCON,EQ,199.05,207.9,198.85,206.65,205.5,198.7,11575501,2376941669.35,27-MAR-2023,86057,INE376G01013,
BLUESTARCO,EQ,1425.95,1444.95,1400.0,1405.85,1407.0,1428.7,39260,55867551.3,27-MAR-2023,6525,INE472A01039,
BOSCHLTD,EQ,18502.0,18650.0,18301.05,18341.85,18350.0,18452.65,24228,447397263.95,27-MAR-2023,7265,INE323A01026,
BPCL,EQ,344.1,346.9,342.7,344.85,343.95,345.4,2122963,733119160.3,27-MAR-2023,29100,INE029A01011,
BRITANNIA,EQ,4224.05,4245.3,4198.8,4214.8,4202.0,4199.95,283791,1196957331.7,27-MAR-2023,32403,INE216A01030,
BSE,EQ,425.45,427.7,410.15,412.45,412.3,425.45,731422,305410412.9,27-MAR-2023,24942,INE118H01025,
CAMS,EQ,2115.0,2128.85,2045.0,2060.8,2051.0,2132.8,76464,159463130.45,27-MAR-2023,13062,INE596I01012,
CANBK,EQ,274.95,279.2,272.5,277.2,277.0,273.8,6354846,1757212551.3,27-MAR-2023,41742,INE476A01014,
CDSL,EQ,930.0,935.0,905.0,911.25,908.25,940.25,434057,399265953.7,27-MAR-2023,35027,INE736A01011,
CGPOWER,EQ,290.0,291.9,284.1,287.7,289.15,288.75,1469877,421858854.05,27-MAR-2023,70080,INE067A01029,
CHOLAFIN,EQ,727.65,729.95,709.9,715.85,715.95,727.65,1826050,1307824704.0,27-MAR-2023,44642,INE121A01024,
CIPLA,EQ,881.05,891.35,876.05,889.3,889.55,877.25,3986238,3533455834.9,27-MAR-2023,72124,INE059A01026,
COALINDIA,EQ,208.5,210.2,207.6,208.4,208.4,208.45,4002212,836542001.05,27-MAR-2023,48184,INE522F01014,
COCHINSHIP,EQ,434.7,435.0,410.4,414.0,413.0,432.7,309481,130615954.85,27-MAR-2023,10624,INE704P01017,
COFORGE,EQ,3666.0,3723.0,3622.95,3635.75,3641.4,3700.5,272941,1001594726.6,27-MAR-2023,29354,INE591G01017,
COLPAL,EQ,1504.95,1511.95,1490.1,1500.45,1499.8,1500.95,190364,286096131.05,27-MAR-2023,15508,INE259A01022,
CONCOR,EQ,580.6,586.25,571.75,579.05,578.7,583.25,688050,398864651.4,27-MAR-2023,16673,INE111A01025,
CROMPTON,EQ,297.95,302.45,291.5,295.95,295.1,293.75,2999343,883796689.95,27-MAR-2023,31823,INE299U01018,
CUMMINSIND,EQ,1619.0,1625.0,1580.95,1585.55,1587.75,1622.15,560710,896652800.0,27-MAR-2023,62018,INE298A01020,
DABUR,EQ,534.2,546.0,534.2,541.45,541.5,536.4,1319154,714630179.7,27-MAR-2023,36007,INE016A01026,
DALBHARAT,EQ,1836.4,1874.95,1827.5,1869.3,1864.1,1831.1,302618,562128917.05,27-MAR-2023,17629,INE00R701025,
DELHIVERY,EQ,323.65,333.7,323.35,327.5,323.4,323.65,1158613,382029347.45,27-MAR-2023,23425,INE148O01028,
DIVISLAB,EQ,2809.95,2859.9,2808.0,2829.2,2833.0,2807.0,435250,1235170455.5,27-MAR-2023,44731,INE361B01024,
DIXON,EQ,2881.45,2894.45,2788.15,2804.6,2800.0,2881.4,201382,572475871.05,27-MAR-2023,20767,INE935N01020,
DLF,EQ,355.2,357.45,347.45,348.8,348.75,354.25,2815174,991407505.5,27-MAR-2023,36233,INE271C01023,
DMART,EQ,3367.0,3369.0,3300.3,3306.8,3312.0,3358.4,211474,703540682.55,27-MAR-2023,23477,INE192R01011,
DRREDDY,EQ,4490.0,4528.65,4465.05,4485.65,4486.0,4464.15,351914,1583466061.95,27-MAR-2023,32739,INE089A01023,
EICHERMOT,EQ,2913.6,2929.0,2871.0,2885.55,2883.4,2909.6,375285,1086094603.9,27-MAR-2023,41149,INE066A01021,
FEDERALBNK,EQ,126.85,127.2,125.0,125.45,125.3,126.85,6549186,826696221.5,27-MAR-2023,50262,INE171A01029,
FORCEMOT,EQ,1153.25,1153.25,1102.3,1121.1,1114.0,1140.25,32156,35992562.3,27-MAR-2023,4441,INE451A01017,
FORTIS,EQ,252.25,261.2,251.1,255.15,254.8,254.85,1321291,337193703.35,27-MAR-2023,15138,INE061F01013,
GAIL,EQ,102.75,104.25,102.35,103.9,103.7,103.5,9550049,987920663.65,27-MAR-2023,32801,INE129A01019,
GLENMARK,EQ,424.0,442.5,424.0,439.35,439.0,425.7,1652089,720189573.05,27-MAR-2023,32363,INE935A01035,
GODFRYPHLP,EQ,1806.55,1823.7,1768.0,1788.55,1778.0,1814.25,42212,75632465.0,27-MAR-2023,8690,INE260B01028,
GODREJCP,EQ,950.05,965.55,948.45,961.6,960.0,951.2,1430957,1370108868.75,27-MAR-2023,46171,INE102D01028,
GODREJPROP,EQ,1043.35,1043.35,1015.0,1025.4,1025.0,1044.85,605092,620887104.9,27-MAR-2023,26039,INE484J01027,
GRASIM,EQ,1585.2,1647.95,1585.2,1630.95,1623.9,1594.3,627715,1020367044.05,27-MAR-2023,26946,INE047A01021,
HAL,EQ,2525.0,2636.0,2525.0,2629.05,2626.0,2567.5,2897073,7505670512.75,27-MAR-2023,140580,INE066F01012,
HAVELLS,EQ,1181.05,1189.35,1162.3,1167.9,1165.0,1181.45,269418,316992923.55,27-MAR-2023,13682,INE176B01034,
HCLTECH,EQ,1053.3,1065.5,1044.8,1051.5,1052.85,1051.75,1459887,1542401342.35,27-MAR-2023,63945,INE860A01027,
HDFCAMC,EQ,1670.0,1684.85,1633.5,1680.6,1677.95,1672.85,763224,1269438034.1,27-MAR-2023,34543,INE127D01025,
HDFCBANK,EQ,1562.2,1579.45,1558.9,1567.45,1560.7,1560.65,15936003,25010512320.0,27-MAR-2023,171004,INE040A01034,
HDFCLIFE,EQ,486.65,499.45,486.65,492.95,492.4,492.25,2412510,1194161315.3,27-MAR-2023,70548,INE795G01014,
HEROMOTOCO,EQ,2319.95,2330.9,2296.55,2308.6,2310.7,2313.35,238881,553068697.5,27-MAR-2023,18672,INE158A01026,
HINDALCO,EQ,390.0,396.6,389.4,389.95,389.55,388.4,7066058,2775521149.05,27-MAR-2023,86069,INE038A01020,
HINDPETRO,EQ,239.85,242.4,235.05,236.3,236.65,238.85,1445949,346088592.0,27-MAR-2023,16007,INE094A01015,
HINDUNILVR,EQ,2485.0,2505.0,2464.0,2499.0,2490.8,2480.8,1387736,3457696951.15,27-MAR-2023,65834,INE030A01027,
HINDZINC,EQ,326.5,329.7,324.05,329.1,329.65,323.1,2633761,861964851.65,27-MAR-2023,34572,INE267A01025,
ICICIBANK,EQ,854.95,856.4,844.05,848.7,846.9,852.4,17047675,14479194037.9,27-MAR-2023,218983,INE090A01021,
ICICIGI,EQ,1077.95,1084.2,1065.85,1074.25,1074.5,1076.4,394579,424686756.65,27-MAR-2023,19239,INE765G01017,
ICICIPRULI,EQ,420.85,421.35,417.0,419.45,419.55,420.25,1111860,466487803.2,27-MAR-2023,23737,INE726G01019,
IDEA,EQ,6.25,6.3,6.0,6.05,6.05,6.25,73481124,450284084.3,27-MAR-2023,56538,INE669E01016,
IDFCFIRSTB,EQ,53.85,54.0,52.8,53.05,53.0,54.1,21905394,1169327903.0,27-MAR-2023,37713,INE092T01019,
