SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,1252.0,1294.9,1244.75,1270.7,1271.0,1244.55,174204,222003102.4,07-MAR-2019,8476,INE117A01022,
ABCAPITAL,EQ,100.0,102.75,97.8,98.5,98.5,99.8,3375216,338764611.2,07-MAR-2019,43749,INE674K01013,
ADANIENT,EQ,139.0,140.95,135.3,136.9,136.95,139.25,3496617,483329484.25,07-MAR-2019,21476,INE423A01024,
ADANIGREEN,EQ,36.0,36.45,34.95,35.6,35.7,35.4,816819,28952368.55,07-MAR-2019,2698,INE364U01010,
ADANIPORTS,EQ,338.0,342.5,335.0,340.9,340.7,337.05,3047318,1035528452.75,07-MAR-2019,34043,INE742F01042,
ADANIPOWER,EQ,51.0,51.6,50.2,50.4,50.45,50.7,11306396,573865441.6,07-MAR-2019,21749,INE814H01011,
ALKEM,EQ,1758.95,1758.95,1745.0,1750.15,1750.0,1746.8,31521,55157167.75,07-MAR-2019,4919,INE540L01014,
AMBER,EQ,733.45,748.0,728.7,743.95,747.7,722.75,14356,10612308.7,07-MAR-2019,1417,INE371P01015,
AMBUJACEM,EQ,221.5,224.9,219.15,221.2,221.2,220.25,6193867,1382537097.1,07-MAR-2019,29082,INE079A01024,
APLAPOLLO,EQ,1390.0,1416.85,1371.05,1399.7,1399.0,1393.0,21413,29864780.65,07-MAR-2019,2185,INE702C01019,
APOLLOHOSP,EQ,1195.35,1202.0,1179.3,1186.95,1186.0,1192.75,642857,768046021.6,07-MAR-2019,32181,INE437A01024,
ASHOKLEY,EQ,90.95,92.1,89.4,90.9,91.3,90.6,23050857,2098386267.4,07-MAR-2019,77359,INE208A01029,
ASIANPAINT,EQ,1398.6,1405.5,1392.0,1395.45,1395.5,1393.7,746742,1044874189.65,07-MAR-2019,38260,INE021A01026,
ASTRAL,EQ,1174.8,1232.75,1166.0,1199.5,1200.0,1165.8,130082,156663673.75,07-MAR-2019,14227,INE006I01046,
