SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,601.1,608.8,580.0,585.35,581.0,607.85,68264,40547599.15,23-NOV-2011,4560,INE117A01022,
ADANIENT,EQ,310.0,319.0,293.1,295.6,295.2,314.5,903259,270696775.7,23-NOV-2011,25114,INE423A01024,
ADANIPOWER,EQ,74.6,74.75,71.4,71.75,71.5,74.6,242703,17517087.95,23-NOV-2011,3300,INE814H01011,
AMBUJACEM,EQ,145.5,148.3,144.75,146.55,146.4,148.2,1296678,189664203.6,23-NOV-2011,22608,INE079A01024,
APOLLOHOSP,EQ,560.05,574.0,553.1,569.5,568.0,559.3,73302,41545332.8,23-NOV-2011,4725,INE437A01024,
ASHOKLEY,EQ,24.85,25.1,24.3,24.9,24.85,24.85,3882037,96343922.95,23-NOV-2011,9405,INE208A01029,
ASIANPAINT,EQ,2918.1,2958.0,2826.25,2892.7,2900.0,2954.35,57920,166975492.65,23-NOV-2011,6646,INE021A01018,
ASTRAL,EQ,162.1,164.9,150.0,154.8,156.0,163.5,15430,2398553.15,23-NOV-2011,459,INE006I01020,
AUROPHARMA,EQ,83.2,91.45,83.2,90.1,89.6,89.4,2395556,208679351.45,23-NOV-2011,22407,INE406A01037,
AXISBANK,EQ,937.0,942.8,921.1,937.1,940.45,947.0,2621078,2442216087.0,23-NOV-2011,87834,INE238A01026,
BAJAJ-AUTO,EQ,1599.0,1611.95,1565.8,1600.05,1607.0,1600.1,434677,688716482.75,23-NOV-2011,28534,INE917I01010,
BAJAJFINSV,EQ,477.6,477.6,466.1,470.25,468.65,480.25,122339,57748648.3,23-NOV-2011,2331,INE918I01018,
BAJAJHLDNG,EQ,726.65,732.65,720.4,724.25,725.0,733.6,62417,45229404.9,23-NOV-2011,3086,INE118A01012,
BAJFINANCE,EQ,646.0,653.8,641.0,648.3,649.0,645.6,39041,25341900.25,23-NOV-2011,573,INE296A01016,
BANKBARODA,EQ,699.75,703.7,681.9,693.75,694.8,695.0,424837,292358978.7,23-NOV-2011,12721,INE028A01013,
