SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,1600.05,1665.0,1585.55,1653.2,1654.0,1605.8,125376,205742180.55,31-JAN-2018,9108,INE117A01022,
ABCAPITAL,EQ,170.7,172.8,169.85,170.85,171.25,170.0,1537405,263168879.8,31-JAN-2018,15640,INE674K01013,
ADANIENT,EQ,209.95,218.75,209.15,213.2,212.5,211.3,7732419,1660954266.6,31-JAN-2018,50590,INE423A01024,
ADANIPORTS,EQ,428.0,435.5,424.5,428.85,428.15,428.25,2734628,1174128901.75,31-JAN-2018,66100,INE742F01042,
ADANIPOWER,EQ,37.05,38.25,36.1,36.65,36.55,37.45,10959615,406446925.3,31-JAN-2018,17322,INE814H01011,
ALKEM,EQ,2188.3,2229.95,2188.0,2198.75,2200.0,2233.0,18474,40644208.8,31-JAN-2018,3079,INE540L01014,
AMBER,EQ,1232.9,1299.0,1215.0,1249.65,1251.5,1245.25,3002179,3815901415.7,31-JAN-2018,107416,INE371P01015,
AMBUJACEM,EQ,261.7,263.3,257.15,261.8,262.75,261.5,2708846,703941227.95,31-JAN-2018,23279,INE079A01024,
APLAPOLLO,EQ,2240.0,2240.0,2104.95,2143.4,2141.0,2255.3,89186,191871907.45,31-JAN-2018,9664,INE702C01019,
APOLLOHOSP,EQ,1135.0,1173.85,1135.0,1162.8,1162.0,1140.05,495268,576414111.2,31-JAN-2018,28725,INE437A01024,
ASHOKLEY,EQ,125.4,126.55,124.4,126.1,126.1,125.75,10040333,1257742795.3,31-JAN-2018,43286,INE208A01029,
ASIANPAINT,EQ,1128.0,1139.8,1124.0,1128.3,1130.8,1126.7,961596,1088925994.35,31-JAN-2018,37877,INE021A01026,
ASTRAL,EQ,774.25,814.0,764.05,798.75,796.15,774.25,19686,15673885.45,31-JAN-2018,2230,INE006I01046,
AUBANK,EQ,671.35,676.0,645.4,656.55,660.0,679.3,370497,242754116.25,31-JAN-2018,14286,INE949L01017,
AUROPHARMA,EQ,623.2,635.5,623.2,629.55,630.4,631.7,1877445,1183196625.05,31-JAN-2018,41152,INE406A01037,
AXISBANK,EQ,589.3,596.0,587.15,593.6,593.6,593.75,7108060,4204893323.1,31-JAN-2018,141039,INE238A01034,
BAJAJ-AUTO,EQ,3348.0,3385.8,3256.15,3337.15,3330.35,3358.3,275934,924013582.8,31-JAN-2018,30383,INE917I01010,
BAJAJFINSV,EQ,4861.0,4863.45,4736.45,4812.35,4791.0,4875.65,220161,1056380073.95,31-JAN-2018,20982,INE918I01018,
BAJAJHLDNG,EQ,2782.65,2815.0,2767.2,2808.45,2808.2,2800.65,33221,93026437.25,31-JAN-2018,1434,INE118A01012,
BAJFINANCE,EQ,1657.45,1690.0,1645.0,1677.85,1677.0,1678.4,1332225,2217057498.55,31-JAN-2018,58047,INE296A01024,
BANKBARODA,EQ,159.2,161.8,155.5,156.8,156.35,160.2,13420760,2117524348.3,31-JAN-2018,90998,INE028A01039,
BANKINDIA,EQ,161.95,162.7,155.5,157.2,156.75,161.7,4510152,716517225.25,31-JAN-2018,33035,INE084A01016,
BEL,EQ,171.25,172.0,167.5,169.35,169.05,177.0,14411761,2451240241.4,31-JAN-2018,105630,INE263A01024,
BHARATFORG,EQ,724.9,724.9,710.35,717.1,720.45,721.1,869666,622125232.95,31-JAN-2018,39945,INE465A01025,
BHARTIARTL,EQ,442.5,446.0,436.4,439.85,439.55,440.6,6371320,2814264850.5,31-JAN-2018,64473,INE397D01024,
BHEL,EQ,101.35,103.6,99.1,100.2,99.85,101.6,12559349,1273676299.05,31-JAN-2018,39543,INE257A01026,
BIOCON,EQ,631.0,631.0,609.05,614.9,614.95,629.95,2622093,1623335427.1,31-JAN-2018,43759,INE376G01013,
BLUESTARCO,EQ,744.0,766.6,731.3,751.2,752.65,744.3,21351,15943289.3,31-JAN-2018,1424,INE472A01039,
BOSCHLTD,EQ,19495.0,19664.95,19291.1,19400.25,19360.0,19495.55,34590,675247047.6,31-JAN-2018,6009,INE323A01026,
BPCL,EQ,486.0,493.6,483.35,492.3,490.1,485.6,6111327,2991442597.0,31-JAN-2018,169004,INE029A01011,
BRITANNIA,EQ,4690.0,4712.4,4647.2,4684.15,4666.65,4705.6,71887,335935234.25,31-JAN-2018,7837,INE216A01022,
BSE,EQ,896.0,902.6,886.5,892.5,892.5,898.2,138795,123979073.65,31-JAN-2018,6041,INE118H01025,
CANBK,EQ,345.1,352.0,338.85,341.35,340.1,349.4,2526706,868169709.75,31-JAN-2018,30984,INE476A01014,
CDSL,EQ,334.0,335.45,328.1,333.6,332.0,334.25,518984,172422448.9,31-JAN-2018,8293,INE736A01011,
CGPOWER,EQ,90.5,92.0,90.3,90.9,90.7,91.35,3626487,330194051.8,31-JAN-2018,21370,INE067A01029,
CHOLAFIN,EQ,1309.0,1324.9,1276.05,1286.05,1291.1,1287.7,403468,524155016.15,31-JAN-2018,20345,INE121A01016,
CIPLA,EQ,608.0,608.5,590.0,592.15,591.8,605.95,1264055,751874917.7,31-JAN-2018,34253,INE059A01026,
COALINDIA,EQ,303.5,304.55,298.0,299.55,300.5,305.9,5198298,1557389463.35,31-JAN-2018,68308,INE522F01014,
COCHINSHIP,EQ,536.2,546.5,532.0,537.7,535.0,535.3,219020,117819986.95,31-JAN-2018,5229,INE704P01017,
COLPAL,EQ,1135.0,1142.0,1116.65,1121.35,1120.1,1138.6,86920,97856019.1,31-JAN-2018,4703,INE259A01022,
CONCOR,EQ,1370.25,1395.0,1363.05,1390.3,1391.0,1380.0,312099,432017133.95,31-JAN-2018,18765,INE111A01017,
CROMPTON,EQ,238.05,252.0,232.3,249.15,248.0,242.15,1363969,327454116.35,31-JAN-2018,42571,INE299U01018,
CUMMINSIND,EQ,910.0,924.4,900.05,903.9,900.05,909.2,212326,193749123.05,31-JAN-2018,10213,INE298A01020,
DABUR,EQ,359.35,360.8,346.65,355.6,356.5,358.6,4361853,1544028766.0,31-JAN-2018,38315,INE016A01026,
DIVISLAB,EQ,1079.9,1079.9,1009.0,1039.4,1043.05,1079.9,960918,996280071.15,31-JAN-2018,32239,INE361B01024,
DIXON,EQ,3790.0,3835.0,3719.55,3750.35,3750.0,3787.3,60738,228249284.75,31-JAN-2018,2826,INE935N01012,
DLF,EQ,253.05,257.6,247.55,250.1,250.2,253.9,6309912,1593833148.1,31-JAN-2018,37107,INE271C01023,
DMART,EQ,1180.0,1210.0,1172.05,1179.65,1179.5,1184.6,750588,894679463.1,31-JAN-2018,32636,INE192R01011,
DRREDDY,EQ,2293.0,2306.15,2203.55,2225.35,2224.0,2306.15,1143907,2560376805.5,31-JAN-2018,71094,INE089A01023,
EICHERMOT,EQ,26827.3,27387.0,26525.15,26923.6,26870.0,26689.4,137766,3715271418.55,31-JAN-2018,33017,INE066A01013,
FEDERALBNK,EQ,101.0,101.9,98.9,100.45,100.75,100.65,10362003,1038369229.05,31-JAN-2018,38514,INE171A01029,
FORTIS,EQ,147.1,147.5,135.15,139.05,136.5,146.9,18945343,2671531143.15,31-JAN-2018,65401,INE061F01013,
GAIL,EQ,477.95,483.7,471.5,478.6,479.0,476.1,2470120,1177244756.75,31-JAN-2018,68147,INE129A01019,
GLENMARK,EQ,614.75,614.75,601.25,606.2,605.5,615.8,667577,404412299.0,31-JAN-2018,24361,INE935A01035,
GODFRYPHLP,EQ,950.0,953.65,917.0,922.7,920.0,959.4,99428,92795170.65,31-JAN-2018,4843,INE260B01028,
GODREJCP,EQ,1071.95,1071.95,1043.1,1053.4,1050.0,1057.7,2353345,2474846103.85,31-JAN-2018,50567,INE102D01028,
GODREJPROP,EQ,800.0,809.9,793.1,799.6,799.15,804.35,163075,130710785.7,31-JAN-2018,9216,INE484J01027,
GRASIM,EQ,1160.0,1167.95,1142.75,1160.05,1162.0,1163.25,482212,557326292.55,31-JAN-2018,23930,INE047A01021,
HAVELLS,EQ,540.0,540.0,518.1,522.35,522.05,552.85,7290911,3836484087.1,31-JAN-2018,81181,INE176B01034,
HCLTECH,EQ,999.95,1017.9,981.7,986.55,984.05,1000.4,1610572,1606671902.35,31-JAN-2018,44282,INE860A01027,
HDFCBANK,EQ,1989.4,2013.5,1987.0,2005.7,2004.6,1995.5,1735837,3477096561.15,31-JAN-2018,45781,INE040A01026,
HDFCLIFE,EQ,418.4,432.9,395.3,427.0,426.7,421.85,14738305,6018021893.0,31-JAN-2018,128610,INE795G01014,
HEROMOTOCO,EQ,3703.0,3747.9,3682.0,3691.45,3692.15,3687.85,558327,2071295477.4,31-JAN-2018,38162,INE158A01026,
HINDALCO,EQ,253.4,263.2,252.0,256.15,256.0,253.55,17514495,4521724082.1,31-JAN-2018,105621,INE038A01020,
HINDPETRO,EQ,394.5,400.65,388.2,397.7,396.0,393.0,6975667,2755519427.6,31-JAN-2018,82970,INE094A01015,
HINDUNILVR,EQ,1400.0,1400.0,1362.6,1369.35,1365.3,1400.25,1491912,2050281975.0,31-JAN-2018,41100,INE030A01027,
HINDZINC,EQ,311.0,316.15,303.55,310.25,310.0,310.9,3717227,1157456035.75,31-JAN-2018,43177,INE267A01025,
ICICIBANK,EQ,348.85,353.95,343.6,352.95,353.15,353.25,22638319,7897536621.35,31-JAN-2018,164514,INE090A01021,
ICICIGI,EQ,795.1,805.0,783.1,786.9,788.0,803.05,255762,201539731.9,31-JAN-2018,8525,INE765G01017,
ICICIPRULI,EQ,413.25,414.85,404.0,406.7,407.15,414.75,1439050,585382487.35,31-JAN-2018,40479,INE726G01019,
IDEA,EQ,94.0,96.1,92.0,93.1,92.5,94.0,15241120,1433696809.0,31-JAN-2018,43009,INE669E01016,
IEX,EQ,1600.0,1610.0,1590.05,1601.25,1604.5,1596.3,13488,21596622.05,31-JAN-2018,1137,INE022Q01012,
INDHOTEL,EQ,142.1,145.6,137.15,138.2,138.25,143.55,910191,128007208.2,31-JAN-2018,15593,INE053A01029,
INDIANB,EQ,368.65,372.9,357.35,362.6,361.5,368.55,802290,293230103.9,31-JAN-2018,18786,INE562A01011,
INDIGO,EQ,1213.0,1225.0,1203.25,1214.95,1213.65,1213.1,393839,477601246.05,31-JAN-2018,20681,INE646L01027,
INDUSINDBK,EQ,1735.0,1761.0,1725.1,1753.1,1750.0,1736.05,1237098,2159419495.35,31-JAN-2018,65788,INE095A01012,
INFY,EQ,1159.15,1166.6,1142.15,1150.25,1149.1,1170.65,4606849,5315999681.3,31-JAN-2018,118772,INE009A01021,
INOXWIND,EQ,132.4,132.4,128.65,129.8,129.0,131.55,81823,10656418.75,31-JAN-2018,1164,INE066P01011,
