SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
20MICRONS,EQ,34.25,35.9,33.55,35.55,35.9,34.8,20052,694001.1,20-JUN-2019,291,INE144J01027,
21STCENMGM,EQ,18.2,18.2,17.85,17.85,17.85,18.2,938,16763.3,20-JUN-2019,14,INE253B01015,
3IINFOTECH,EQ,3.3,3.3,3.2,3.25,3.25,3.25,1674696,5451813.4,20-JUN-2019,505,INE748C01020,
3MINDIA,EQ,22042.6,22698.0,22009.95,22654.65,22600.0,22021.45,743,16647597.8,20-JUN-2019,457,INE470A01017,
3PLAND,BE,9.25,9.25,8.5,8.5,8.5,8.9,240,2162.5,20-JUN-2019,3,INE105C01023,
5PAISA,EQ,198.25,210.0,196.0,208.65,210.0,200.8,5614,1139989.6,20-JUN-2019,420,INE618L01018,
63MOONS,EQ,111.1,114.7,106.6,111.4,112.4,112.1,119746,13264546.45,20-JUN-2019,2613,INE111B01023,
8KMILES,EQ,67.5,73.2,66.3,73.2,73.2,69.75,213349,14961318.5,20-JUN-2019,2296,INE650K01021,
A2ZINFRA,EQ,13.5,13.55,11.25,13.1,13.1,13.5,293994,3750979.95,20-JUN-2019,1147,INE619I01012,
AARTIDRUGS,EQ,529.1,529.1,520.0,524.4,525.95,527.75,6568,3438428.8,20-JUN-2019,567,INE767A01016,
AARTIIND,EQ,1726.9,1727.4,1700.85,1724.0,1725.8,1715.7,148803,255209113.6,20-JUN-2019,5941,INE769A01020,
AARVEEDEN,EQ,21.15,22.0,20.35,21.55,21.75,21.2,4374,93680.15,20-JUN-2019,79,INE273D01019,
AAVAS,EQ,1468.0,1500.0,1425.9,1493.05,1485.0,1470.0,9433,13824575.0,20-JUN-2019,2750,INE216P01012,
ABAN,BE,33.65,33.65,33.65,33.65,33.65,35.4,50980,1715477.0,20-JUN-2019,391,INE421A01028,
ABB,EQ,1555.9,1576.3,1535.0,1566.95,1562.1,1554.45,38376,59809238.35,20-JUN-2019,3597,INE117A01022,
ABBOTINDIA,EQ,8472.3,8472.3,8272.05,8419.95,8470.0,8461.25,4777,39936333.1,20-JUN-2019,1970,INE358A01014,
ABCAPITAL,EQ,90.0,94.0,88.65,92.15,92.35,89.8,1567209,142572896.2,20-JUN-2019,18337,INE674K01013,
ABFRL,EQ,192.0,205.9,192.0,204.75,204.9,197.8,867581,174658346.3,20-JUN-2019,7234,INE647O01011,
ABSLNN50ET,EQ,267.35,267.35,267.0,267.0,267.0,265.0,51,13634.5,20-JUN-2019,2,INF209KB1B87,
ACC,EQ,1493.25,1546.5,1470.1,1539.75,1538.95,1493.6,719154,1085096308.15,20-JUN-2019,29477,INE012A01025,
ACCELYA,EQ,877.2,885.0,873.0,880.6,876.0,877.2,2581,2260473.15,20-JUN-2019,314,INE793A01012,
ACE,EQ,98.5,98.5,95.0,95.4,95.0,97.4,246931,23750137.85,20-JUN-2019,4203,INE731H01025,
ADANIENT,EQ,142.3,149.7,140.35,148.45,148.5,142.8,4477064,652109094.05,20-JUN-2019,27337,INE423A01024,
ADANIGAS,EQ,157.6,160.5,155.4,158.35,158.1,161.5,676637,106910231.3,20-JUN-2019,7206,INE399L01023,
ADANIGREEN,EQ,40.9,42.0,40.3,40.95,40.95,39.75,1318472,54137177.55,20-JUN-2019,6349,INE364U01010,
ADANIPORTS,EQ,397.95,412.6,389.7,401.2,402.25,407.7,8383317,3348457430.6,20-JUN-2019,79687,INE742F01042,
ADANIPOWER,EQ,45.95,47.9,45.5,47.5,47.65,46.7,9180146,428765606.6,20-JUN-2019,15699,INE814H01011,
ADANITRANS,EQ,210.9,213.5,202.4,211.25,210.6,211.35,100156,21055138.0,20-JUN-2019,2513,INE931S01010,
ADFFOODS,EQ,268.15,281.5,268.05,279.1,277.7,271.5,19635,5419359.3,20-JUN-2019,681,INE982B01019,
ADHUNIK,BE,1.45,1.45,1.45,1.45,1.45,1.5,5465,7924.25,20-JUN-2019,21,INE400H01019,
ADHUNIKIND,EQ,81.9,83.65,76.05,78.8,78.85,80.05,60075,4715667.95,20-JUN-2019,228,INE452L01012,
ADLABS,EQ,3.7,4.2,3.65,4.0,4.0,4.05,333913,1284642.25,20-JUN-2019,640,INE172N01012,
ADORWELD,EQ,325.0,337.55,314.1,333.4,337.55,324.95,3332,1079547.75,20-JUN-2019,299,INE045A01017,
ADROITINFO,BE,9.8,10.75,9.8,9.8,9.8,10.3,6511,64735.3,20-JUN-2019,16,INE737B01033,
ADSL,EQ,15.9,16.05,14.5,15.6,15.45,15.5,18227,284053.95,20-JUN-2019,98,INE102I01027,
ADVANIHOTR,EQ,57.15,59.65,57.1,58.75,58.35,58.25,3770,220187.0,20-JUN-2019,84,INE199C01026,
ADVENZYMES,EQ,170.0,176.5,166.8,173.85,174.45,169.9,85574,14708602.15,20-JUN-2019,2295,INE837H01020,
AEGISCHEM,EQ,212.0,215.8,205.8,210.3,211.3,214.95,377880,79447495.35,20-JUN-2019,3174,INE208C01025,
AGARIND,EQ,129.35,129.4,100.5,100.75,100.5,125.6,74480,7813500.85,20-JUN-2019,626,INE204E01012,
AGCNET,EQ,110.05,111.25,110.0,111.15,111.25,110.0,3141,346097.4,20-JUN-2019,54,INE676A01019,
AGLSL,EQ,50.0,54.8,50.0,54.2,54.4,52.4,585,31437.65,20-JUN-2019,123,INE517U01013,
AGRITECH,EQ,48.25,51.9,48.0,50.1,51.9,50.6,9266,463329.35,20-JUN-2019,289,INE449G01018,
AGROPHOS,BE,83.1,87.5,80.7,85.85,86.0,84.9,24267,2058730.25,20-JUN-2019,77,INE740V01019,
AHLEAST,EQ,184.05,188.05,184.0,184.75,184.5,188.15,780,144250.7,20-JUN-2019,73,INE926K01017,
AHLUCONT,EQ,329.45,336.0,325.05,331.35,330.05,330.1,16010,5292552.1,20-JUN-2019,515,INE758C01029,
AHLWEST,EQ,342.0,345.95,335.3,339.3,345.95,335.4,1275,430728.55,20-JUN-2019,21,INE915K01010,
AIAENG,EQ,1689.0,1706.0,1671.05,1682.05,1695.0,1685.85,41071,69488571.45,20-JUN-2019,1140,INE212H01026,
AIONJSW,EQ,16.5,16.9,15.25,16.8,16.85,16.55,34123,554327.65,20-JUN-2019,206,INE743C01021,
AIRAN,EQ,26.25,27.6,24.6,27.45,27.6,27.05,31609,849320.6,20-JUN-2019,214,INE645W01026,
AJANTPHARM,EQ,921.6,950.45,910.0,945.75,949.0,922.6,221334,206471468.5,20-JUN-2019,9851,INE031B01049,
AJMERA,EQ,155.3,162.3,155.0,160.65,161.5,158.15,25886,4128860.65,20-JUN-2019,923,INE298G01027,
AKSHARCHEM,EQ,267.3,271.0,262.5,269.5,266.0,266.5,1898,508896.2,20-JUN-2019,227,INE542B01011,
AKSHOPTFBR,EQ,10.45,11.65,9.6,11.0,10.9,10.45,981341,10546194.35,20-JUN-2019,2614,INE523B01011,
AKZOINDIA,EQ,1766.0,1777.95,1749.9,1767.15,1769.0,1769.7,5192,9104167.3,20-JUN-2019,520,INE133A01011,
ALANKIT,EQ,30.75,31.45,29.1,30.95,30.85,30.4,433851,13174083.55,20-JUN-2019,1370,INE914E01040,
ALBERTDAVD,EQ,395.0,402.9,388.05,398.3,395.1,396.15,8445,3346841.4,20-JUN-2019,215,INE155C01010,
ALBK,EQ,39.8,40.9,39.15,40.7,40.7,39.65,3130037,125915969.2,20-JUN-2019,6526,INE428A01015,
ALCHEM,BE,1.25,1.25,1.25,1.25,1.25,1.3,15725,19656.25,20-JUN-2019,25,INE964B01033,
ALEMBICLTD,EQ,41.2,41.7,40.65,40.85,40.65,41.0,87528,3595023.2,20-JUN-2019,829,INE426A01027,
ALICON,EQ,550.7,575.95,541.05,558.15,557.0,561.9,791,446093.15,20-JUN-2019,166,INE062D01024,
ALKALI,EQ,38.8,39.9,37.8,39.65,39.9,40.3,15044,582364.2,20-JUN-2019,229,INE773I01017,
ALKEM,EQ,1743.0,1753.65,1705.0,1710.95,1708.0,1742.65,35524,60982425.2,20-JUN-2019,5771,INE540L01014,
ALKYLAMINE,EQ,803.0,850.0,803.0,839.85,829.95,813.9,2985,2496878.95,20-JUN-2019,73,INE150B01021,
ALLCARGO,EQ,101.5,101.65,98.55,100.85,101.5,100.6,74179,7413156.75,20-JUN-2019,1600,INE418H01029,
ALLSEC,BE,316.75,316.75,315.75,315.9,315.9,316.75,3677,1161069.9,20-JUN-2019,22,INE835G01018,
ALMONDZ,EQ,17.25,18.4,16.25,16.7,17.15,17.85,4721,80119.45,20-JUN-2019,76,INE326B01027,
ALOKTEXT,BE,3.75,3.8,3.65,3.65,3.65,3.8,1769747,6465864.5,20-JUN-2019,822,INE270A01011,
ALPA,EQ,18.7,18.7,17.6,18.35,18.4,18.75,13747,247269.55,20-JUN-2019,160,INE385I01010,
ALPHAGEO,EQ,405.1,412.0,401.0,408.95,408.0,407.3,6166,2508394.45,20-JUN-2019,341,INE137C01018,
ALPSINDUS,BE,0.75,0.75,0.75,0.75,0.75,0.8,750,562.5,20-JUN-2019,3,INE093B01015,
AMARAJABAT,EQ,575.5,614.15,572.85,610.65,611.25,581.4,863359,513084105.05,20-JUN-2019,29040,INE885A01032,
AMBER,EQ,808.0,830.0,802.25,817.65,818.0,806.55,8559,6960697.65,20-JUN-2019,1176,INE371P01015,
AMBIKCO,EQ,1055.05,1074.45,1050.0,1068.05,1070.0,1061.85,1201,1280638.35,20-JUN-2019,148,INE540G01014,
AMBUJACEM,EQ,207.2,214.3,204.8,213.7,213.5,206.45,1857056,389160337.65,20-JUN-2019,20237,INE079A01024,
AMDIND,EQ,17.6,18.5,17.2,17.65,18.2,18.2,4080,72251.95,20-JUN-2019,60,INE005I01014,
AMJLAND,EQ,15.35,16.5,15.2,16.45,16.5,16.15,2867,45331.7,20-JUN-2019,42,INE606A01024,
AMRUTANJAN,EQ,293.0,303.95,288.25,302.05,301.5,294.6,16658,4945049.85,20-JUN-2019,860,INE098F01031,
ANANTRAJ,EQ,28.5,29.1,27.7,28.9,28.95,28.15,145584,4157306.6,20-JUN-2019,756,INE242C01024,
ANDHRABANK,EQ,23.25,23.35,22.7,23.2,23.15,23.25,751031,17351632.65,20-JUN-2019,3061,INE434A01013,
ANDHRACEMT,BE,3.8,4.05,3.8,4.0,4.0,3.9,81467,323313.55,20-JUN-2019,105,INE666E01012,
ANDHRSUGAR,EQ,315.0,321.0,310.25,319.2,321.0,314.5,20761,6594164.35,20-JUN-2019,849,INE715B01013,
ANIKINDS,EQ,10.8,12.95,10.8,11.95,12.0,11.8,4457,54312.65,20-JUN-2019,39,INE087B01017,
ANKITMETAL,BE,0.45,0.45,0.4,0.4,0.4,0.45,38549,16032.15,20-JUN-2019,21,INE106I01010,
ANSALAPI,EQ,4.8,4.85,4.65,4.65,4.65,4.85,438795,2045295.3,20-JUN-2019,316,INE436A01026,
ANSALHSG,EQ,5.6,6.0,5.1,5.8,5.95,5.6,123082,675718.0,20-JUN-2019,566,INE880B01015,
ANTGRAPHIC,BE,0.95,0.95,0.95,0.95,0.95,1.0,7085,6730.75,20-JUN-2019,27,INE414B01021,
ANUP,EQ,455.9,472.0,449.0,470.1,470.05,465.2,13769,6417878.9,20-JUN-2019,713,INE294Z01018,
APARINDS,EQ,572.05,593.0,569.8,590.7,593.0,576.7,61149,35189305.15,20-JUN-2019,2479,INE372A01015,
APCL,EQ,161.8,161.8,156.0,160.45,160.0,155.9,4273,678376.45,20-JUN-2019,149,INE071F01012,
APCOTEXIND,EQ,550.35,565.0,550.35,559.6,560.0,555.95,2170,1215487.55,20-JUN-2019,125,INE116A01024,
APEX,EQ,248.9,254.0,233.7,250.8,253.0,248.6,57480,14193570.7,20-JUN-2019,3320,INE346W01013,
APLAPOLLO,EQ,1517.95,1560.0,1516.0,1545.3,1555.0,1516.0,30620,46950079.3,20-JUN-2019,1883,INE702C01019,
APLLTD,EQ,471.0,474.65,460.0,460.65,466.1,470.1,29313,13612646.95,20-JUN-2019,1405,INE901L01018,
APOLLO,EQ,116.5,119.75,111.65,118.05,118.5,114.95,21627,2513144.35,20-JUN-2019,845,INE713T01010,
APOLLOHOSP,EQ,1392.0,1404.2,1355.3,1374.3,1373.6,1351.75,1462438,2013509190.5,20-JUN-2019,61678,INE437A01024,
APOLLOTYRE,EQ,188.7,196.4,188.2,195.35,195.2,189.25,2061074,398503236.05,20-JUN-2019,21898,INE438A01022,
APOLSINHOT,EQ,857.05,860.0,830.0,853.15,850.0,867.8,3834,3256870.9,20-JUN-2019,205,INE451F01024,
APTECHT,EQ,134.0,144.0,131.0,141.6,141.0,135.55,274399,38022809.45,20-JUN-2019,5661,INE266F01018,
ARCHIDPLY,EQ,31.5,34.0,31.15,33.7,33.7,32.2,11326,369181.2,20-JUN-2019,181,INE877I01016,
ARCHIES,EQ,21.8,21.8,20.6,20.95,21.0,21.45,27178,569627.2,20-JUN-2019,181,INE731A01020,
ARCOTECH,BE,2.75,2.75,2.75,2.75,2.75,2.85,54059,148662.25,20-JUN-2019,68,INE574I01035,
ARIES,EQ,58.15,61.85,57.05,59.95,60.75,59.45,31411,1859021.4,20-JUN-2019,459,INE298I01015,
ARIHANT,EQ,22.05,23.75,22.0,23.0,23.0,22.5,1225,27944.85,20-JUN-2019,17,INE413D01011,
ARIHANTSUP,BE,57.0,60.3,54.65,56.7,56.2,57.45,19467,1117980.9,20-JUN-2019,92,INE643K01018,
ARMANFIN,EQ,400.0,405.15,396.0,398.65,398.0,400.9,1938,773877.65,20-JUN-2019,30,INE109C01017,
AROGRANITE,EQ,45.0,48.55,44.0,45.1,45.0,44.7,7988,363465.75,20-JUN-2019,162,INE210C01013,
ARROWGREEN,EQ,49.95,49.95,48.3,48.45,48.35,48.65,16226,799086.1,20-JUN-2019,177,INE570D01018,
ARROWTEX,EQ,13.2,14.0,12.55,12.9,13.05,14.35,16587,217263.7,20-JUN-2019,117,INE933J01015,
ARSHIYA,EQ,22.5,23.0,22.5,22.7,22.5,22.35,30033,683879.1,20-JUN-2019,231,INE968D01022,
ARSSINFRA,BE,35.0,35.0,32.45,32.45,32.45,34.15,5627,184440.35,20-JUN-2019,59,INE267I01010,
ARVIND,EQ,58.0,63.45,56.6,63.0,63.15,59.4,8130404,492564834.4,20-JUN-2019,33850,INE034A01011,
ARVINDFASN,EQ,700.0,713.15,649.95,693.75,699.9,703.2,78276,53622626.0,20-JUN-2019,4344,INE955V01021,
ARVSMART,EQ,102.1,106.3,97.1,103.9,104.0,102.75,24729,2540281.55,20-JUN-2019,543,INE034S01021,
ASAHIINDIA,EQ,218.05,224.45,218.05,223.3,222.0,218.3,5420,1186220.6,20-JUN-2019,260,INE439A01020,
ASAHISONG,EQ,138.25,140.0,134.5,139.0,139.75,136.75,1254,171914.6,20-JUN-2019,68,INE228I01012,
ASAL,EQ,44.65,44.85,43.0,44.0,44.0,44.6,5124,223580.7,20-JUN-2019,71,INE900C01027,
ASHAPURMIN,BE,16.55,17.75,16.55,17.5,17.6,17.35,16457,280001.8,20-JUN-2019,101,INE348A01023,
ASHIANA,EQ,121.2,122.8,113.6,121.95,121.8,120.9,103798,12435237.45,20-JUN-2019,1652,INE365D01021,
ASHIMASYN,EQ,9.05,10.2,9.05,9.85,9.9,9.5,48598,477895.15,20-JUN-2019,284,INE440A01010,
ASHOKA,EQ,133.45,137.9,133.0,136.95,137.0,134.15,101694,13804287.25,20-JUN-2019,1693,INE442H01029,
ASHOKLEY,EQ,80.7,88.55,80.4,87.8,87.85,82.9,39656557,3368827637.05,20-JUN-2019,107730,INE208A01029,
ASIANHOTNR,EQ,120.5,126.0,120.5,126.0,126.0,126.35,575,71802.95,20-JUN-2019,117,INE363A01022,
ASIANPAINT,EQ,1365.55,1404.9,1360.7,1392.05,1391.3,1381.15,991210,1376360395.85,20-JUN-2019,43746,INE021A01026,
ASIANTILES,EQ,252.6,266.0,252.6,260.4,260.25,259.4,77369,20171569.6,20-JUN-2019,1836,INE022I01019,
ASPINWALL,EQ,142.05,149.9,142.05,144.35,143.0,148.6,1896,273569.9,20-JUN-2019,51,INE991I01015,
ASSAMCO,BE,1.3,1.3,1.25,1.25,1.25,1.3,58515,73193.75,20-JUN-2019,68,INE442A01024,
ASTEC,EQ,453.85,460.05,438.0,457.45,460.05,454.95,5772,2611359.9,20-JUN-2019,272,INE563J01010,
ASTERDM,EQ,135.0,138.8,135.0,136.75,137.6,137.3,18920,2592476.85,20-JUN-2019,1216,INE914M01019,
ASTRAL,EQ,1287.25,1304.0,1258.65,1275.55,1285.0,1281.15,63776,80995044.65,20-JUN-2019,3027,INE006I01046,
ASTRAMICRO,EQ,88.1,90.0,85.95,88.4,88.2,88.55,117016,10379440.75,20-JUN-2019,2775,INE386C01029,
ASTRAZEN,EQ,1899.0,1909.9,1856.8,1901.85,1905.0,1897.15,2948,5558708.45,20-JUN-2019,618,INE203A01020,
