SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,907.0,912.0,895.95,899.25,899.2,901.8,230526,207687550.35,10-SEP-2020,5113,INE117A01022,
ABCAPITAL,EQ,69.35,72.25,69.1,71.3,71.05,68.65,3529674,250435933.25,10-SEP-2020,14098,INE674K01013,
ADANIENT,EQ,287.65,307.95,285.9,298.3,297.2,283.05,25430550,7620193746.2,10-SEP-2020,207786,INE423A01024,
ADANIGREEN,EQ,600.0,619.5,569.95,579.75,580.0,590.05,1717300,1019004542.4,10-SEP-2020,39823,INE364U01010,
ADANIPORTS,EQ,346.0,348.95,336.6,341.6,340.85,343.85,3893126,1337475726.05,10-SEP-2020,68676,INE742F01042,
ADANIPOWER,EQ,37.5,38.15,37.25,37.65,37.6,37.1,3318946,125218092.75,10-SEP-2020,8626,INE814H01011,
ALKEM,EQ,2875.0,2947.35,2852.4,2923.6,2925.0,2861.55,212996,620572376.2,10-SEP-2020,20562,INE540L01014,
AMBER,EQ,1970.0,1985.0,1861.0,1906.45,1894.0,1933.35,150211,291306234.95,10-SEP-2020,17657,INE371P01015,
AMBUJACEM,EQ,210.8,214.45,207.3,212.95,213.8,209.45,2591779,544730035.85,10-SEP-2020,28445,INE079A01024,
APLAPOLLO,EQ,2440.0,2481.7,2433.4,2452.65,2470.0,2417.55,53022,130167322.25,10-SEP-2020,3223,INE702C01019,
APOLLOHOSP,EQ,1600.0,1615.0,1585.05,1608.9,1610.95,1606.45,936898,1500620695.55,10-SEP-2020,38183,INE437A01024,
ASHOKLEY,EQ,67.5,68.4,65.35,67.75,67.7,66.95,30628662,2050181622.85,10-SEP-2020,69110,INE208A01029,
ASIANPAINT,EQ,1985.05,2069.7,1981.0,2056.55,2062.95,1979.05,5081254,10297042470.6,10-SEP-2020,172842,INE021A01026,
ASTRAL,EQ,1199.15,1235.0,1174.15,1201.65,1199.0,1194.3,105025,127115948.45,10-SEP-2020,9694,INE006I01046,
AUBANK,EQ,649.95,665.75,642.5,657.85,660.85,641.45,234728,153582635.4,10-SEP-2020,12323,INE949L01017,
AUROPHARMA,EQ,809.9,818.95,794.65,802.75,800.65,801.85,3481936,2805052195.35,10-SEP-2020,73627,INE406A01037,
AXISBANK,EQ,436.45,448.7,430.75,446.85,447.0,431.25,34435022,15171901108.55,10-SEP-2020,296659,INE238A01034,
BAJAJ-AUTO,EQ,2917.1,2924.35,2871.5,2914.7,2913.0,2910.15,686071,1987714779.9,10-SEP-2020,37989,INE917I01010,
BAJAJFINSV,EQ,6079.0,6192.0,6042.85,6129.25,6135.0,6026.8,531609,3256931956.95,10-SEP-2020,47070,INE918I01018,
BAJAJHLDNG,EQ,2442.5,2505.0,2442.5,2472.05,2480.0,2435.05,21649,53802124.85,10-SEP-2020,4375,INE118A01012,
BAJFINANCE,EQ,3456.5,3523.45,3418.0,3498.7,3490.0,3422.85,4762302,16557021170.2,10-SEP-2020,179649,INE296A01024,
BANDHANBNK,EQ,302.0,309.45,299.0,307.05,305.75,300.85,8480199,2592775128.6,10-SEP-2020,72423,INE545U01014,
BANKBARODA,EQ,44.8,45.8,44.6,45.6,45.55,44.35,17529918,793557258.65,10-SEP-2020,34326,INE028A01039,
BANKINDIA,EQ,45.8,49.5,45.7,48.9,49.15,45.3,4562592,219007250.8,10-SEP-2020,14809,INE084A01016,
BDL,EQ,314.9,326.35,314.6,315.9,317.95,313.85,2394081,767193463.05,10-SEP-2020,46272,INE171Z01018,
BEL,EQ,101.65,102.7,99.0,101.6,101.9,101.05,7902714,798151767.2,10-SEP-2020,38777,INE263A01024,
BHARATFORG,EQ,470.0,472.0,454.35,461.45,462.0,465.95,2270798,1046088587.85,10-SEP-2020,53546,INE465A01025,
BHARTIARTL,EQ,508.0,508.0,491.2,497.35,498.2,504.25,21005767,10520625168.4,10-SEP-2020,251922,INE397D01024,
BHEL,EQ,37.0,37.3,36.35,37.05,37.1,36.5,18327539,677058458.2,10-SEP-2020,29385,INE257A01026,
BIOCON,EQ,430.6,433.9,425.0,430.65,429.85,427.9,3975287,1707020939.8,10-SEP-2020,42764,INE376G01013,
BLUESTARCO,EQ,602.0,611.0,592.7,605.1,604.0,599.7,76587,46282478.95,10-SEP-2020,4847,INE472A01039,
BOSCHLTD,EQ,12829.9,13024.2,12716.0,12951.2,12916.8,12778.1,54847,705420907.9,10-SEP-2020,13407,INE323A01026,
BPCL,EQ,408.5,433.5,405.5,430.3,430.4,405.95,25417582,10765434574.15,10-SEP-2020,260807,INE029A01011,
BRITANNIA,EQ,3765.5,3765.5,3700.05,3719.25,3722.95,3738.3,357927,1330326808.9,10-SEP-2020,31402,INE216A01030,
BSE,EQ,537.4,544.1,530.0,534.1,531.0,530.25,479455,257891620.8,10-SEP-2020,14436,INE118H01025,
CANBK,EQ,98.65,100.9,98.15,100.35,100.7,97.65,5811823,580868038.6,10-SEP-2020,35988,INE476A01014,
CDSL,EQ,455.3,464.75,445.1,451.75,451.0,449.9,1764815,803658617.5,10-SEP-2020,41474,INE736A01011,
CGPOWER,BE,20.9,23.1,20.9,23.1,23.1,22.0,9419237,209327516.6,10-SEP-2020,6382,INE067A01029,
CHOLAFIN,EQ,222.0,225.85,217.05,221.25,222.85,220.55,3321211,738766104.7,10-SEP-2020,32416,INE121A01024,
CIPLA,EQ,729.0,735.9,719.25,726.8,726.3,727.55,4571167,3321352841.75,10-SEP-2020,84921,INE059A01026,
COALINDIA,EQ,128.0,128.3,125.5,126.65,126.45,126.95,12007586,1521171651.6,10-SEP-2020,71187,INE522F01014,
COCHINSHIP,EQ,331.0,331.45,325.8,327.05,328.0,329.9,123751,40728751.6,10-SEP-2020,3806,INE704P01017,
