SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
ABB,EQ,769.65,771.45,760.25,763.7,763.0,763.45,201649,154429430.5,6-JAN-2010,
ADANIENT,EQ,463.0,517.0,460.0,507.65,513.0,462.05,1122953,556440771.45,6-JAN-2010,
ADANIPOWER,EQ,106.5,110.8,106.0,107.45,107.55,105.05,6297126,682311048.9,6-JAN-2010,
AMBUJACEM,EQ,105.35,106.85,103.55,105.95,106.7,105.3,1558825,163754767.1,6-JAN-2010,
APOLLOHOSP,EQ,651.25,734.2,651.25,707.85,705.1,732.75,84471,60396979.75,6-JAN-2010,
ASHOKLEY,EQ,51.95,52.15,51.3,51.75,51.7,51.65,3099833,160616946.8,6-JAN-2010,
ASIANPAINT,EQ,1814.75,1814.75,1781.0,1788.9,1781.4,1794.3,7345,13170055.4,6-JAN-2010,
ASTRAL,EQ,173.8,175.0,169.3,170.9,172.0,172.95,9826,1694876.15,6-JAN-2010,
AUROPHARMA,EQ,919.0,925.7,901.55,907.45,909.0,916.25,157185,143740249.8,6-JAN-2010,
AXISBANK,EQ,1020.0,1028.7,992.55,995.8,993.0,1012.8,1190717,1193675134.0,6-JAN-2010,
BAJAJ-AUTO,EQ,1750.0,1750.0,1705.15,1713.15,1713.0,1740.05,232916,399603654.5,6-JAN-2010,
BAJAJFINSV,EQ,360.0,362.0,350.1,351.75,350.9,360.25,67893,24115636.9,6-JAN-2010,
BAJAJHLDNG,EQ,653.0,656.9,636.5,641.25,643.0,650.35,73531,47386244.65,6-JAN-2010,
BANKBARODA,EQ,544.85,544.85,522.15,533.85,536.4,530.6,856677,456250629.45,6-JAN-2010,
BANKINDIA,EQ,399.8,401.7,392.3,400.05,398.65,396.7,533464,212898373.7,6-JAN-2010,
BEL,EQ,1951.05,1956.9,1931.1,1940.75,1940.0,1953.95,12649,24593242.85,6-JAN-2010,
BHARATFORG,EQ,285.0,294.8,284.35,288.25,286.55,281.45,2710637,788775242.45,6-JAN-2010,
BHARTIARTL,EQ,332.95,335.15,326.1,326.85,326.9,330.35,4409919,1460756180.4,6-JAN-2010,
BHEL,EQ,2452.0,2455.0,2393.0,2426.25,2424.0,2435.4,344693,834201818.15,6-JAN-2010,
BIOCON,EQ,279.8,291.8,278.05,290.8,291.75,278.8,1664638,478350162.05,6-JAN-2010,
BLUESTARCO,EQ,395.0,395.0,383.0,390.55,393.8,394.15,12296,4776389.5,6-JAN-2010,
BOSCHLTD,EQ,4725.0,4725.0,4621.25,4629.4,4625.0,4705.55,1319,6145280.95,6-JAN-2010,
BPCL,EQ,642.0,648.4,628.1,631.3,629.7,640.95,971566,616212802.75,6-JAN-2010,
BRITANNIA,EQ,1685.0,1685.0,1645.0,1655.85,1659.75,1671.05,2150,3571858.9,6-JAN-2010,
CANBK,EQ,406.0,411.7,398.4,407.85,405.95,405.85,383688,156439362.65,6-JAN-2010,
CIPLA,EQ,332.0,348.9,330.35,344.9,344.7,331.5,3580916,1225458223.15,6-JAN-2010,
COLPAL,EQ,672.35,697.0,672.35,687.3,689.45,685.45,98476,67309113.8,6-JAN-2010,
CONCOR,EQ,1271.0,1319.0,1263.0,1313.2,1316.0,1269.1,23392,30350570.55,6-JAN-2010,
CUMMINSIND,EQ,426.0,440.0,423.0,436.65,438.5,424.4,107246,46398087.05,6-JAN-2010,
DABUR,EQ,163.85,168.5,162.25,168.0,168.3,165.3,1134459,187814192.0,6-JAN-2010,
DIVISLAB,EQ,671.0,693.5,660.0,687.8,693.05,669.8,373092,254783779.25,6-JAN-2010,
DLF,EQ,369.8,380.5,367.25,378.55,378.0,369.45,10663046,4002840713.65,6-JAN-2010,
DRREDDY,EQ,1186.2,1232.5,1183.35,1207.65,1210.0,1177.45,1289786,1561159339.4,6-JAN-2010,
EICHERMOT,EQ,657.0,665.0,642.3,647.65,645.35,653.1,12871,8440416.6,6-JAN-2010,
FEDERALBNK,EQ,240.25,246.8,240.25,243.95,244.5,239.4,795642,194334957.25,6-JAN-2010,
FORTIS,EQ,142.7,143.8,139.1,140.7,140.6,141.55,698069,98622575.55,6-JAN-2010,
GAIL,EQ,421.5,421.5,412.1,415.9,415.0,418.7,1107279,459631739.25,6-JAN-2010,
GLENMARK,EQ,285.0,290.0,279.5,281.15,282.0,284.55,852411,242090379.95,6-JAN-2010,
GODFRYPHLP,EQ,1940.75,2000.0,1915.1,1953.55,1955.0,1945.0,8020,15689907.35,6-JAN-2010,
GODREJCP,EQ,276.0,276.0,258.05,264.0,259.95,271.45,62115,16571737.7,6-JAN-2010,
GODREJPROP,EQ,537.0,546.6,524.55,527.2,525.5,537.25,1170320,626125490.4,6-JAN-2010,
GRASIM,EQ,2629.9,2756.4,2615.1,2736.95,2747.0,2628.15,423946,1134554366.1,6-JAN-2010,
HAVELLS,EQ,536.0,540.35,526.5,536.1,538.15,535.75,241047,128669759.8,6-JAN-2010,
HCLTECH,EQ,380.1,382.9,365.0,368.0,367.9,379.45,998080,374114020.95,6-JAN-2010,
HDFCBANK,EQ,1714.0,1720.0,1688.1,1708.35,1708.35,1707.2,663984,1129770373.15,6-JAN-2010,
HINDALCO,EQ,175.85,175.9,168.75,171.05,171.15,175.2,18459749,3172750722.95,6-JAN-2010,
HINDPETRO,EQ,397.0,402.7,384.0,389.9,389.0,400.0,1234808,480436867.9,6-JAN-2010,
HINDUNILVR,EQ,264.75,266.0,262.6,265.35,265.35,263.85,1682107,444825799.4,6-JAN-2010,
HINDZINC,EQ,1252.9,1257.45,1223.0,1229.0,1234.2,1241.5,129236,159831958.5,6-JAN-2010,
ICICIBANK,EQ,895.0,907.35,890.1,894.85,894.0,888.05,3710919,3338141818.7,6-JAN-2010,
IDEA,EQ,61.25,61.55,60.4,61.3,61.25,60.25,5143386,314016800.5,6-JAN-2010,
INDHOTEL,EQ,105.65,105.8,102.55,102.85,102.65,104.65,1499942,155354557.35,6-JAN-2010,
INDIANB,EQ,175.55,182.4,175.55,179.95,180.5,175.2,799605,143945169.8,6-JAN-2010,
INDUSINDBK,EQ,143.9,147.0,142.3,146.1,146.05,142.7,995851,144906914.2,6-JAN-2010,
IOC,EQ,315.85,317.9,310.05,315.4,315.5,315.85,633665,198969891.5,6-JAN-2010,
ITC,EQ,258.7,258.7,253.6,256.75,257.95,256.15,2509993,640771244.4,6-JAN-2010,
JINDALSTEL,EQ,732.0,736.5,721.1,724.4,724.9,727.45,3035406,2212080493.7,6-JAN-2010,
JSWENERGY,EQ,113.7,117.95,111.25,112.85,113.15,113.0,19904390,2275592264.05,6-JAN-2010,
JSWSTEEL,EQ,1140.3,1155.4,1116.2,1148.95,1150.0,1134.9,3226622,3677821784.65,6-JAN-2010,
KEI,EQ,36.0,38.5,35.5,37.35,37.25,35.95,1253506,46670203.75,6-JAN-2010,
KOTAKBANK,EQ,832.0,844.6,825.2,841.15,841.25,831.05,696510,583900918.7,6-JAN-2010,
LICHSGFIN,EQ,818.5,822.9,810.5,812.2,810.55,816.5,376089,306772916.85,6-JAN-2010,
LT,EQ,1657.85,1706.9,1657.85,1675.65,1676.4,1694.4,1367204,2300719659.15,6-JAN-2010,
LUPIN,EQ,1448.9,1479.0,1440.0,1469.2,1473.0,1438.4,234442,343978323.05,6-JAN-2010,
M&M,EQ,1159.7,1186.9,1152.3,1178.25,1179.5,1150.65,1706808,1997692572.95,6-JAN-2010,
MARICO,EQ,104.45,104.45,102.0,102.6,102.6,103.3,865252,88968639.2,6-JAN-2010,
MARUTI,EQ,1518.0,1522.8,1460.0,1461.65,1462.0,1515.85,1571353,2316258235.95,6-JAN-2010,
MOTILALOFS,EQ,181.75,182.5,176.3,177.2,176.5,178.15,100833,18165437.4,6-JAN-2010,
MPHASIS,EQ,733.9,736.9,722.15,726.55,724.9,733.5,283029,206157642.8,6-JAN-2010,
NATIONALUM,EQ,507.0,516.9,473.0,475.6,475.85,505.35,4784622,2321900667.2,6-JAN-2010,
NAUKRI,EQ,899.8,917.5,875.55,885.65,881.0,890.15,3935,3486545.0,6-JAN-2010,
NHPC,EQ,36.5,36.5,35.8,36.25,36.25,35.6,25953740,938743152.95,6-JAN-2010,
NMDC,EQ,433.9,433.9,425.5,427.15,425.5,425.85,221173,95031071.9,6-JAN-2010,
NTPC,EQ,230.3,234.9,227.65,228.2,228.0,229.3,6938330,1599791288.95,6-JAN-2010,
