SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
ABB,EQ,951.0,983.75,936.0,960.85,951.1,962.1,20818,19946866.75,5-JAN-2005,
APOLLOHOSP,EQ,263.0,264.0,240.0,253.55,253.9,261.65,151902,39036063.05,5-JAN-2005,
ASHOKLEY,EQ,24.25,24.8,22.0,23.2,23.0,24.15,4295982,100899447.6,5-JAN-2005,
ASIANPAINT,EQ,324.05,324.95,320.0,321.85,322.0,324.05,30500,9851532.7,5-JAN-2005,
AUROPHARMA,EQ,326.0,328.75,311.2,315.2,314.6,326.2,63543,20322359.6,5-JAN-2005,
BANKBARODA,EQ,248.0,254.65,205.0,228.6,227.25,247.15,1844271,439542165.85,5-JAN-2005,
BANKINDIA,EQ,101.4,101.4,84.35,93.25,92.2,99.05,3811899,356893667.95,5-JAN-2005,
BEL,EQ,739.0,739.0,603.0,627.5,623.9,658.45,89992,56961627.2,5-JAN-2005,
BHARATFORG,EQ,1044.0,1100.0,1020.0,1065.55,1058.0,1066.3,25367,27040623.6,5-JAN-2005,
BHEL,EQ,776.0,793.9,725.0,757.6,760.0,778.25,474266,364114756.5,5-JAN-2005,
BIOCON,EQ,506.1,520.4,491.0,499.8,499.1,509.8,600917,305133922.85,5-JAN-2005,
BLUESTARCO,EQ,260.0,267.0,260.0,265.2,267.0,263.35,7762,2027903.25,5-JAN-2005,
BPCL,EQ,460.0,468.9,448.05,455.85,457.0,468.35,601164,276816962.9,5-JAN-2005,
BRITANNIA,EQ,936.0,944.0,900.0,905.1,901.2,930.65,7447,6907013.85,5-JAN-2005,
CANBK,EQ,228.0,228.0,196.5,209.05,208.1,226.2,6396290,1352503115.85,5-JAN-2005,
CIPLA,EQ,317.3,317.5,285.0,300.75,301.4,317.9,1244829,378339894.15,5-JAN-2005,
CONCOR,EQ,907.9,924.9,895.0,907.6,907.0,907.65,17930,16227010.9,5-JAN-2005,
DABUR,EQ,88.0,91.0,84.0,90.3,89.75,88.1,640265,56641540.9,5-JAN-2005,
DIVISLAB,EQ,1335.0,1337.0,1202.0,1278.5,1277.8,1324.0,37970,48958591.85,5-JAN-2005,
DRREDDY,EQ,836.0,845.75,812.0,821.95,816.0,846.3,143998,119850143.75,5-JAN-2005,
EICHERMOT,EQ,269.75,271.4,240.0,257.0,257.0,266.3,31533,8344750.05,5-JAN-2005,
FEDERALBNK,EQ,164.0,166.0,148.9,157.8,159.0,163.45,323761,51652185.2,5-JAN-2005,
GAIL,EQ,250.0,252.4,222.0,233.65,233.0,249.9,2061205,497498461.95,5-JAN-2005,
GLENMARK,EQ,539.95,545.9,480.3,497.9,499.9,533.65,1473480,751763597.9,5-JAN-2005,
GODFRYPHLP,EQ,550.25,555.0,542.0,551.0,551.0,550.45,5911,3225724.2,5-JAN-2005,
GODREJCP,EQ,295.0,300.05,285.0,291.3,291.0,296.25,9150,2692715.25,5-JAN-2005,
GRASIM,EQ,1338.0,1355.95,1270.0,1302.45,1293.0,1340.9,209025,275229293.5,5-JAN-2005,
HAVELLS,EQ,270.0,273.6,232.4,246.35,245.0,271.75,76454,18933776.5,5-JAN-2005,
HCLTECH,EQ,346.1,348.0,325.0,334.85,334.8,347.3,225119,76138058.6,5-JAN-2005,
HDFCBANK,EQ,520.0,520.0,487.0,500.05,497.0,519.45,398787,201402189.15,5-JAN-2005,
HINDPETRO,EQ,416.0,416.0,384.0,392.55,391.0,413.9,1070644,425909947.05,5-JAN-2005,
ICICIBANK,EQ,375.1,379.0,345.05,361.75,360.0,373.9,866607,315694545.8,5-JAN-2005,
INDHOTEL,EQ,536.3,554.0,528.0,529.6,528.05,546.15,21131,11302206.2,5-JAN-2005,
INDUSINDBK,EQ,60.1,60.9,53.1,56.85,56.45,60.25,1445636,83334742.85,5-JAN-2005,
IOC,EQ,525.0,525.0,490.1,503.95,502.9,522.4,278908,141721124.65,5-JAN-2005,
ITC,EQ,1324.8,1324.8,1281.0,1296.8,1287.5,1314.5,311265,403605119.1,5-JAN-2005,
JINDALSTEL,EQ,1000.0,1000.0,851.0,959.6,951.1,1004.95,144812,140932801.15,5-JAN-2005,
KOTAKBANK,EQ,298.0,302.0,279.0,289.0,288.5,297.5,73643,21358498.8,5-JAN-2005,
LICHSGFIN,EQ,210.0,210.0,196.5,199.55,199.4,209.15,132208,26749976.25,5-JAN-2005,
LT,EQ,975.0,994.0,946.8,959.25,959.0,974.2,397230,385915639.45,5-JAN-2005,
LUPIN,EQ,695.0,695.0,655.0,676.55,678.0,686.4,33774,22976358.05,5-JAN-2005,
M&M,EQ,551.0,554.5,511.2,540.65,541.55,553.75,688793,369607821.8,5-JAN-2005,
MARUTI,EQ,465.0,480.0,430.0,446.65,445.0,463.85,2394444,1082381893.6,5-JAN-2005,
NATIONALUM,EQ,195.0,199.7,168.0,182.75,181.4,202.8,1900411,353033034.7,5-JAN-2005,
NTPC,EQ,88.45,89.1,82.25,84.85,84.45,88.8,14253722,1223418315.65,5-JAN-2005,
ONGC,EQ,825.9,825.9,790.15,797.5,796.0,827.6,1721227,1391019866.3,5-JAN-2005,
PETRONET,EQ,36.5,38.0,33.65,35.3,35.2,37.0,12918979,464577488.15,5-JAN-2005,
PIDILITIND,EQ,392.1,395.0,370.05,379.1,379.95,396.3,6185,2351280.0,5-JAN-2005,
PNB,EQ,430.0,449.4,401.0,423.35,419.0,434.9,2281882,980558925.5,5-JAN-2005,
RADICO,EQ,275.0,281.9,265.0,272.35,273.0,276.8,92662,25142805.15,5-JAN-2005,
RELIANCE,EQ,526.0,533.45,516.15,529.95,527.05,531.25,8029644,4231352356.45,5-JAN-2005,
SAIL,EQ,62.4,63.4,52.0,59.8,59.1,62.55,33108002,1986364464.0,5-JAN-2005,
SBIN,EQ,649.95,655.8,591.0,617.45,615.8,649.9,4919738,3075328855.35,5-JAN-2005,
SHREECEM,EQ,270.4,287.0,265.65,276.15,274.7,267.45,319118,88875009.6,5-JAN-2005,
SIEMENS,EQ,1287.0,1317.65,1287.0,1310.7,1311.2,1300.05,10896,14173114.35,5-JAN-2005,
SRF,EQ,79.0,80.85,70.5,73.5,73.5,80.0,719956,54512814.85,5-JAN-2005,
SUNPHARMA,EQ,537.0,544.8,518.55,531.45,528.75,531.45,124398,66004971.3,5-JAN-2005,
SUPREMEIND,EQ,239.95,239.95,225.1,231.3,230.0,238.95,37919,8786339.85,5-JAN-2005,
TATAELXSI,EQ,173.0,173.9,155.0,160.75,159.55,173.4,710002,116859365.65,5-JAN-2005,
TATAPOWER,EQ,404.0,405.0,374.8,387.9,384.0,403.2,753087,294641984.45,5-JAN-2005,
