SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
3IINFOTECH,EQ,300.0,308.0,300.0,303.6,303.25,307.85,301753,92273253.85,8-JUN-2007,
3MINDIA,EQ,1833.4,1835.0,1777.0,1781.5,1790.0,1831.35,459,828762.0,8-JUN-2007,
AARTIDRUGS,EQ,64.15,66.8,64.15,64.8,64.8,66.05,3011,196222.55,8-JUN-2007,
AARTIIND,EQ,24.25,25.2,24.0,24.6,24.7,24.4,21541,524035.0,8-JUN-2007,
AARVEEDEN,EQ,98.5,101.5,96.0,98.25,96.0,99.0,10664,1052346.35,8-JUN-2007,
ABAN,EQ,2784.0,2909.9,2773.0,2848.35,2837.05,2796.5,316582,905971970.35,8-JUN-2007,
ABB,EQ,4510.0,4615.0,4480.65,4530.8,4545.0,4553.95,63312,287148800.35,8-JUN-2007,
ABGSHIP,EQ,397.0,409.0,397.0,401.9,400.0,408.35,6681,2699309.45,8-JUN-2007,
ABIRLANUVO,EQ,1300.0,1318.0,1256.0,1281.15,1279.7,1295.95,29000,37385954.25,8-JUN-2007,
ABSHEKINDS,EQ,17.9,18.15,17.8,17.95,18.0,18.05,54401,979896.25,8-JUN-2007,
ACC,EQ,800.0,802.0,760.0,767.15,762.0,804.4,853111,666857295.15,8-JUN-2007,
ACE,EQ,246.0,249.0,241.0,241.85,242.4,249.7,41862,10209908.15,8-JUN-2007,
ADANIENT,EQ,234.0,235.45,231.0,232.85,232.9,236.0,68865,16026743.15,8-JUN-2007,
ADHUNIK,BE,51.5,52.5,49.25,49.6,49.65,51.35,119336,5968263.55,8-JUN-2007,
ADLABSFILM,EQ,510.5,539.0,505.9,529.95,533.0,531.8,316320,167262397.5,8-JUN-2007,
ADORWELD,EQ,237.05,244.5,237.05,239.15,240.0,242.2,6653,1609780.75,8-JUN-2007,
ADVANTA,EQ,909.7,924.9,851.0,912.75,920.0,915.9,137474,124755438.35,8-JUN-2007,
AEGISCHEM,EQ,137.25,140.0,135.0,136.8,135.6,139.95,13046,1790541.35,8-JUN-2007,
AFL,EQ,61.0,62.7,59.0,59.8,60.45,61.05,18020,1099082.2,8-JUN-2007,
AFTEK,EQ,69.95,70.95,69.1,69.7,69.65,70.5,529289,37153028.1,8-JUN-2007,
AGRODUTCH,EQ,27.1,27.95,27.05,27.65,27.55,27.75,12818,354164.2,8-JUN-2007,
AHMEDFORGE,EQ,240.05,249.25,240.0,240.7,240.0,248.6,1242,301249.7,8-JUN-2007,
AIAENG,EQ,1588.9,1604.7,1540.1,1565.5,1571.3,1588.9,53548,84294323.4,8-JUN-2007,
AICHAMP,EQ,83.05,86.4,81.0,81.65,81.65,83.8,1693,140417.35,8-JUN-2007,
AIRDECCAN,EQ,140.0,140.9,134.3,135.6,136.0,140.85,581998,80063361.3,8-JUN-2007,
AJANTPHARM,EQ,87.25,95.9,87.25,91.95,91.35,91.5,78394,7265688.3,8-JUN-2007,
AKRUTI,EQ,354.0,361.7,352.0,355.25,357.0,356.0,52432,18667278.55,8-JUN-2007,
AKSHOPTFBR,EQ,42.0,44.45,38.2,43.9,43.7,44.7,26742,1174771.95,8-JUN-2007,
ALBK,EQ,81.0,82.5,80.0,81.6,81.6,81.8,218150,17733608.65,8-JUN-2007,
ALCHEMIST,EQ,8.8,8.8,8.0,8.05,8.05,8.15,76028,614673.95,8-JUN-2007,
ALEMBICLTD,EQ,62.0,62.35,60.6,61.0,60.8,61.8,31629,1943530.5,8-JUN-2007,
ALFALAVAL,EQ,1115.1,1170.0,1115.1,1165.25,1167.0,1175.8,1015,1178252.55,8-JUN-2007,
ALLCARGO,EQ,970.0,980.0,941.0,945.45,950.0,968.5,904,871274.05,8-JUN-2007,
ALLSEC,EQ,263.0,265.5,260.15,261.65,260.15,264.3,6663,1753164.45,8-JUN-2007,
ALOKTEXT,EQ,56.7,57.6,55.55,55.9,55.95,56.6,199776,11168393.5,8-JUN-2007,
ALPHAGEO,EQ,340.0,357.0,340.0,357.0,357.0,340.0,3623,1275545.45,8-JUN-2007,
ALPSINDUS,EQ,45.35,48.5,45.35,47.4,47.5,45.6,109373,5194284.15,8-JUN-2007,
AMAR,EQ,34.0,34.0,32.65,32.95,33.0,33.5,51447,1705271.25,8-JUN-2007,
AMARAJABAT,EQ,386.0,409.25,385.0,409.2,409.25,389.75,31979,12917858.9,8-JUN-2007,
AMBICAAGAR,EQ,13.0,13.75,12.9,13.0,13.15,12.95,60612,808978.4,8-JUN-2007,
AMDMET,EQ,56.5,57.0,55.0,55.2,55.5,57.35,88321,4937474.3,8-JUN-2007,
AML,EQ,44.0,45.1,43.6,44.0,44.0,44.15,42438,1877517.95,8-JUN-2007,
AMTEKAUTO,EQ,415.0,424.8,415.0,421.9,420.5,421.2,41460,17485220.75,8-JUN-2007,
AMTEKINDIA,EQ,178.1,184.5,175.15,181.05,180.55,177.2,506497,91521606.1,8-JUN-2007,
ANANTRAJ,EQ,1080.1,1140.0,1072.15,1111.05,1111.0,1120.95,1489,1658414.15,8-JUN-2007,
ANDHRABANK,EQ,83.5,84.45,82.6,83.15,83.2,83.95,303353,25308083.3,8-JUN-2007,
ANDHRSUGAR,EQ,90.15,93.0,85.5,92.25,92.1,91.25,9629,887902.75,8-JUN-2007,
ANGAUTO,EQ,300.0,302.0,297.0,302.0,302.0,302.0,302,90779.95,8-JUN-2007,
ANKURDRUGS,EQ,300.05,308.7,298.1,304.25,307.0,313.7,3103,943227.9,8-JUN-2007,
ANSALHSG,EQ,238.0,238.0,231.5,233.0,231.75,238.85,28754,6699998.9,8-JUN-2007,
ANSALINFRA,EQ,305.0,306.0,288.45,291.35,289.0,306.25,537661,158327027.45,8-JUN-2007,
ANTGRAPHIC,EQ,0.35,0.4,0.35,0.4,0.4,0.35,47960,19091.0,8-JUN-2007,
APARINDS,EQ,160.0,162.0,158.1,160.0,160.0,160.4,3124,500132.0,8-JUN-2007,
APCOTEXIND,EQ,33.55,34.75,33.55,34.75,34.75,34.25,425,14529.25,8-JUN-2007,
APIL,EQ,564.0,591.0,564.0,578.6,579.0,574.1,220299,128161485.95,8-JUN-2007,
APOLLOHOSP,EQ,485.55,502.0,485.55,492.4,490.25,499.2,12060,5952912.7,8-JUN-2007,
APOLLOTYRE,EQ,353.0,353.5,345.0,348.45,345.0,354.35,188598,65994723.45,8-JUN-2007,
APPAPER,EQ,94.0,97.0,92.0,92.05,92.0,94.65,1850,172782.0,8-JUN-2007,
APTECHT,EQ,304.7,312.5,300.0,307.65,307.5,308.45,428487,131847009.4,8-JUN-2007,
ARCHIES,EQ,133.0,133.0,130.0,130.35,130.75,133.85,20419,2681228.2,8-JUN-2007,
ARIHANT,EQ,300.0,300.0,300.0,300.0,300.0,300.9,8,2400.0,8-JUN-2007,
ARL,EQ,1.65,1.8,1.65,1.7,1.7,1.7,402789,693454.85,8-JUN-2007,
ARVINDMILL,EQ,44.55,44.9,44.25,44.5,44.25,44.8,859049,38320469.6,8-JUN-2007,
ASAHIINDIA,EQ,101.0,101.5,100.0,100.1,100.55,100.75,35300,3543011.4,8-JUN-2007,
ASAL,EQ,99.0,99.85,96.55,98.0,98.0,97.8,1574,154180.4,8-JUN-2007,
ASHAPURMIN,EQ,295.0,315.5,295.0,314.8,315.5,300.45,289313,89965359.15,8-JUN-2007,
ASHIMASYN,EQ,7.85,8.05,7.75,7.85,7.8,7.9,6890,54353.25,8-JUN-2007,
