SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,2253.9,2359.7,2226.3,2305.7,2300.0,2254.2,1109904,2566345265.15,09-MAY-2022,69812,INE117A01022,
ABCAPITAL,EQ,106.0,107.85,104.3,106.2,106.3,106.7,3592439,381571952.65,09-MAY-2022,20955,INE674K01013,
ADANIENT,EQ,2229.5,2244.2,2180.0,2197.65,2187.5,2247.7,1450886,3205990125.15,09-MAY-2022,42562,INE423A01024,
ADANIGREEN,EQ,2805.1,2840.0,2675.0,2706.4,2690.0,2874.8,581855,1599793695.2,09-MAY-2022,49477,INE364U01010,
ADANIPORTS,EQ,807.45,807.45,783.0,792.6,791.8,811.4,4768026,3790795270.65,09-MAY-2022,84268,INE742F01042,
ADANIPOWER,EQ,295.65,298.0,277.45,281.6,277.45,292.05,40481648,11736630793.95,09-MAY-2022,377994,INE814H01011,
ALKEM,EQ,3093.0,3137.55,3051.85,3084.8,3085.0,3091.55,44924,139176603.45,09-MAY-2022,10334,INE540L01014,
AMBER,EQ,3725.05,3725.05,3540.5,3577.55,3571.55,3725.05,38388,138798569.85,09-MAY-2022,7444,INE371P01015,
AMBUJACEM,EQ,363.35,369.0,359.45,366.75,366.0,365.4,3690073,1346059813.75,09-MAY-2022,41297,INE079A01024,
ANGELONE,EQ,1405.0,1516.05,1401.0,1446.85,1432.9,1452.5,2092533,3074083162.9,09-MAY-2022,72964,INE732I01013,
APLAPOLLO,EQ,925.0,930.0,855.0,893.75,893.95,949.95,738582,661439468.2,09-MAY-2022,39214,INE702C01027,
APOLLOHOSP,EQ,3805.0,3807.95,3739.65,3766.35,3770.0,3827.35,521295,1966929089.0,09-MAY-2022,48802,INE437A01024,
ASHOKLEY,EQ,118.0,118.85,114.65,117.45,117.8,119.55,12313596,1436339007.95,09-MAY-2022,76879,INE208A01029,
ASIANPAINT,EQ,3000.85,3038.8,2975.0,3005.25,3031.0,3016.25,998324,2989123029.45,09-MAY-2022,94795,INE021A01026,
ASTRAL,EQ,1912.0,1922.1,1862.75,1873.75,1875.0,1925.7,532548,1001597698.9,09-MAY-2022,40584,INE006I01046,
AUBANK,EQ,1310.0,1313.9,1272.6,1279.2,1281.2,1316.45,900396,1161847059.45,09-MAY-2022,31489,INE949L01017,
AUROPHARMA,EQ,610.0,622.5,603.5,614.3,614.5,612.95,1041710,639622001.35,09-MAY-2022,23993,INE406A01037,
AXISBANK,EQ,660.2,669.0,648.8,663.7,664.25,673.4,13999329,9261897210.7,09-MAY-2022,223099,INE238A01034,
BAJAJ-AUTO,EQ,3490.0,3584.7,3480.0,3568.75,3567.55,3499.75,502719,1782098958.15,09-MAY-2022,44772,INE917I01010,
BAJAJFINSV,EQ,13540.0,14011.65,13362.85,13783.85,13814.95,13640.5,403409,5553835269.7,09-MAY-2022,66802,INE918I01018,
BAJAJHLDNG,EQ,4995.0,5099.9,4955.15,5006.65,5000.0,5020.25,40070,201198507.3,09-MAY-2022,9010,INE118A01012,
BAJFINANCE,EQ,5961.0,6135.25,5832.55,6036.95,6039.0,6000.3,1935648,11618341190.55,09-MAY-2022,174076,INE296A01024,
BANDHANBNK,EQ,316.5,321.05,308.35,313.15,313.8,318.8,9168425,2870937202.9,09-MAY-2022,108109,INE545U01014,
BANKBARODA,EQ,103.95,104.85,101.6,103.25,103.25,104.95,19017700,1960097318.15,09-MAY-2022,62910,INE028A01039,
BANKINDIA,EQ,45.9,45.9,44.9,45.5,45.5,46.0,2093620,94911346.2,09-MAY-2022,6438,INE084A01016,
BDL,EQ,688.0,688.0,654.45,658.25,659.0,691.65,756383,504005958.8,09-MAY-2022,32259,INE171Z01018,
BEL,EQ,225.0,227.15,221.5,225.5,225.25,228.15,7824265,1751003611.0,09-MAY-2022,41095,INE263A01024,
BHARATFORG,EQ,653.1,656.5,627.95,637.3,636.85,658.5,1855922,1183830782.1,09-MAY-2022,48468,INE465A01025,
BHARTIARTL,EQ,706.1,720.5,704.45,711.5,712.0,710.25,4819274,3439126712.6,09-MAY-2022,70056,INE397D01024,
