SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
3IINFOTECH,EQ,122.0,123.0,116.5,118.3,116.55,122.0,304728,36343961.95,11-FEB-2008,
3MINDIA,EQ,1802.1,1840.0,1751.0,1789.0,1751.0,1850.0,701,1256696.9,11-FEB-2008,
AARTIDRUGS,EQ,60.15,67.9,58.0,60.45,58.0,63.8,11948,731842.5,11-FEB-2008,
AARTIIND,EQ,37.15,38.45,35.25,35.85,36.45,38.6,134266,4916620.9,11-FEB-2008,
AARVEEDEN,EQ,60.4,62.0,60.35,60.6,60.95,63.5,670,40722.45,11-FEB-2008,
ABAN,EQ,3600.0,3695.0,3301.1,3481.85,3425.0,3616.1,132570,458804053.25,11-FEB-2008,
ABB,EQ,1290.0,1290.0,1202.1,1261.95,1270.0,1284.35,360377,451759545.1,11-FEB-2008,
ABGSHIP,EQ,690.0,690.0,604.0,615.2,618.0,689.95,45168,28559332.1,11-FEB-2008,
ABIRLANUVO,EQ,1814.15,1830.0,1780.0,1808.85,1800.05,1841.65,127223,229503257.0,11-FEB-2008,
ABSHEKINDS,EQ,21.0,21.6,20.35,20.45,20.4,21.4,111751,2302107.95,11-FEB-2008,
ACC,EQ,783.0,786.0,728.5,737.95,730.0,779.95,395465,299435466.0,11-FEB-2008,
ACE,EQ,416.0,425.0,395.0,406.35,410.0,435.65,18623,7636625.05,11-FEB-2008,
ADANIENT,EQ,804.0,804.0,755.85,755.85,755.85,795.6,8471,6415399.8,11-FEB-2008,
ADHUNIK,EQ,168.0,168.0,158.55,158.6,158.55,166.9,70985,11287800.45,11-FEB-2008,
ADLABSFILM,EQ,960.0,974.6,775.0,814.15,799.0,962.5,882493,767880095.75,11-FEB-2008,
ADORWELD,EQ,190.0,190.0,174.0,176.85,174.0,187.0,4987,902055.45,11-FEB-2008,
ADSL,EQ,752.15,786.0,750.0,750.45,751.0,763.85,5113,3838702.4,11-FEB-2008,
ADVANIHOTR,EQ,53.7,53.7,46.8,51.0,51.0,52.0,2409,114692.2,11-FEB-2008,
ADVANTA,EQ,986.0,999.0,899.0,956.85,992.0,1000.0,14721,14255143.15,11-FEB-2008,
AEGISCHEM,EQ,255.0,258.0,225.0,229.8,225.2,254.9,10428,2464996.45,11-FEB-2008,
AFL,EQ,108.9,109.8,92.0,94.55,94.0,100.05,13021,1270487.25,11-FEB-2008,
AFTEK,EQ,55.0,55.9,47.4,48.65,47.95,54.25,684025,34705585.7,11-FEB-2008,
AGRODUTCH,BE,37.55,38.75,35.75,35.85,35.75,37.6,25813,951261.95,11-FEB-2008,
AHMEDFORGE,EQ,195.0,203.0,181.3,200.3,195.55,196.15,15280,2968044.3,11-FEB-2008,
AIAENG,EQ,1406.0,1500.0,1385.0,1460.4,1470.0,1494.45,8859,12822192.75,11-FEB-2008,
AICHAMP,BE,86.0,86.05,86.0,86.0,86.0,90.25,485,41718.0,11-FEB-2008,
AIRDECCAN,EQ,186.0,187.9,165.1,168.95,168.0,190.25,1003955,175055221.75,11-FEB-2008,
AJANTPHARM,EQ,92.0,92.0,83.05,84.25,83.75,89.2,25313,2190813.65,11-FEB-2008,
AKRUTI,EQ,1180.0,1185.0,1080.0,1134.05,1112.0,1202.75,29556,33124753.3,11-FEB-2008,
AKSHOPTFBR,EQ,58.9,58.9,55.1,55.15,55.8,58.0,29953,1654253.25,11-FEB-2008,
ALBK,EQ,109.1,110.3,102.7,105.2,103.5,111.05,663852,70298744.45,11-FEB-2008,
ALCHEM,EQ,75.1,77.5,74.2,74.75,74.5,78.65,13341,1007354.55,11-FEB-2008,
ALEMBICLTD,EQ,61.0,61.25,56.5,57.05,57.05,61.0,106627,6228743.2,11-FEB-2008,
ALFALAVAL,EQ,881.1,893.0,873.0,873.2,873.1,909.35,149,130686.7,11-FEB-2008,
