SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,480.0,488.05,465.5,475.95,475.0,484.0,19488,9274834.05,05-AUG-2013,1724,INE117A01022,
ADANIENT,EQ,163.0,170.0,155.6,167.8,168.9,157.8,1829812,299041623.0,05-AUG-2013,23439,INE423A01024,
ADANIPORTS,EQ,129.0,129.0,117.95,123.25,123.5,125.25,3230823,397536570.1,05-AUG-2013,45468,INE742F01042,
ADANIPOWER,EQ,31.9,33.15,29.3,32.1,32.2,31.85,3198744,99269990.25,05-AUG-2013,13458,INE814H01011,
AMBUJACEM,EQ,171.3,179.95,171.3,177.55,179.95,171.3,5669253,1000719136.9,05-AUG-2013,44662,INE079A01024,
APLAPOLLO,EQ,153.65,153.65,145.5,145.9,145.5,155.15,748,110424.65,05-AUG-2013,32,INE702C01019,
APOLLOHOSP,EQ,950.35,972.5,950.35,963.95,962.0,950.35,152892,146954063.75,05-AUG-2013,20475,INE437A01024,
ASHOKLEY,EQ,13.0,13.0,12.1,12.2,12.2,12.75,6990191,86632771.1,05-AUG-2013,19554,INE208A01029,
ASIANPAINT,EQ,498.1,500.45,469.0,472.8,473.25,497.45,1753463,841226477.85,05-AUG-2013,76377,INE021A01026,
ASTRAL,EQ,560.0,564.9,535.0,549.35,550.0,553.85,3097,1697259.0,05-AUG-2013,360,INE006I01020,
AUROPHARMA,EQ,158.05,160.85,146.7,148.65,148.0,157.9,2491911,381634928.5,05-AUG-2013,32366,INE406A01037,
AXISBANK,EQ,1110.0,1129.0,1073.65,1124.35,1112.0,1103.2,2996624,3308636675.6,05-AUG-2013,129229,INE238A01026,
BAJAJ-AUTO,EQ,1920.0,1920.05,1869.0,1875.95,1869.0,1909.25,214153,403323142.3,05-AUG-2013,25471,INE917I01010,
BAJAJFINSV,EQ,585.1,616.0,578.9,607.25,609.0,590.45,41594,24589475.6,05-AUG-2013,1692,INE918I01018,
BAJAJHLDNG,EQ,833.0,898.8,822.25,881.1,877.0,853.5,26940,23194414.8,05-AUG-2013,3312,INE118A01012,
BAJFINANCE,EQ,1102.55,1139.7,1056.6,1069.9,1070.0,1102.55,32468,35297858.0,05-AUG-2013,3234,INE296A01016,
BANKBARODA,EQ,490.0,507.85,471.25,503.85,503.8,487.65,1691409,828017567.05,05-AUG-2013,46678,INE028A01013,
BANKINDIA,EQ,170.0,176.9,165.1,175.65,175.9,169.65,1171717,201931689.6,05-AUG-2013,19649,INE084A01016,
