SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,1170.2,1180.0,1157.5,1168.75,1170.0,1169.85,97893,114159916.6,31-OCT-2014,4252,INE117A01022,
ADANIENT,EQ,474.3,488.0,474.0,484.25,482.05,470.7,1834920,887991071.95,31-OCT-2014,36821,INE423A01024,
ADANIPORTS,EQ,275.8,288.0,274.3,285.65,287.05,271.85,2716153,767205833.2,31-OCT-2014,30937,INE742F01042,
ADANIPOWER,EQ,46.45,48.25,46.3,48.0,47.85,45.65,6850248,326120246.3,31-OCT-2014,20477,INE814H01011,
AMBUJACEM,EQ,227.95,229.0,224.4,227.65,227.25,223.7,1778364,403233809.0,31-OCT-2014,20728,INE079A01024,
APLAPOLLO,EQ,307.4,316.55,307.4,311.0,311.0,310.55,677,210978.8,31-OCT-2014,46,INE702C01019,
APOLLOHOSP,EQ,1115.0,1125.0,1101.0,1115.45,1114.95,1115.0,137315,153161371.7,31-OCT-2014,10620,INE437A01024,
ASHOKLEY,EQ,46.5,46.8,46.0,46.45,46.5,46.3,13722221,637644566.15,31-OCT-2014,27406,INE208A01029,
ASIANPAINT,EQ,647.1,658.0,647.1,657.0,655.0,644.7,1568966,1029032087.5,31-OCT-2014,36132,INE021A01026,
ASTRAL,EQ,374.85,374.9,338.95,340.45,348.0,369.8,2986898,1018415187.6,31-OCT-2014,2284,INE006I01046,
AUROPHARMA,EQ,962.0,972.0,955.05,968.45,969.85,951.95,1215328,1172716571.8,31-OCT-2014,40108,INE406A01037,
AXISBANK,EQ,432.0,440.4,431.75,439.4,439.85,430.2,3941516,1723655208.55,31-OCT-2014,52616,INE238A01034,
BAJAJ-AUTO,EQ,2581.95,2628.25,2564.1,2611.05,2608.85,2577.5,256645,666974495.3,31-OCT-2014,11423,INE917I01010,
BAJAJFINSV,EQ,1077.0,1085.0,1058.55,1068.35,1070.0,1073.45,64349,69024059.8,31-OCT-2014,1672,INE918I01018,
BAJAJHLDNG,EQ,1375.0,1414.5,1375.0,1386.55,1386.0,1380.0,9099,12670196.95,31-OCT-2014,821,INE118A01012,
BAJFINANCE,EQ,2809.85,2838.0,2780.0,2808.5,2780.0,2795.05,32179,90260218.35,31-OCT-2014,2867,INE296A01016,
BANKBARODA,EQ,917.1,933.0,912.2,929.5,927.85,911.8,854748,790612605.35,31-OCT-2014,19778,INE028A01013,
BANKINDIA,EQ,276.4,287.3,275.25,285.35,283.5,274.0,4135303,1169147174.95,31-OCT-2014,45337,INE084A01016,
BEL,EQ,2048.0,2097.0,2043.9,2083.65,2080.0,2041.85,70817,146422213.25,31-OCT-2014,3721,INE263A01016,
BHARATFORG,EQ,807.1,822.0,807.1,813.05,812.0,801.4,1024996,835280060.85,31-OCT-2014,39217,INE465A01025,
BHARTIARTL,EQ,412.2,414.0,396.1,398.9,399.8,407.5,15235707,6111551556.45,31-OCT-2014,126102,INE397D01024,
BHEL,EQ,255.8,257.8,253.0,256.7,256.05,255.1,3808202,975472788.7,31-OCT-2014,50436,INE257A01026,
BIOCON,EQ,450.1,453.9,446.75,447.95,447.25,447.55,1419763,638543533.7,31-OCT-2014,37550,INE376G01013,
