SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
20MICRONS,EQ,30.5,30.5,30.15,30.25,30.3,30.3,91034,2753071.95,24-DEC-2014,358,INE144J01027,
3IINFOTECH,EQ,8.05,9.2,8.0,8.2,8.25,7.7,3685441,30937602.7,24-DEC-2014,8555,INE748C01020,
3MINDIA,EQ,6600.15,6679.95,6350.05,6374.2,6352.0,6618.25,849,5503827.6,24-DEC-2014,369,INE470A01017,
8KMILES,EQ,592.0,604.0,565.05,578.9,581.0,590.4,26686,15679254.5,24-DEC-2014,1488,INE650K01013,
A2ZMES,EQ,16.5,17.25,16.5,17.05,17.0,16.45,85284,1445296.55,24-DEC-2014,500,INE619I01012,
AARTIDRUGS,EQ,783.55,798.15,775.0,785.0,778.05,778.45,3698,2894961.05,24-DEC-2014,285,INE767A01016,
AARTIIND,EQ,286.0,292.0,275.05,276.05,276.0,285.35,67340,18954497.0,24-DEC-2014,1692,INE769A01020,
AARVEEDEN,EQ,41.75,44.9,41.75,43.05,42.55,41.8,14126,619492.9,24-DEC-2014,154,INE273D01019,
ABAN,EQ,414.1,426.5,414.1,419.7,421.0,412.65,870416,366265666.1,24-DEC-2014,26065,INE421A01028,
ABB,EQ,1162.0,1232.0,1155.6,1198.8,1202.0,1165.85,105974,127626119.5,24-DEC-2014,6794,INE117A01022,
ABBOTINDIA,EQ,3466.0,3534.9,3461.0,3473.2,3470.0,3487.7,695,2430454.2,24-DEC-2014,235,INE358A01014,
ABCIL,EQ,209.0,209.05,202.0,202.9,203.6,207.25,18889,3846956.55,24-DEC-2014,471,INE605B01016,
ABGSHIP,EQ,218.1,223.0,218.05,220.85,220.2,219.8,82806,18245465.55,24-DEC-2014,1476,INE067H01016,
ABIRLANUVO,EQ,1648.65,1676.25,1641.0,1666.6,1667.9,1657.0,185773,309072112.1,24-DEC-2014,6222,INE069A01017,
ACC,EQ,1385.1,1409.0,1381.0,1393.4,1391.55,1381.6,812449,1135306726.7,24-DEC-2014,13986,INE012A01025,
ACCELYA,EQ,1028.0,1028.0,1001.0,1006.5,1001.0,1021.75,4416,4472936.6,24-DEC-2014,497,INE793A01012,
ACE,EQ,36.35,39.0,35.8,37.9,38.2,36.55,393618,14929332.45,24-DEC-2014,2170,INE731H01025,
ACROPETAL,BE,3.2,3.2,2.9,3.0,3.0,3.05,64074,186905.4,24-DEC-2014,173,INE055L01013,
ADANIENT,EQ,443.4,446.95,438.5,441.6,442.5,442.8,1539329,682045006.85,24-DEC-2014,14372,INE423A01024,
ADANIPORTS,EQ,287.9,287.9,282.0,283.05,283.7,288.15,2631645,747331958.9,24-DEC-2014,25887,INE742F01042,
ADANIPOWER,EQ,41.3,43.1,41.1,42.45,42.7,41.4,5509850,232482610.1,24-DEC-2014,10714,INE814H01011,
ADFFOODS,EQ,63.6,67.05,62.6,66.5,66.3,63.4,69499,4554431.4,24-DEC-2014,984,INE982B01019,
ADHUNIK,EQ,20.25,20.8,19.85,20.15,20.05,20.45,72480,1461710.05,24-DEC-2014,440,INE400H01019,
