SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
3IINFOTECH,EQ,96.75,99.5,96.1,97.1,97.0,96.15,333243,32552291.15,26-MAY-2005,
3MINDIA,EQ,740.0,740.0,711.05,714.25,711.05,729.1,1353,984968.8,26-MAY-2005,
AARTIDRUGS,EQ,120.0,120.0,113.0,114.2,113.65,115.1,18224,2099070.55,26-MAY-2005,
AARTIIND,EQ,115.1,116.0,112.6,113.55,113.75,113.65,98518,11235404.8,26-MAY-2005,
ABANLOYD,EQ,417.4,419.0,408.0,409.75,410.0,409.95,43148,17858829.9,26-MAY-2005,
ABB,EQ,1296.0,1320.0,1276.0,1313.6,1320.0,1303.9,27736,36161000.8,26-MAY-2005,
ABSHEKINDS,EQ,32.7,33.7,32.7,33.4,33.05,32.8,492759,16353785.4,26-MAY-2005,
ABSIND,EQ,123.7,125.0,119.5,120.0,119.5,119.55,5261,632853.5,26-MAY-2005,
ACC,EQ,384.1,386.9,378.5,380.0,379.0,385.15,363005,138593905.1,26-MAY-2005,
ADANIEXPO,EQ,64.1,66.6,63.8,65.45,66.2,64.8,509982,33111359.3,26-MAY-2005,
ADLABSFILM,EQ,170.0,170.0,164.15,165.05,164.85,170.95,52682,8742693.3,26-MAY-2005,
ADORWELD,EQ,171.8,172.8,168.0,171.1,171.75,171.4,64341,10983832.55,26-MAY-2005,
AEGISCHEM,EQ,85.5,85.9,83.0,84.85,84.0,86.2,13189,1113734.9,26-MAY-2005,
AFTEKINFO,EQ,70.25,70.75,69.0,69.6,69.35,70.1,245029,17114207.5,26-MAY-2005,
AGRODUTCH,EQ,50.4,52.4,50.1,50.5,50.5,50.9,125836,6445038.35,26-MAY-2005,
AHMEDELEC,EQ,144.0,146.0,141.6,142.2,142.75,145.0,7185,1029419.2,26-MAY-2005,
AHMEDFORGE,EQ,331.0,340.0,331.0,333.25,335.0,328.65,45503,15274891.55,26-MAY-2005,
AJANTPHARM,EQ,78.95,79.35,76.25,76.95,76.6,78.7,77950,6034645.95,26-MAY-2005,
AKSHOPTFBR,EQ,57.25,57.95,56.0,56.4,56.05,57.2,16933,960448.5,26-MAY-2005,
ALBK,EQ,87.5,88.7,86.45,88.25,88.2,87.45,2170365,190089681.4,26-MAY-2005,
ALEMBICLTD,EQ,288.0,292.1,280.15,281.3,281.5,286.1,40273,11504239.6,26-MAY-2005,
ALFALAVAL,EQ,735.0,740.0,725.0,732.55,732.0,727.8,9059,6674206.65,26-MAY-2005,
ALLSEC,EQ,155.35,161.0,153.0,155.0,156.5,153.9,916761,143913243.75,26-MAY-2005,
ALOKTEXT,EQ,63.55,64.0,62.55,63.35,63.15,63.35,997713,63210932.05,26-MAY-2005,
ALPSINDUS,EQ,122.0,123.8,118.6,119.25,118.85,122.45,116850,14145314.95,26-MAY-2005,
AMARAJABAT,EQ,119.0,119.0,115.25,116.4,116.25,118.35,21638,2528299.15,26-MAY-2005,
AMBICAAGAR,EQ,24.0,27.5,24.0,24.85,24.9,23.7,1003547,25925563.45,26-MAY-2005,
AMITSPIN,BE,9.15,9.2,8.9,8.95,8.9,9.0,33952,306825.6,26-MAY-2005,
AMTEKAUTO,EQ,160.0,160.0,155.35,157.15,157.1,159.75,156196,24576133.15,26-MAY-2005,
AMTREXAPPL,EQ,49.0,49.25,47.55,48.3,47.55,49.3,34409,1671232.75,26-MAY-2005,
ANDHRABANK,EQ,102.0,102.5,100.0,100.4,101.0,101.85,711287,71649980.4,26-MAY-2005,
ANDHRSUGAR,EQ,125.05,128.65,125.0,125.25,125.0,127.85,32382,4082764.25,26-MAY-2005,
ANTGRAPHIC,BE,4.9,4.9,4.1,4.2,4.1,4.5,26644,115755.6,26-MAY-2005,
APARINDS,EQ,138.9,139.0,136.0,137.85,137.05,139.1,3658,503380.05,26-MAY-2005,
APCOTEXLAT,EQ,51.1,55.0,51.1,52.55,52.5,52.7,11941,632838.15,26-MAY-2005,
APIL,EQ,215.0,234.3,215.0,230.55,231.5,222.6,229134,52646578.75,26-MAY-2005,
APOLLOHOSP,EQ,334.0,334.0,328.0,330.15,330.4,329.75,62469,20626417.15,26-MAY-2005,
APOLLOTYRE,EQ,279.5,281.1,276.55,279.05,279.8,279.45,12824,3582623.9,26-MAY-2005,
APPAPER,EQ,122.3,124.5,121.0,123.25,122.25,121.85,4280,524990.4,26-MAY-2005,
APTECHT,EQ,52.5,53.4,51.35,52.15,52.3,52.6,797871,41904178.1,26-MAY-2005,
ARCHIES,EQ,114.25,118.0,113.0,113.7,113.4,113.55,262027,30331211.8,26-MAY-2005,
ARHAMFISCL,EQ,13.5,13.95,12.5,13.05,13.05,12.95,211040,2775771.25,26-MAY-2005,
ARL,EQ,2.8,2.85,2.65,2.65,2.65,2.8,1067317,2901709.15,26-MAY-2005,
ARVINDMILL,EQ,140.1,140.1,136.7,138.6,139.8,139.3,2015981,278804240.85,26-MAY-2005,
ASAHIINDIA,EQ,195.0,196.0,190.1,192.85,193.0,194.0,235090,45350202.25,26-MAY-2005,
ASAL,BE,97.0,97.5,93.0,95.0,95.0,96.95,5085,487601.05,26-MAY-2005,
ASHAPURMIN,EQ,436.3,438.9,425.0,427.95,425.0,439.35,1863,804207.5,26-MAY-2005,
ASHIMASYN,BE,27.05,28.0,27.0,27.15,27.1,27.05,59866,1645515.35,26-MAY-2005,
ASHOKLEY,EQ,23.95,24.0,23.6,23.75,23.95,23.8,2774218,65835783.9,26-MAY-2005,
ASIANELEC,EQ,127.1,131.0,126.95,127.6,127.85,126.95,168011,21664698.75,26-MAY-2005,
ASIANHOTEL,EQ,320.0,329.9,320.0,320.0,320.0,320.0,2611,843500.9,26-MAY-2005,
ASIANPAINT,EQ,390.0,406.0,384.05,396.85,392.0,389.0,22626,8902594.95,26-MAY-2005,
ASTRAIDL,EQ,1962.2,2009.0,1962.1,1985.4,1973.1,2002.25,237,468683.9,26-MAY-2005,
ASTRAMICRO,EQ,1305.0,1320.0,1300.0,1307.95,1300.0,1310.0,3953,5168380.0,26-MAY-2005,
ATCOM,BE,8.85,9.0,8.5,8.6,8.5,8.85,18560,161741.8,26-MAY-2005,
ATFL,BE,91.4,91.4,87.05,88.15,87.75,90.0,17570,1554438.5,26-MAY-2005,
ATLASCYCLE,EQ,137.1,137.95,134.5,134.95,135.0,136.5,3380,459811.85,26-MAY-2005,
ATNINT,BE,3.65,3.7,3.5,3.5,3.5,3.55,70862,251252.2,26-MAY-2005,
ATUL,EQ,90.25,95.0,88.0,93.4,92.4,90.25,708275,65865344.45,26-MAY-2005,
AUROPHARMA,EQ,298.4,305.0,295.5,298.55,303.8,299.75,152599,45635764.45,26-MAY-2005,
AUTOAXLES,EQ,425.05,437.95,425.05,431.05,429.0,433.7,3061,1317769.75,26-MAY-2005,
AVAYAGCL,EQ,385.5,392.0,382.05,387.45,387.05,385.4,3616,1398266.3,26-MAY-2005,
AVENTIS,EQ,1294.5,1294.5,1275.0,1285.45,1287.0,1286.45,4322,5535664.7,26-MAY-2005,
AZTEC,EQ,106.0,109.3,106.0,108.1,108.0,108.2,76780,8297816.85,26-MAY-2005,
BAGFILMS,EQ,10.9,11.0,10.6,10.9,10.8,10.7,160785,1748537.1,26-MAY-2005,
BAGYAMETAL,EQ,27.0,27.2,25.8,26.9,26.85,27.0,36510,981124.95,26-MAY-2005,
BAJAJAUTO,EQ,1206.0,1250.0,1190.1,1232.35,1225.0,1213.55,541319,661291436.5,26-MAY-2005,
BAJAJHIND,EQ,140.0,140.4,138.0,138.75,140.0,139.55,114003,15806268.35,26-MAY-2005,
BAJAJPLAST,EQ,9.3,9.3,9.05,9.3,9.3,8.85,10572,98282.1,26-MAY-2005,
BAJAUTOFIN,EQ,217.0,219.9,212.0,217.9,218.9,213.85,12101,2626534.55,26-MAY-2005,
BALAJITELE,EQ,103.3,104.85,102.7,104.15,104.65,102.15,52911,5495758.35,26-MAY-2005,
BALASPONGE,EQ,47.0,47.0,45.55,45.7,45.7,46.6,38310,1767487.0,26-MAY-2005,
BALMLAWRIE,EQ,313.0,316.0,306.1,311.15,312.0,313.1,72269,22544634.45,26-MAY-2005,
BALRAMCHIN,EQ,57.9,57.9,56.95,57.3,57.0,57.15,226198,12967118.8,26-MAY-2005,
BANARISUG,EQ,498.0,498.0,490.0,490.0,490.0,494.15,150,73900.0,26-MAY-2005,
BANKBARODA,EQ,199.0,200.1,194.65,199.7,198.35,198.4,959551,190445702.1,26-MAY-2005,
BANKBEES,EQ,355.0,355.0,355.0,355.0,355.0,356.95,2500,887500.0,26-MAY-2005,
BANKINDIA,EQ,98.95,99.75,97.75,98.95,99.5,99.25,632261,62396250.2,26-MAY-2005,
BANKPUNJAB,EQ,30.75,30.75,29.75,30.0,30.0,30.25,135395,4084822.5,26-MAY-2005,
BANKRAJAS,EQ,56.0,56.35,54.1,54.3,54.4,55.75,430235,23679687.65,26-MAY-2005,
BASF,EQ,200.0,209.95,200.0,207.1,205.0,209.3,5185,1072947.2,26-MAY-2005,
BATAINDIA,EQ,87.0,88.35,86.1,86.7,86.1,87.45,101140,8821531.05,26-MAY-2005,
BBTC,BE,188.0,190.0,185.0,186.0,187.0,189.8,6761,1271165.4,26-MAY-2005,
BEL,EQ,800.0,803.0,787.0,792.8,788.0,795.25,60995,48484453.4,26-MAY-2005,
BELCERAMIC,EQ,26.95,27.45,26.1,26.35,26.2,26.8,190446,5125399.1,26-MAY-2005,
BEML,EQ,687.3,691.75,683.0,686.7,688.0,685.25,180785,124316848.95,26-MAY-2005,
BEPL,EQ,35.7,35.9,35.0,35.4,35.2,35.15,515563,18153163.3,26-MAY-2005,
BERGEPAINT,EQ,49.85,49.85,48.6,49.0,49.25,49.2,56175,2753721.55,26-MAY-2005,
BGFL,EQ,99.95,99.95,95.05,96.1,96.8,96.6,9463,924743.05,26-MAY-2005,
BHARATFORG,EQ,1374.9,1383.95,1357.0,1363.4,1363.0,1379.45,44724,61232624.15,26-MAY-2005,
BHARATGEAR,EQ,86.25,86.25,82.1,83.35,83.0,85.85,20840,1744587.9,26-MAY-2005,
