SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
3IINFOTECH,EQ,121.0,122.5,115.0,116.75,118.0,120.2,222970,26499810.5,27-MAY-2008,
3MINDIA,EQ,1855.0,1889.0,1855.0,1871.2,1871.2,1894.5,61,114093.5,27-MAY-2008,
AARTIDRUGS,EQ,50.0,51.8,50.0,50.3,50.2,50.0,6663,338055.15,27-MAY-2008,
AARTIIND,EQ,34.45,35.35,34.2,34.45,34.75,33.85,61000,2122829.6,27-MAY-2008,
AARVEEDEN,EQ,74.1,75.4,72.1,72.85,72.1,74.55,97,7192.4,27-MAY-2008,
ABAN,EQ,3935.0,4095.0,3912.0,4063.0,4079.5,3873.35,347787,1404384010.15,27-MAY-2008,
ABB,EQ,998.0,1024.0,994.95,1004.0,1005.0,993.35,487669,494265921.4,27-MAY-2008,
ABGSHIP,EQ,590.0,590.0,545.4,550.35,548.0,573.25,10631,6011025.75,27-MAY-2008,
ABIRLANUVO,EQ,1535.8,1550.0,1451.25,1469.9,1473.0,1472.45,184312,269123118.5,27-MAY-2008,
ABSHEKINDS,EQ,18.15,18.55,17.7,17.95,18.0,18.3,71843,1307969.45,27-MAY-2008,
ACC,EQ,669.9,669.9,653.15,655.85,654.0,654.9,274534,180106514.55,27-MAY-2008,
ACE,EQ,78.7,79.0,74.05,75.0,74.4,77.35,206209,15515475.05,27-MAY-2008,
ADANIENT,EQ,833.0,854.9,832.05,835.6,835.0,832.65,63677,53738511.1,27-MAY-2008,
ADHUNIK,EQ,163.0,166.8,160.0,160.35,160.0,160.3,70257,11436850.45,27-MAY-2008,
ADLABSFILM,EQ,626.4,654.9,619.2,623.95,627.0,639.8,881580,564352231.4,27-MAY-2008,
ADORWELD,EQ,156.15,159.0,155.5,155.5,156.4,156.8,1911,298572.6,27-MAY-2008,
ADSL,EQ,900.1,928.85,900.1,905.4,916.9,913.9,2822,2562291.65,27-MAY-2008,
ADVANIHOTR,BE,100.75,100.75,99.0,99.95,99.95,99.5,92570,9243307.9,27-MAY-2008,
ADVANTA,EQ,955.0,955.0,910.0,918.4,910.0,950.1,140,130078.85,27-MAY-2008,
AEGISCHEM,EQ,236.9,250.0,234.0,236.15,238.35,230.65,3635,871583.95,27-MAY-2008,
AFL,EQ,81.55,83.0,81.5,82.5,82.5,83.0,5124,422610.0,27-MAY-2008,
AFTEK,EQ,49.25,49.4,45.95,46.2,46.0,48.6,494019,23386593.05,27-MAY-2008,
AGRODUTCH,EQ,32.9,34.5,31.5,31.75,31.65,31.95,33699,1107676.25,27-MAY-2008,
AHMEDFORGE,EQ,134.0,134.0,129.15,129.25,129.8,130.3,2371,309096.85,27-MAY-2008,
AIAENG,EQ,1462.1,1580.0,1462.1,1512.5,1514.0,1513.2,1977,2992311.8,27-MAY-2008,
AICHAMP,EQ,80.5,80.5,73.5,73.5,73.5,76.9,394,30041.85,27-MAY-2008,
AIRDECCAN,EQ,121.7,123.0,118.2,118.95,118.7,118.95,372797,44907256.2,27-MAY-2008,
AJANTPHARM,EQ,93.0,94.5,91.65,92.0,91.7,91.95,1438,133222.45,27-MAY-2008,
AKRUTI,EQ,960.05,1000.0,941.0,954.15,944.2,958.7,10973,10711616.05,27-MAY-2008,
AKSHOPTFBR,BE,46.0,46.0,43.7,43.85,44.75,44.85,2533,113078.4,27-MAY-2008,
ALBK,EQ,85.95,86.4,81.5,82.65,83.0,84.45,520044,43385473.15,27-MAY-2008,
ALCHEM,EQ,114.0,116.0,114.0,115.25,116.0,113.1,14514,1669775.05,27-MAY-2008,
ALEMBICLTD,EQ,57.1,57.75,56.0,56.25,56.4,56.5,20962,1187222.65,27-MAY-2008,
ALFALAVAL,EQ,845.0,880.0,832.0,833.35,832.0,846.25,381,322336.7,27-MAY-2008,
ALKYLAMINE,EQ,93.95,93.95,93.95,93.95,93.95,94.0,8,751.6,27-MAY-2008,
ALLCARGO,EQ,725.0,725.0,699.0,703.05,700.0,707.6,374,264868.2,27-MAY-2008,
ALLSEC,EQ,65.5,65.5,61.25,63.2,61.3,64.8,11146,713895.2,27-MAY-2008,
ALOKTEXT,EQ,64.15,65.6,60.85,61.4,61.85,64.05,977529,62243599.85,27-MAY-2008,
ALPA,EQ,25.05,25.85,24.1,24.25,24.15,25.25,15005,373006.15,27-MAY-2008,
ALPHAGEO,EQ,520.0,543.0,500.0,512.8,502.5,537.25,2367,1230739.2,27-MAY-2008,
ALPSINDUS,EQ,40.5,44.5,39.0,39.4,39.4,39.65,32492,1308196.25,27-MAY-2008,
AMAR,EQ,30.05,31.4,29.6,30.1,30.5,30.3,25699,784373.8,27-MAY-2008,
AMARAJABAT,EQ,208.8,208.8,190.0,191.5,190.1,189.75,21726,4260528.25,27-MAY-2008,
AMBICAAGAR,EQ,13.05,13.35,12.75,12.75,12.75,13.15,7151,92846.3,27-MAY-2008,
AMBIKCO,EQ,110.05,120.0,110.05,114.0,114.0,114.15,218,24634.65,27-MAY-2008,
AMBUJACEM,EQ,98.0,99.7,95.7,97.75,97.3,96.45,1751297,171977326.9,27-MAY-2008,
AMDIND,EQ,27.0,27.75,24.7,25.0,25.0,25.55,9110,230561.1,27-MAY-2008,
AML,EQ,40.85,41.4,38.5,40.3,40.3,40.4,10888,436242.4,27-MAY-2008,
AMTEKAUTO,EQ,292.3,298.0,282.25,295.8,294.0,287.85,131808,38760212.4,27-MAY-2008,
AMTEKINDIA,EQ,104.0,104.9,99.65,102.0,102.0,101.0,112775,11455061.6,27-MAY-2008,
ANANTRAJ,EQ,238.0,242.95,225.05,228.9,230.0,234.15,18353,4230936.3,27-MAY-2008,
ANDHRABANK,EQ,79.0,79.0,74.4,74.9,75.0,77.9,575141,43426208.45,27-MAY-2008,
ANDHRSUGAR,EQ,102.0,103.5,97.1,98.1,98.1,100.3,18289,1839572.0,27-MAY-2008,
ANGAUTO,EQ,91.25,93.8,89.0,91.75,91.3,94.2,10352,947330.95,27-MAY-2008,
ANIKINDS,EQ,50.05,50.8,50.0,50.8,50.8,51.9,375,18791.25,27-MAY-2008,
ANKURDRUGS,EQ,245.0,249.35,235.0,236.3,236.85,241.2,35916,8763970.35,27-MAY-2008,
ANSALHSG,EQ,136.0,144.7,135.6,140.2,140.0,136.5,41840,5898923.3,27-MAY-2008,
ANSALINFRA,EQ,148.9,148.9,137.1,138.45,138.9,143.5,388448,55750448.2,27-MAY-2008,
ANTGRAPHIC,EQ,0.75,0.8,0.7,0.7,0.75,0.75,313284,232340.1,27-MAY-2008,
