SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
ABB,EQ,1760.0,1788.0,1742.0,1753.05,1746.05,1765.95,41422,73061896.05,6-OCT-2005,
APOLLOHOSP,EQ,455.8,460.0,446.55,449.3,449.15,455.8,73164,33137045.25,6-OCT-2005,
ASHOKLEY,EQ,29.1,29.2,28.1,28.25,28.3,29.4,5434288,154893170.35,6-OCT-2005,
ASIANPAINT,EQ,519.0,529.0,512.1,524.85,529.0,519.45,22105,11471354.65,6-OCT-2005,
AUROPHARMA,EQ,360.1,365.9,355.0,358.25,361.0,362.35,48952,17668196.9,6-OCT-2005,
BANKBARODA,EQ,245.0,247.0,238.0,240.0,239.35,248.25,522013,126366706.55,6-OCT-2005,
BANKINDIA,EQ,125.0,128.35,122.75,123.4,122.8,128.45,1981196,248794166.35,6-OCT-2005,
BEL,EQ,835.0,863.9,830.0,836.3,833.0,838.2,82987,70254365.0,6-OCT-2005,
BHARATFORG,EQ,358.0,361.9,351.0,355.65,355.0,361.45,512869,183408855.7,6-OCT-2005,
BHEL,EQ,1234.6,1268.0,1211.0,1221.5,1217.0,1262.2,354160,439759527.9,6-OCT-2005,
BIOCON,EQ,470.0,470.0,461.0,467.4,468.0,467.65,44008,20552485.1,6-OCT-2005,
BLUESTARCO,EQ,403.0,425.0,400.0,412.65,413.0,403.05,7361,3024632.65,6-OCT-2005,
BPCL,EQ,415.8,429.4,409.05,424.55,422.0,413.45,530419,224974030.3,6-OCT-2005,
BRITANNIA,EQ,1253.0,1269.95,1235.0,1247.4,1245.95,1247.8,4506,5647827.3,6-OCT-2005,
CANBK,EQ,234.0,235.0,228.0,229.1,229.5,235.75,640566,148083255.85,6-OCT-2005,
CIPLA,EQ,375.0,379.7,355.0,377.2,377.5,379.5,914738,341645618.1,6-OCT-2005,
CONCOR,EQ,1329.0,1350.0,1329.0,1349.9,1350.0,1329.9,6650,8967301.25,6-OCT-2005,
CUMMINSIND,EQ,149.0,150.4,146.65,149.5,149.5,151.05,245935,36550421.15,6-OCT-2005,
DABUR,EQ,164.9,165.95,162.0,164.4,164.0,165.15,270708,44370843.35,6-OCT-2005,
DIVISLAB,EQ,1582.0,1660.0,1581.2,1617.65,1610.0,1636.1,28820,46947520.9,6-OCT-2005,
DRREDDY,EQ,889.0,932.5,889.0,921.35,923.2,909.05,215796,197825952.35,6-OCT-2005,
EICHERMOT,EQ,287.5,287.5,279.0,281.15,283.0,285.25,2765,779488.55,6-OCT-2005,
FEDERALBNK,EQ,197.5,199.45,193.0,195.8,196.5,196.05,792038,155735615.65,6-OCT-2005,
GAIL,EQ,270.0,276.0,268.6,270.2,269.5,275.65,674907,183498856.25,6-OCT-2005,
GLENMARK,EQ,319.0,342.0,307.0,336.85,338.0,321.7,393541,129971225.45,6-OCT-2005,
GODFRYPHLP,EQ,1007.5,1007.5,1005.0,1005.05,1005.0,1007.5,1006,1011096.8,6-OCT-2005,
GODREJCP,EQ,440.0,464.85,440.0,459.25,459.0,460.1,4923,2251136.3,6-OCT-2005,
GRASIM,EQ,1360.0,1360.0,1311.05,1332.85,1325.0,1354.45,193285,258125305.15,6-OCT-2005,
HAVELLS,EQ,365.0,389.0,365.0,379.25,378.0,370.5,181234,68582100.6,6-OCT-2005,
HCLTECH,EQ,482.0,484.0,454.2,460.15,457.9,484.6,1199385,561416982.1,6-OCT-2005,
HDFCBANK,EQ,694.8,694.85,670.0,682.05,682.95,702.65,431651,296249400.9,6-OCT-2005,
HINDPETRO,EQ,322.0,331.75,318.05,328.15,325.5,322.05,1337129,437339396.1,6-OCT-2005,
ICICIBANK,EQ,562.0,563.5,532.1,534.5,532.25,562.1,2535267,1370296205.8,6-OCT-2005,
INDHOTEL,EQ,772.2,777.0,758.05,760.3,761.0,766.1,184657,141636264.8,6-OCT-2005,
INDUSINDBK,EQ,71.7,71.9,69.7,70.5,70.2,72.1,785831,55777173.55,6-OCT-2005,
