SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
ABB,EQ,1080.0,1084.8,1047.0,1069.75,1070.0,1076.1,194763,206875273.45,8-APR-2008,
ADANIENT,EQ,635.1,654.95,630.05,644.55,645.55,635.4,35797,22992995.0,8-APR-2008,
AMBUJACEM,EQ,118.0,120.9,116.05,118.05,117.95,118.05,2256645,265168989.65,8-APR-2008,
APOLLOHOSP,EQ,529.5,535.0,521.2,534.3,535.0,525.1,11768,6263828.55,8-APR-2008,
ASHOKLEY,EQ,35.2,37.55,35.2,37.1,37.2,35.1,8244171,303107257.35,8-APR-2008,
ASIANPAINT,EQ,1174.2,1197.95,1170.0,1182.1,1189.0,1183.45,11364,13432943.15,8-APR-2008,
ASTRAL,EQ,160.0,161.95,155.55,155.55,155.55,160.1,263,41344.6,8-APR-2008,
AUROPHARMA,EQ,291.45,303.85,289.2,296.4,294.1,290.35,415659,123305494.2,8-APR-2008,
AXISBANK,EQ,751.0,776.8,744.05,758.75,755.3,751.15,1050992,799899193.85,8-APR-2008,
BAJAJHLDNG,EQ,670.0,680.0,658.0,674.2,670.0,676.7,65169,43750155.1,8-APR-2008,
BANKBARODA,EQ,283.0,288.25,278.1,280.2,280.9,282.4,518835,146707549.3,8-APR-2008,
BANKINDIA,EQ,295.0,304.75,289.05,298.3,298.9,294.8,2736650,817288513.7,8-APR-2008,
BEL,EQ,1198.0,1200.0,1135.0,1164.05,1170.0,1182.75,120746,142406994.85,8-APR-2008,
BHARATFORG,EQ,281.0,285.0,270.1,274.05,270.25,278.1,138095,38575973.3,8-APR-2008,
BHARTIARTL,EQ,819.0,834.0,797.7,828.45,830.0,818.8,2331424,1895613890.35,8-APR-2008,
BHEL,EQ,1660.0,1725.0,1615.0,1714.25,1708.0,1636.0,3750129,6338261943.95,8-APR-2008,
BIOCON,EQ,440.0,440.0,428.55,430.55,431.0,434.05,26587,11515179.7,8-APR-2008,
BLUESTARCO,EQ,422.0,425.0,412.25,422.0,424.0,420.2,6150,2583406.55,8-APR-2008,
BOSCHLTD,EQ,3701.05,3810.0,3701.05,3779.75,3740.0,3741.0,45771,171729994.3,8-APR-2008,
BPCL,EQ,403.0,408.8,389.0,394.5,393.0,401.1,413113,164534455.9,8-APR-2008,
BRITANNIA,EQ,1295.25,1309.9,1286.1,1303.35,1307.0,1295.4,401,520764.25,8-APR-2008,
CANBK,EQ,227.9,230.8,219.15,220.1,219.7,226.7,1032672,231707915.45,8-APR-2008,
CIPLA,EQ,215.0,216.6,211.05,212.5,212.45,215.0,557673,119011914.3,8-APR-2008,
COLPAL,EQ,430.0,437.0,426.05,427.6,426.1,428.85,110575,47657129.3,8-APR-2008,
CONCOR,EQ,1735.0,1750.0,1725.0,1737.7,1738.0,1725.3,23657,41162214.45,8-APR-2008,
CUMMINSIND,EQ,317.7,321.5,312.0,315.35,313.0,312.5,65727,20719738.1,8-APR-2008,
DABUR,EQ,109.9,111.0,106.15,110.45,110.5,110.15,242252,26568044.25,8-APR-2008,
DIVISLAB,EQ,1281.25,1304.95,1255.15,1274.45,1272.6,1283.9,39424,50520819.0,8-APR-2008,
DLF,EQ,618.85,636.0,612.5,616.25,617.0,617.65,3334420,2078013985.55,8-APR-2008,
DRREDDY,EQ,603.0,613.0,584.0,592.6,593.0,604.6,159990,95535307.75,8-APR-2008,
EICHERMOT,EQ,248.0,249.0,243.05,246.05,244.3,245.05,2597,639979.2,8-APR-2008,
FEDERALBNK,EQ,222.5,229.5,218.4,226.8,225.35,221.35,225028,50924532.0,8-APR-2008,
FORTIS,EQ,76.15,79.65,75.2,76.9,76.4,77.0,222193,17107159.9,8-APR-2008,
GAIL,EQ,428.05,436.8,421.0,430.0,429.1,428.05,1275974,545612556.8,8-APR-2008,
GLENMARK,EQ,493.0,547.0,490.0,523.55,520.0,492.0,822981,425860844.25,8-APR-2008,
GODFRYPHLP,EQ,1293.1,1352.0,1293.1,1330.75,1311.45,1300.0,581,765964.25,8-APR-2008,
GODREJCP,EQ,125.0,128.0,123.0,124.95,125.2,124.05,1066711,131298770.6,8-APR-2008,
GRASIM,EQ,2625.0,2660.0,2530.0,2569.65,2560.1,2607.5,49620,126900500.9,8-APR-2008,
HAVELLS,EQ,469.9,488.65,463.4,480.05,480.0,463.4,19310,9253221.9,8-APR-2008,
HCLTECH,EQ,245.0,248.0,237.85,238.65,238.15,244.55,483267,115784323.1,8-APR-2008,
HDFCBANK,EQ,1325.0,1325.0,1290.1,1308.55,1307.3,1303.4,734923,960097513.35,8-APR-2008,
HINDALCO,EQ,171.0,173.5,167.55,169.7,170.1,173.2,1886513,321237926.85,8-APR-2008,
HINDPETRO,EQ,252.05,254.95,247.5,248.75,248.0,252.7,492577,122949063.95,8-APR-2008,
HINDUNILVR,EQ,254.3,254.3,244.25,248.85,248.3,253.2,2205559,547791765.65,8-APR-2008,
HINDZINC,EQ,506.05,535.0,506.0,533.25,532.0,514.4,48279,25196015.1,8-APR-2008,
ICICIBANK,EQ,726.55,828.8,726.55,814.0,813.1,811.3,4669470,3782205609.7,8-APR-2008,
IDEA,EQ,99.9,99.9,97.05,98.8,99.0,100.15,1753097,172367693.8,8-APR-2008,
INDHOTEL,EQ,110.05,112.5,109.15,111.8,112.0,111.7,1334783,148908029.35,8-APR-2008,
INDIANB,EQ,157.0,164.95,155.4,162.8,163.1,157.0,302956,48835444.4,8-APR-2008,
INDUSINDBK,EQ,77.5,81.4,76.5,79.0,78.95,77.4,684893,54570068.65,8-APR-2008,
IOC,EQ,448.85,456.95,448.2,453.65,453.0,450.8,234845,106285630.75,8-APR-2008,
ITC,EQ,211.0,211.0,206.25,208.55,207.0,210.35,6728116,1404363218.3,8-APR-2008,
JINDALSTEL,EQ,1900.0,1929.7,1790.0,1808.25,1805.0,1897.45,898679,1654293064.9,8-APR-2008,
JSWSTEEL,EQ,760.0,772.0,725.0,738.0,733.05,759.9,430062,320336375.45,8-APR-2008,
KEI,EQ,65.35,65.35,61.6,62.15,62.5,65.9,101595,6381500.05,8-APR-2008,
KOTAKBANK,EQ,633.0,657.0,624.0,642.25,636.1,629.15,2189056,1401804753.55,8-APR-2008,
LICHSGFIN,EQ,280.3,286.9,277.3,279.85,278.9,282.8,181459,51008177.35,8-APR-2008,
LT,EQ,2700.0,2712.0,2570.05,2584.15,2580.2,2719.0,2449331,6375627889.15,8-APR-2008,
LUPIN,EQ,495.0,498.0,489.05,495.95,492.0,493.45,26450,13043736.4,8-APR-2008,
M&M,EQ,615.1,620.0,600.05,607.65,604.0,615.1,583272,355244932.85,8-APR-2008,
MARICO,EQ,69.95,70.8,69.05,69.5,69.75,70.05,101497,7097610.9,8-APR-2008,
MARUTI,EQ,765.0,765.0,740.1,744.65,743.9,759.65,550601,411726129.2,8-APR-2008,
MOTILALOFS,EQ,511.35,595.0,511.35,577.2,585.0,557.7,73305,42180187.9,8-APR-2008,
MPHASIS,EQ,204.95,207.95,200.05,205.55,202.2,205.0,62110,12729851.85,8-APR-2008,
NATIONALUM,EQ,451.05,451.05,429.5,433.35,431.85,450.8,712446,311289404.7,8-APR-2008,
NAUKRI,EQ,849.9,852.0,840.0,840.55,841.0,843.25,1384,1167731.7,8-APR-2008,
NMDC,EQ,12090.0,12327.5,11699.0,12327.5,12327.5,11206.8,1903,22899236.75,8-APR-2008,
NTPC,EQ,190.0,190.8,185.65,186.65,186.4,190.2,5030226,942058162.25,8-APR-2008,
ONGC,EQ,1020.0,1029.0,995.35,1012.0,1012.0,1018.6,1358342,1365811884.7,8-APR-2008,
PETRONET,EQ,72.6,75.85,72.05,74.1,74.2,72.9,2566067,190725895.05,8-APR-2008,
PFC,EQ,163.85,163.85,156.25,157.95,157.6,158.95,286033,45502405.05,8-APR-2008,
PHOENIXLTD,EQ,393.75,393.75,377.8,381.9,386.0,399.95,1875,716374.7,8-APR-2008,
PIDILITIND,EQ,135.0,137.25,132.8,136.45,136.35,136.6,5654,764006.9,8-APR-2008,
PNB,EQ,513.0,519.0,503.0,514.9,514.0,513.75,488360,250501031.75,8-APR-2008,
POWERGRID,EQ,98.25,98.45,95.2,95.9,95.6,98.4,3236520,312291667.1,8-APR-2008,
RADICO,EQ,109.95,111.5,108.0,108.25,108.05,108.65,23853,2608939.45,8-APR-2008,
RECLTD,EQ,105.5,109.6,104.55,107.45,107.2,106.25,1453363,156465687.7,8-APR-2008,
RELIANCE,EQ,2400.0,2422.85,2359.95,2381.75,2371.0,2404.9,2819713,6707936004.85,8-APR-2008,
SAIL,EQ,162.55,169.9,156.2,157.05,157.2,168.05,15241343,2442267140.8,8-APR-2008,
SBIN,EQ,1690.0,1722.0,1648.35,1674.3,1677.8,1673.4,1281660,2148202902.85,8-APR-2008,
SHREECEM,EQ,1040.35,1120.0,1040.35,1093.05,1090.0,1073.6,1811,1978296.85,8-APR-2008,
SIEMENS,EQ,585.95,597.0,562.0,578.4,575.9,586.15,673046,387437450.95,8-APR-2008,
SRF,EQ,101.0,105.8,101.0,102.8,102.2,101.25,212994,22005305.55,8-APR-2008,
SUNPHARMA,EQ,1285.0,1289.35,1250.0,1268.25,1265.0,1276.6,246424,311122090.75,8-APR-2008,
SUPREMEIND,EQ,233.75,234.8,223.1,232.75,232.0,230.05,440,102223.75,8-APR-2008,
SUZLON,EQ,291.0,296.85,286.3,289.7,290.05,293.3,6883713,2001302448.85,8-APR-2008,
TATAELXSI,EQ,170.05,172.3,165.55,166.9,167.0,170.9,7291,1231476.3,8-APR-2008,
TATAPOWER,EQ,1178.8,1189.7,1124.0,1133.5,1126.9,1178.8,580545,673347596.2,8-APR-2008,
TATASTEEL,EQ,680.5,680.5,653.7,657.05,655.0,680.55,1560583,1035640688.85,8-APR-2008,
TCS,EQ,905.0,907.0,875.0,887.35,888.0,904.1,1013838,897995393.1,8-APR-2008,
TECHM,EQ,745.35,845.9,741.0,829.25,825.05,742.85,568299,454288672.0,8-APR-2008,
TITAN,EQ,1012.55,1057.9,1006.0,1032.2,1030.3,1026.2,52780,54708781.7,8-APR-2008,
TORNTPHARM,EQ,142.9,147.0,141.75,145.8,147.0,142.1,14941,2159831.45,8-APR-2008,
TRENT,EQ,503.0,513.5,498.0,499.75,499.9,498.6,5825,2915916.45,8-APR-2008,
TVSMOTOR,EQ,34.4,34.4,32.5,32.65,32.65,33.5,1276092,42012635.0,8-APR-2008,
ULTRACEMCO,EQ,799.0,799.0,780.2,794.25,786.5,800.65,6429,5099665.95,8-APR-2008,
UNIONBANK,EQ,148.0,154.5,144.5,153.4,153.85,148.4,1086826,163831441.75,8-APR-2008,
VOLTAS,EQ,162.5,167.4,161.0,162.0,161.5,162.5,443360,72623634.2,8-APR-2008,
WIPRO,EQ,430.0,434.0,411.25,413.9,413.15,434.65,787677,327968334.95,8-APR-2008,
YESBANK,EQ,145.4,165.6,145.4,162.45,163.9,145.4,7128801,1122660573.3,8-APR-2008,
