SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
360ONE, EQ, 29-Apr-2026,1038.95,1045.0,1055.5,1034.15,1043.0,1046.8,1046.27,687054,7188.45,32850, 326416, 47.51
ABB, EQ, 29-Apr-2026,7288.0,7340.0,7373.0,7212.0,7265.0,7264.5,7272.19,361430,26283.86,32811, 173064, 47.88
ABCAPITAL, EQ, 29-Apr-2026,338.3,339.95,354.65,337.55,347.65,348.45,349.77,6756111,23630.74,151197, 1874752, 27.75
ADANIENSOL, EQ, 29-Apr-2026,1435.45,1439.0,1461.95,1412.0,1417.95,1418.15,1427.72,2356863,33649.35,59677, 788805, 33.47
ADANIENT, EQ, 29-Apr-2026,2412.4,2427.6,2443.8,2388.0,2415.0,2425.9,2424.36,4656967,112901.61,101622, 2025182, 43.49
ADANIGREEN, EQ, 29-Apr-2026,1249.95,1256.0,1271.95,1237.0,1240.0,1244.8,1252.41,2941179,36835.58,58966, 619054, 21.05
ADANIPORTS, EQ, 29-Apr-2026,1637.6,1645.0,1672.0,1644.9,1655.0,1661.1,1660.41,2345365,38942.74,78207, 1077799, 45.95
ADANIPOWER, EQ, 29-Apr-2026,223.35,225.0,226.24,215.35,217.8,219.28,222.19,51932086,115388.92,193275, 17947702, 34.56
ALKEM, EQ, 29-Apr-2026,5418.5,5420.0,5453.5,5305.5,5353.0,5344.0,5356.23,96480,5167.69,13799, 57617, 59.72
AMBER, EQ, 29-Apr-2026,8200.0,8240.0,8277.5,8056.0,8081.0,8082.0,8135.12,150382,12233.76,19859, 38287, 25.46
AMBUJACEM, EQ, 29-Apr-2026,458.8,463.7,465.5,453.0,455.25,454.6,459.36,1778884,8171.41,30309, 709634, 39.89
ANGELONE, EQ, 29-Apr-2026,319.27,319.27,323.4,311.79,312.9,313.1,317.51,4413662,14013.77,43874, 1507182, 34.15
APLAPOLLO, EQ, 29-Apr-2026,1976.0,1989.4,1998.4,1959.5,1968.0,1966.6,1974.37,373009,7364.56,21466, 221044, 59.26
APOLLOHOSP, EQ, 29-Apr-2026,7753.0,7745.0,7799.0,7681.0,7718.5,7709.0,7733.4,321242,24842.94,40806, 189347, 58.94
ASHOKLEY, EQ, 29-Apr-2026,167.52,168.35,169.26,165.11,165.8,165.73,166.86,16722649,27903.86,104432, 7612566, 45.52
ASIANPAINT, EQ, 29-Apr-2026,2462.6,2469.9,2477.9,2438.6,2451.6,2447.3,2455.41,603585,14820.47,66322, 275460, 45.64
ASTRAL, EQ, 29-Apr-2026,1548.9,1557.0,1601.0,1544.2,1555.9,1552.8,1565.83,803166,12576.18,27388, 323354, 40.26
AUBANK, EQ, 29-Apr-2026,1022.8,1030.5,1037.2,1013.5,1013.5,1017.65,1024.11,1345598,13780.42,35871, 589747, 43.83
AUROPHARMA, EQ, 29-Apr-2026,1422.6,1425.9,1433.0,1389.3,1396.0,1396.8,1405.96,1738923,24448.5,51348, 965528, 55.52
AXISBANK, EQ, 29-Apr-2026,1289.0,1295.0,1309.2,1279.0,1290.6,1296.4,1293.7,6228275,80575.13,135909, 3665015, 58.84
BAJAJ-AUTO, EQ, 29-Apr-2026,9495.5,9510.0,9709.5,9496.0,9520.5,9543.5,9609.35,261656,25143.43,37908, 134818, 51.52
BAJAJFINSV, EQ, 29-Apr-2026,1779.0,1778.0,1793.9,1760.8,1760.8,1764.2,1775.95,699788,12427.9,53006, 391373, 55.93
BAJAJHLDNG, EQ, 29-Apr-2026,10246.5,10355.0,10470.0,10290.0,10340.0,10305.5,10359.58,23745,2459.88,7120, 9779, 41.18
BAJFINANCE, EQ, 29-Apr-2026,923.65,925.0,937.0,916.6,932.8,930.0,929.23,5438997,50540.96,105181, 2448990, 45.03
BANDHANBNK, EQ, 29-Apr-2026,178.65,186.01,204.44,186.01,198.67,198.3,198.26,127812255,253401.79,457619, 23023000, 18.01
BANKBARODA, EQ, 29-Apr-2026,267.83,269.2,271.81,267.4,268.3,268.25,269.77,5919525,15969.26,41702, 2206478, 37.27
BANKINDIA, EQ, 29-Apr-2026,144.25,145.0,147.25,142.72,143.22,143.21,145.45,9711019,14124.73,75132, 3907166, 40.23
BDL, EQ, 29-Apr-2026,1396.7,1403.0,1431.8,1382.4,1398.6,1394.1,1407.62,1305339,18374.21,38978, 368449, 28.23
BEL, EQ, 29-Apr-2026,435.75,437.05,442.8,435.25,437.7,437.55,438.52,9507163,41690.83,111608, 4622109, 48.62
BHARATFORG, EQ, 29-Apr-2026,1894.8,1905.7,1949.9,1897.2,1906.9,1907.8,1926.47,1752427,33760.03,60594, 709962, 40.51
BHARTIARTL, EQ, 29-Apr-2026,1843.8,1848.0,1900.4,1845.4,1885.8,1888.1,1886.5,7713013,145506.32,229274, 5033301, 65.26
BHEL, EQ, 29-Apr-2026,354.71,356.8,358.1,342.51,344.99,344.5,348.74,14716414,51321.45,146633, 5749881, 39.07
BIOCON, EQ, 29-Apr-2026,362.8,364.7,368.2,361.25,363.0,362.25,364.49,1477358,5384.76,20357, 680847, 46.09
BLUESTARCO, EQ, 29-Apr-2026,1891.6,1900.0,1900.0,1828.4,1839.9,1837.3,1859.78,683145,12705.0,35140, 304064, 44.51
BOSCHLTD, EQ, 29-Apr-2026,37320.0,37165.0,37470.0,36190.0,36350.0,36345.0,36712.08,34734,12751.57,13689, 12185, 35.08
BPCL, EQ, 29-Apr-2026,307.75,308.4,310.9,303.15,304.95,303.9,306.45,16918034,51845.03,107737, 10967938, 64.83
BRITANNIA, EQ, 29-Apr-2026,5662.0,5674.0,5734.5,5665.0,5719.0,5709.0,5696.58,363567,20710.88,29478, 225523, 62.03
BSE, EQ, 29-Apr-2026,3626.1,3649.0,3675.5,3620.3,3629.0,3635.7,3648.8,2658476,97002.4,105834, 864214, 32.51
CAMS, EQ, 29-Apr-2026,760.45,765.0,771.95,758.0,760.0,760.6,764.68,780465,5968.04,29084, 432509, 55.42
CANBK, EQ, 29-Apr-2026,137.1,137.36,139.5,136.22,136.93,137.06,137.76,18218577,25098.3,63403, 7338296, 40.28
CDSL, EQ, 29-Apr-2026,1324.6,1331.0,1345.5,1300.2,1304.8,1306.4,1324.82,1876708,24863.04,53341, 733956, 39.11
CGPOWER, EQ, 29-Apr-2026,831.2,835.35,840.0,820.3,826.0,825.6,830.63,2354905,19560.62,50248, 1078702, 45.81
CHOLAFIN, EQ, 29-Apr-2026,1536.4,1539.9,1572.6,1530.8,1543.9,1553.3,1553.84,723397,11240.45,32806, 346293, 47.87
CIPLA, EQ, 29-Apr-2026,1306.5,1312.0,1322.0,1307.8,1313.2,1317.6,1317.27,986556,12995.62,37432, 629424, 63.80
COALINDIA, EQ, 29-Apr-2026,467.0,469.85,485.7,464.05,480.7,479.9,479.37,18063862,86592.19,168280, 7035454, 38.95
COCHINSHIP, EQ, 29-Apr-2026,1695.6,1714.0,1780.0,1714.0,1776.0,1773.8,1755.33,6725966,118062.72,173290, 1283545, 19.08
COFORGE, EQ, 29-Apr-2026,1200.9,1206.8,1229.9,1200.0,1202.5,1204.0,1212.28,1174935,14243.54,35764, 446629, 38.01
COLPAL, EQ, 29-Apr-2026,2125.2,2135.0,2175.8,2104.6,2135.0,2132.5,2142.93,391370,8386.77,21409, 148893, 38.04
CONCOR, EQ, 29-Apr-2026,510.5,514.0,521.95,508.5,513.0,514.6,513.95,1348894,6932.71,23010, 808405, 59.93
CROMPTON, EQ, 29-Apr-2026,269.63,270.9,280.89,269.63,275.61,276.01,276.33,17813850,49225.84,190391, 7894203, 44.31
CUMMINSIND, EQ, 29-Apr-2026,5258.0,5288.0,5324.8,5251.3,5279.7,5288.0,5287.74,328892,17390.94,32418, 189449, 57.60
DABUR, EQ, 29-Apr-2026,450.15,449.05,458.25,449.05,456.3,456.0,455.44,1078626,4912.47,22968, 545979, 50.62
DALBHARAT, EQ, 29-Apr-2026,1918.8,1920.9,1980.0,1918.0,1964.8,1949.7,1958.01,419247,8208.91,26657, 167782, 40.02
DELHIVERY, EQ, 29-Apr-2026,465.4,467.9,472.45,463.35,466.6,466.3,467.73,2507318,11727.57,32416, 1481148, 59.07
DIVISLAB, EQ, 29-Apr-2026,6432.5,6470.0,6549.5,6454.0,6530.0,6534.0,6510.38,324770,21143.77,36896, 206064, 63.45
DIXON, EQ, 29-Apr-2026,11370.0,11375.5,11575.0,11259.5,11315.0,11325.0,11426.39,677475,77410.95,56075, 323172, 47.70
DLF, EQ, 29-Apr-2026,587.9,589.8,605.9,589.35,595.2,594.45,598.76,2775100,16616.24,50738, 1011623, 36.45
DMART, EQ, 29-Apr-2026,4544.4,4558.0,4639.9,4558.0,4599.9,4593.4,4604.02,299310,13780.3,23051, 173295, 57.90
DRREDDY, EQ, 29-Apr-2026,1354.6,1367.0,1375.9,1321.5,1327.7,1329.8,1344.65,4545837,61125.7,112849, 1916948, 42.17
EICHERMOT, EQ, 29-Apr-2026,7071.5,7106.0,7294.0,7099.0,7185.0,7189.5,7229.69,522596,37782.05,48804, 280109, 53.60
ETERNAL, EQ, 29-Apr-2026,253.07,263.3,265.4,253.0,253.47,254.03,257.59,152137971,391890.61,616951, 53239520, 34.99
FEDERALBNK, EQ, 29-Apr-2026,290.6,296.0,301.7,282.55,283.8,284.75,291.95,21186876,61855.97,207831, 5113286, 24.13
FORCEMOT, EQ, 29-Apr-2026,20767.0,20945.0,21460.0,20819.0,21000.0,20985.0,21133.23,143880,30406.5,38045, 31330, 21.78
FORTIS, EQ, 29-Apr-2026,951.55,952.95,956.6,929.25,933.65,935.2,943.07,903219,8517.99,33467, 532575, 58.96
GAIL, EQ, 29-Apr-2026,165.68,166.54,167.96,164.57,165.36,165.66,166.36,8164580,13582.52,57992, 4104240, 50.27
