SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
ABB,EQ,759.0,772.0,755.5,770.85,771.0,757.05,270593,207544213.6,23-DEC-2009,
ADANIENT,EQ,422.0,427.25,417.05,426.35,426.0,417.65,85436,36200403.2,23-DEC-2009,
ADANIPOWER,EQ,97.9,100.4,97.6,99.0,99.1,97.0,1050930,103968209.4,23-DEC-2009,
AMBUJACEM,EQ,96.0,99.85,95.8,99.15,99.25,96.0,2773365,269847833.25,23-DEC-2009,
APOLLOHOSP,EQ,570.0,584.7,566.0,568.55,570.0,569.75,21957,12552712.8,23-DEC-2009,
ASHOKLEY,EQ,47.85,49.4,47.8,48.95,48.85,47.7,4155200,202519467.05,23-DEC-2009,
ASIANPAINT,EQ,1700.1,1769.9,1700.1,1757.9,1751.0,1736.55,98178,173086535.05,23-DEC-2009,
ASTRAL,EQ,162.1,167.75,162.0,166.35,167.0,161.35,7382,1218017.95,23-DEC-2009,
AUROPHARMA,EQ,882.9,915.0,882.9,911.65,914.0,877.7,182416,164829900.1,23-DEC-2009,
AXISBANK,EQ,971.0,985.0,966.8,982.4,982.0,970.2,1321535,1292196354.15,23-DEC-2009,
BAJAJ-AUTO,EQ,1705.0,1720.0,1703.15,1706.0,1706.0,1697.25,216237,369831135.7,23-DEC-2009,
BAJAJFINSV,EQ,325.55,330.95,324.5,325.05,325.9,325.2,127902,41670049.55,23-DEC-2009,
BAJAJHLDNG,EQ,637.4,643.0,620.15,625.65,626.0,630.55,38272,24227361.65,23-DEC-2009,
BANKBARODA,EQ,507.0,510.0,504.05,508.55,509.1,504.55,340118,172751334.25,23-DEC-2009,
BANKINDIA,EQ,365.0,369.75,365.0,368.4,368.5,363.7,311265,114441237.8,23-DEC-2009,
BEL,EQ,1869.0,1939.0,1845.2,1906.1,1915.0,1853.3,61116,114219868.1,23-DEC-2009,
BHARATFORG,EQ,265.0,271.8,264.15,269.55,269.8,265.35,381296,102456857.6,23-DEC-2009,
BHARTIARTL,EQ,320.55,327.0,317.6,326.25,326.0,321.95,5016638,1620491712.75,23-DEC-2009,
BHEL,EQ,2295.0,2369.9,2290.0,2365.05,2365.3,2288.15,630399,1471665092.0,23-DEC-2009,
BIOCON,EQ,279.9,284.0,279.1,282.05,282.1,278.7,613204,173101309.0,23-DEC-2009,
BLUESTARCO,EQ,374.9,375.0,363.05,365.75,367.0,363.3,10838,3978305.05,23-DEC-2009,
BOSCHLTD,EQ,4575.0,4624.95,4575.0,4604.7,4604.0,4618.4,11883,54871137.8,23-DEC-2009,
BPCL,EQ,614.0,616.8,606.35,610.7,608.55,608.1,754340,461833289.4,23-DEC-2009,
BRITANNIA,EQ,1625.0,1640.0,1625.0,1638.95,1640.0,1618.2,1406,2297792.7,23-DEC-2009,
CANBK,EQ,397.0,399.9,395.0,398.85,398.25,394.8,293318,116788605.35,23-DEC-2009,
CIPLA,EQ,347.0,353.0,345.25,348.65,348.8,346.3,1423952,497794943.4,23-DEC-2009,
COLPAL,EQ,655.0,666.85,652.9,663.6,664.65,658.3,41201,27234002.7,23-DEC-2009,
CONCOR,EQ,1249.5,1275.0,1235.05,1257.2,1275.0,1245.1,20336,25479631.95,23-DEC-2009,
CUMMINSIND,EQ,402.0,409.85,400.0,406.05,408.1,400.1,98561,39943708.85,23-DEC-2009,
DABUR,EQ,162.0,165.1,162.0,163.15,163.0,163.45,201110,32874822.0,23-DEC-2009,
DIVISLAB,EQ,669.0,671.95,663.5,667.8,666.55,667.35,213675,142703225.55,23-DEC-2009,
DLF,EQ,353.0,367.45,353.0,365.85,364.8,355.6,7040789,2558294932.45,23-DEC-2009,
DRREDDY,EQ,1219.0,1227.7,1208.7,1213.3,1214.5,1206.85,374681,455602037.7,23-DEC-2009,
EICHERMOT,EQ,600.0,618.7,596.25,615.0,615.0,600.35,19732,12069706.6,23-DEC-2009,
FEDERALBNK,EQ,241.0,244.5,241.0,242.7,242.55,241.05,439019,106994726.15,23-DEC-2009,
FORTIS,EQ,121.0,121.9,118.75,120.85,120.7,119.85,675126,81427329.25,23-DEC-2009,
GAIL,EQ,408.0,422.0,404.25,415.3,416.4,406.45,1363480,567067676.4,23-DEC-2009,
GLENMARK,EQ,278.0,285.0,276.1,280.15,280.0,276.0,1869432,524251082.8,23-DEC-2009,
