SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
3IINFOTECH,EQ,102.0,102.4,98.5,98.8,98.7,100.95,541884,54460378.05,25-JUL-2005,
3MINDIA,EQ,802.0,830.0,792.05,800.4,795.55,833.0,787,639527.6,25-JUL-2005,
AARTIDRUGS,BE,172.85,172.9,165.05,165.2,165.05,166.65,10607,1773338.1,25-JUL-2005,
AARTIIND,EQ,119.0,120.0,117.0,118.8,117.4,118.55,61172,7281728.25,25-JUL-2005,
ABANLOYD,EQ,465.0,465.0,450.0,452.65,452.95,461.65,31941,14546125.95,25-JUL-2005,
ABB,EQ,1445.0,1525.05,1441.1,1516.9,1507.0,1485.85,57529,87073474.65,25-JUL-2005,
ABSHEKINDS,EQ,32.95,33.1,32.0,32.15,32.25,33.0,543080,17660293.95,25-JUL-2005,
ACC,EQ,450.0,452.25,440.2,450.4,447.35,443.9,730237,325363877.75,25-JUL-2005,
ADANIEXPO,EQ,66.15,66.6,65.0,65.45,65.2,65.5,505336,33315334.35,25-JUL-2005,
ADLABSFILM,EQ,300.0,329.35,280.0,323.0,322.65,299.4,1341872,422644317.9,25-JUL-2005,
ADORWELD,EQ,235.0,247.0,233.0,242.6,241.55,232.2,222988,53923986.8,25-JUL-2005,
AEGISCHEM,EQ,127.2,127.2,127.2,127.2,127.2,121.1,9780,1244016.0,25-JUL-2005,
AFTEKINFO,EQ,86.0,87.25,82.8,83.25,83.0,85.75,436519,36946502.55,25-JUL-2005,
AGRODUTCH,EQ,73.0,73.0,70.3,70.9,70.75,71.8,172943,12309999.5,25-JUL-2005,
AHMEDFORGE,EQ,469.95,480.95,465.0,468.05,467.0,458.05,61173,28741104.2,25-JUL-2005,
AJANTPHARM,EQ,92.45,92.9,89.5,89.95,89.5,91.25,30528,2777278.15,25-JUL-2005,
AKSHOPTFBR,EQ,60.3,65.5,59.15,64.25,65.2,59.2,667577,42138453.35,25-JUL-2005,
ALBK,EQ,97.0,98.0,96.2,97.65,97.65,96.15,2557383,248651368.3,25-JUL-2005,
ALEMBICLTD,EQ,271.1,278.0,271.1,277.0,277.0,277.35,37687,10383680.75,25-JUL-2005,
ALFALAVAL,EQ,730.0,753.0,724.0,739.0,735.0,746.1,1192,887919.0,25-JUL-2005,
ALLSEC,EQ,175.0,182.9,166.1,168.85,169.0,173.9,42947,7455684.75,25-JUL-2005,
ALOKTEXT,EQ,63.0,67.45,63.0,66.55,66.85,66.3,794997,53085240.45,25-JUL-2005,
ALPSINDUS,EQ,137.8,143.6,137.4,142.0,142.2,136.25,470128,66475732.15,25-JUL-2005,
AMARAJABAT,BE,136.2,140.0,135.25,139.05,140.0,136.1,30552,4226363.1,25-JUL-2005,
AMBICAAGAR,EQ,23.2,23.25,21.7,21.9,21.8,22.35,125710,2779553.0,25-JUL-2005,
AMTEKAUTO,EQ,211.6,221.75,210.2,218.0,217.6,210.35,323853,70429792.65,25-JUL-2005,
AMTEKINDIA,EQ,404.35,411.75,396.0,400.3,396.0,396.4,46243,18650612.95,25-JUL-2005,
AMTREXAPPL,EQ,74.5,75.6,71.2,72.15,72.0,74.9,192979,14167820.75,25-JUL-2005,
ANDHRABANK,EQ,105.0,108.7,105.0,107.7,107.5,105.45,1711114,184081664.95,25-JUL-2005,
ANDHRSUGAR,EQ,144.9,164.8,143.0,148.8,149.0,139.45,615187,93304670.7,25-JUL-2005,
ANTGRAPHIC,EQ,5.8,5.95,5.5,5.85,5.85,5.55,72267,418140.7,25-JUL-2005,
APARINDS,EQ,167.1,169.0,165.0,167.15,169.0,166.3,11484,1913394.45,25-JUL-2005,
APCOTEXLAT,EQ,68.0,69.0,67.0,68.15,67.0,68.85,7827,531192.25,25-JUL-2005,
APIL,EQ,213.7,225.7,213.6,218.85,219.0,211.45,338641,74898468.05,25-JUL-2005,
APOLLOHOSP,EQ,374.65,375.0,368.0,373.45,372.25,371.05,42820,15910849.65,25-JUL-2005,
APOLLOTYRE,EQ,244.3,248.7,239.0,240.25,239.0,243.55,34236,8346136.2,25-JUL-2005,
APPAPER,EQ,110.0,110.0,108.0,108.25,108.0,109.5,6661,725643.45,25-JUL-2005,
APTECHT,EQ,95.0,95.0,88.3,89.35,89.4,93.85,1309043,119655774.3,25-JUL-2005,
ARCHIES,EQ,133.0,141.8,133.0,136.6,136.85,136.9,19650,2712449.95,25-JUL-2005,
ARHAMFISCL,EQ,22.2,22.35,21.0,21.3,21.5,21.7,131979,2860758.65,25-JUL-2005,
