SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,1220.1,1222.9,1208.0,1216.0,1215.0,1214.6,31738,38592127.7,20-MAR-2017,1307,INE117A01022,
ADANIENT,EQ,103.6,104.8,101.85,103.3,103.25,103.7,2192937,226055120.75,20-MAR-2017,9356,INE423A01024,
ADANIPORTS,EQ,327.05,329.8,324.7,325.45,325.0,325.4,4103266,1339181391.5,20-MAR-2017,38323,INE742F01042,
ADANIPOWER,EQ,39.75,41.1,39.1,40.3,40.35,39.55,17813256,718095371.1,20-MAR-2017,19740,INE814H01011,
ALKEM,EQ,2030.0,2134.0,2022.25,2105.3,2095.0,2021.8,64693,134527106.95,20-MAR-2017,6922,INE540L01014,
AMBUJACEM,EQ,234.2,235.15,232.3,234.2,233.85,234.1,938903,219235482.85,20-MAR-2017,14494,INE079A01024,
APLAPOLLO,EQ,1139.1,1149.8,1122.7,1127.9,1125.0,1130.0,8601,9759227.9,20-MAR-2017,776,INE702C01019,
APOLLOHOSP,EQ,1219.6,1225.2,1206.45,1211.75,1212.0,1216.2,162905,197839178.65,20-MAR-2017,10072,INE437A01024,
ASHOKLEY,EQ,90.9,90.95,89.05,89.25,89.15,90.9,5646090,506385876.45,20-MAR-2017,26811,INE208A01029,
ASIANPAINT,EQ,1081.8,1083.0,1067.15,1079.7,1081.5,1079.45,423077,455025725.1,20-MAR-2017,16569,INE021A01026,
ASTRAL,EQ,550.2,569.4,548.0,554.25,553.45,549.2,147458,82505486.9,20-MAR-2017,6628,INE006I01046,
AUROPHARMA,EQ,690.1,706.75,684.3,704.9,705.0,687.55,2341208,1634245285.95,20-MAR-2017,47119,INE406A01037,
AXISBANK,EQ,518.0,518.25,501.3,502.85,502.5,517.15,4932998,2497746894.0,20-MAR-2017,67190,INE238A01034,
