SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
ABB,EQ,700.0,784.0,690.5,699.7,698.95,682.8,379243,264627520.65,10-MAY-2010,
ADANIENT,EQ,561.0,583.0,560.0,580.95,580.0,560.8,446405,256309585.55,10-MAY-2010,
ADANIPOWER,EQ,119.7,121.15,118.05,119.7,119.75,117.05,991096,118603341.65,10-MAY-2010,
AMBUJACEM,EQ,111.25,115.85,111.25,114.7,114.5,111.05,2211741,253435896.8,10-MAY-2010,
APOLLOHOSP,EQ,699.1,742.0,699.1,731.3,730.0,735.85,38412,28129268.8,10-MAY-2010,
ASHOKLEY,EQ,63.5,64.8,63.0,64.15,64.25,63.0,15015061,962757237.9,10-MAY-2010,
ASIANPAINT,EQ,2092.0,2139.6,2092.0,2117.85,2126.0,2086.25,36846,78084019.1,10-MAY-2010,
ASTRAL,EQ,209.9,212.55,193.0,209.0,210.0,193.55,109451,22826022.8,10-MAY-2010,
AUROPHARMA,EQ,891.5,899.0,886.1,895.0,895.0,883.3,60265,53795226.75,10-MAY-2010,
AXISBANK,EQ,1202.0,1258.9,1202.0,1249.45,1258.9,1191.15,1598755,1977694850.6,10-MAY-2010,
BAJAJ-AUTO,EQ,2080.0,2127.9,2070.8,2121.4,2125.6,2057.8,314703,660733231.75,10-MAY-2010,
BAJAJFINSV,EQ,406.0,452.3,401.1,438.75,436.0,398.0,1677584,734051747.95,10-MAY-2010,
BAJAJHLDNG,EQ,649.9,675.0,645.5,662.4,661.0,641.1,188639,125358041.65,10-MAY-2010,
BANKBARODA,EQ,699.0,704.9,691.4,698.35,698.2,691.75,497364,347457431.7,10-MAY-2010,
BANKINDIA,EQ,353.0,353.0,329.0,334.45,335.6,347.75,1841299,612952931.4,10-MAY-2010,
BEL,EQ,1826.0,1826.0,1782.1,1800.6,1800.0,1782.35,54420,97692031.3,10-MAY-2010,
BHARATFORG,EQ,262.3,266.2,258.3,265.0,265.35,258.25,345431,90694890.7,10-MAY-2010,
