SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
ABB,EQ,814.4,820.25,792.15,803.1,808.0,805.9,68862,55571159.3,06-DEC-2010,
ADANIENT,EQ,668.3,685.0,666.0,670.05,670.0,673.1,465939,312433228.85,06-DEC-2010,
ADANIPOWER,EQ,132.9,134.35,131.5,131.9,132.1,132.25,361045,47938892.25,06-DEC-2010,
AMBUJACEM,EQ,139.4,140.8,135.7,137.0,136.0,138.1,604893,83991105.75,06-DEC-2010,
APOLLOHOSP,EQ,509.8,518.0,506.0,508.8,508.0,505.9,39871,20391548.6,06-DEC-2010,
ASHOKLEY,EQ,73.0,73.65,71.3,71.6,71.5,72.6,2414353,175391817.85,06-DEC-2010,
ASIANPAINT,EQ,2670.65,2692.5,2670.65,2682.1,2679.5,2670.05,15511,41606236.15,06-DEC-2010,
ASTRAL,EQ,158.25,160.2,155.1,158.25,157.0,159.6,6105,965744.15,06-DEC-2010,
AUROPHARMA,EQ,1288.5,1303.35,1285.0,1286.9,1289.0,1287.05,113382,146559120.45,06-DEC-2010,
AXISBANK,EQ,1424.7,1424.7,1376.0,1382.45,1379.5,1406.15,937766,1312942149.0,06-DEC-2010,
BAJAJ-AUTO,EQ,1602.05,1623.9,1578.1,1585.45,1586.0,1600.15,263658,423261489.15,06-DEC-2010,
BAJAJFINSV,EQ,486.65,493.0,483.5,487.1,486.95,486.7,27970,13655892.95,06-DEC-2010,
BAJAJHLDNG,EQ,880.0,900.0,876.0,886.1,890.0,878.8,32380,28857630.1,06-DEC-2010,
BAJFINANCE,EQ,725.0,728.0,705.0,707.15,709.4,719.95,4518,3248608.7,06-DEC-2010,
BANKBARODA,EQ,960.35,967.95,917.0,927.3,926.75,959.2,177159,167717525.75,06-DEC-2010,
BANKINDIA,EQ,480.1,481.2,456.1,459.35,458.35,481.65,2469811,1148350934.55,06-DEC-2010,
BEL,EQ,1750.0,1792.8,1741.75,1780.6,1788.4,1741.75,48246,85756506.2,06-DEC-2010,
BHARATFORG,EQ,395.0,400.8,388.7,391.0,391.0,392.35,434506,172183637.75,06-DEC-2010,
BHARTIARTL,EQ,349.85,351.4,343.55,345.35,345.0,345.6,1810411,628776420.65,06-DEC-2010,
BHEL,EQ,2231.9,2269.5,2213.35,2238.65,2245.0,2212.55,623500,1403355375.1,06-DEC-2010,
BIOCON,EQ,403.4,409.4,400.0,402.65,404.0,399.6,557496,225842273.05,06-DEC-2010,
BLUESTARCO,EQ,433.5,440.0,423.0,430.6,432.6,428.6,86542,37214377.4,06-DEC-2010,
BOSCHLTD,EQ,6426.0,6426.0,6325.0,6345.55,6345.0,6349.45,6031,38420292.05,06-DEC-2010,
BPCL,EQ,669.1,694.2,662.2,668.5,667.05,673.85,1131247,767205239.85,06-DEC-2010,
BRITANNIA,EQ,405.0,407.0,397.0,404.55,400.6,398.9,27961,11313668.4,06-DEC-2010,
CANBK,EQ,731.7,735.0,688.0,693.05,692.35,729.15,1040707,738214168.95,06-DEC-2010,
CHOLAFIN,EQ,186.2,199.0,186.2,194.6,194.4,186.75,213930,41737074.75,06-DEC-2010,
CIPLA,EQ,375.0,379.8,368.2,370.0,369.9,370.25,1919944,718962415.5,06-DEC-2010,
COALINDIA,EQ,321.0,324.9,318.5,320.4,320.3,321.95,2895539,931835883.4,06-DEC-2010,
COLPAL,EQ,882.0,893.95,869.0,878.25,874.05,884.55,92606,81699155.35,06-DEC-2010,
CONCOR,EQ,1291.95,1292.0,1268.0,1280.0,1280.0,1280.85,124378,159205361.65,06-DEC-2010,
CUMMINSIND,EQ,788.0,792.0,781.0,782.9,783.3,786.4,28272,22232893.8,06-DEC-2010,
DABUR,EQ,99.0,101.45,97.7,98.35,98.2,98.95,992725,98803678.05,06-DEC-2010,
DIVISLAB,EQ,627.25,633.0,607.6,612.85,610.0,621.4,108997,67554718.25,06-DEC-2010,
DLF,EQ,306.1,314.9,305.95,308.4,308.4,306.65,6229591,1930907636.15,06-DEC-2010,
DRREDDY,EQ,1835.0,1850.0,1805.15,1819.4,1810.0,1827.95,168249,309117064.6,06-DEC-2010,
EICHERMOT,EQ,1234.65,1236.0,1210.0,1230.1,1232.5,1230.45,6848,8411351.35,06-DEC-2010,
FEDERALBNK,EQ,459.9,468.0,443.0,446.8,444.9,460.25,235137,106961519.85,06-DEC-2010,
FORTIS,EQ,155.1,156.2,153.1,153.7,153.6,152.95,441873,68357018.55,06-DEC-2010,
GAIL,EQ,492.0,496.2,489.65,493.45,491.5,485.8,1403609,692978976.0,06-DEC-2010,
GLENMARK,EQ,375.05,388.0,375.05,382.65,383.0,374.55,1124198,430410486.15,06-DEC-2010,
GODFRYPHLP,EQ,1965.0,2058.5,1965.0,2015.0,2000.0,2041.25,6150,12589060.65,06-DEC-2010,
GODREJCP,EQ,400.0,412.0,400.0,404.4,407.0,400.25,86924,35502078.2,06-DEC-2010,
GODREJPROP,EQ,663.1,672.0,655.05,657.65,660.1,664.8,7473,4959081.35,06-DEC-2010,
GRASIM,EQ,2355.0,2375.0,2341.0,2351.6,2345.0,2357.35,28441,66991370.45,06-DEC-2010,
HAVELLS,EQ,388.0,405.0,385.45,398.95,398.1,384.15,405966,161379070.95,06-DEC-2010,
HCLTECH,EQ,425.0,431.0,420.0,426.15,420.9,423.7,829750,354721289.4,06-DEC-2010,
HDFCBANK,EQ,2420.0,2425.0,2375.25,2383.25,2380.0,2395.65,468156,1125368297.8,06-DEC-2010,
HINDALCO,EQ,215.85,224.9,215.85,221.35,221.5,215.35,7244950,1611962545.9,06-DEC-2010,
HINDPETRO,EQ,416.85,425.35,405.75,407.6,405.75,414.7,975220,405827317.45,06-DEC-2010,
HINDUNILVR,EQ,302.4,304.2,299.1,300.3,299.8,299.25,1186326,358233037.9,06-DEC-2010,
HINDZINC,EQ,1181.0,1204.0,1161.5,1165.8,1168.0,1195.3,158982,186657135.45,06-DEC-2010,
ICICIBANK,EQ,1189.5,1195.2,1143.2,1151.2,1149.0,1181.45,3887953,4537597044.75,06-DEC-2010,
IDEA,EQ,70.5,70.95,69.9,70.5,70.6,70.15,1142896,80611520.8,06-DEC-2010,
INDHOTEL,EQ,95.0,96.8,94.7,95.15,95.2,95.0,708363,67958805.0,06-DEC-2010,
INDIANB,EQ,282.7,284.85,269.15,272.15,273.9,282.75,499586,138623371.75,06-DEC-2010,
INDUSINDBK,EQ,292.5,297.95,287.2,289.05,287.5,291.3,569298,166195535.45,06-DEC-2010,
IOC,EQ,387.9,388.5,374.3,376.6,374.3,385.75,1362383,519279112.0,06-DEC-2010,
ITC,EQ,171.0,171.0,168.5,169.05,169.35,171.3,3997804,676842234.0,06-DEC-2010,
JINDALSTEL,EQ,690.0,712.95,685.0,699.0,695.4,679.8,2132575,1496982104.65,06-DEC-2010,
JSWENERGY,EQ,101.75,103.6,101.2,101.9,101.8,100.6,1091038,111640704.8,06-DEC-2010,
JSWSTEEL,EQ,1125.2,1190.0,1125.2,1167.9,1167.9,1120.05,1152477,1347853355.0,06-DEC-2010,
JUBLFOOD,EQ,590.55,629.4,590.55,624.3,623.9,612.2,1105250,686610464.2,06-DEC-2010,
KEI,EQ,31.1,34.35,30.75,31.2,31.2,30.95,241344,7712626.8,06-DEC-2010,
KOTAKBANK,EQ,485.85,495.0,474.6,480.2,477.3,485.85,701902,342483904.05,06-DEC-2010,
LICHSGFIN,EQ,1047.4,1063.0,1025.0,1028.55,1025.0,1035.65,974107,1013856549.8,06-DEC-2010,
LT,EQ,2020.0,2051.0,1999.0,2009.4,2001.8,2021.35,665155,1348274142.8,06-DEC-2010,
LUPIN,EQ,500.1,501.0,476.3,478.15,477.85,496.0,2604084,1264462620.75,06-DEC-2010,
M&M,EQ,805.8,809.5,792.0,794.8,794.0,799.9,847883,678115446.6,06-DEC-2010,
MANAPPURAM,EQ,164.6,166.45,152.8,153.9,154.3,161.45,1024499,163681915.4,06-DEC-2010,
MARICO,EQ,127.05,129.9,127.05,128.25,128.0,127.85,60937,7827803.45,06-DEC-2010,
MARUTI,EQ,1417.0,1417.0,1391.0,1408.1,1410.0,1400.6,129508,182349048.5,06-DEC-2010,
