SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,2821.0,2858.0,2810.3,2843.6,2848.0,2806.0,630345,1784223060.25,06-JAN-2023,32715,INE117A01022,
ABCAPITAL,EQ,149.75,150.1,144.05,145.3,144.95,149.6,2479526,362884086.55,06-JAN-2023,17935,INE674K01013,
ADANIENT,EQ,3829.0,3868.25,3797.05,3824.25,3824.0,3829.8,912159,3497485465.55,06-JAN-2023,44367,INE423A01024,
ADANIGREEN,EQ,1868.9,1868.9,1830.0,1838.25,1841.7,1860.0,455101,840403630.0,06-JAN-2023,21784,INE364U01010,
ADANIPORTS,EQ,819.9,824.4,803.5,806.1,805.8,819.6,2892006,2346747212.05,06-JAN-2023,77774,INE742F01042,
ADANIPOWER,EQ,290.7,291.0,281.1,283.4,283.0,288.75,2199728,625640564.8,06-JAN-2023,35796,INE814H01011,
ALKEM,EQ,3023.05,3087.45,3003.0,3031.35,3005.95,3043.05,125959,384454463.15,06-JAN-2023,14517,INE540L01014,
AMBER,EQ,1910.0,1948.8,1894.85,1904.45,1900.0,1925.35,26405,50705912.65,06-JAN-2023,4501,INE371P01015,
AMBUJACEM,EQ,525.85,528.45,514.35,519.8,519.6,524.75,3454408,1804366707.9,06-JAN-2023,38746,INE079A01024,
ANGELONE,EQ,1320.0,1324.7,1275.0,1280.7,1281.0,1311.5,329259,424698633.85,06-JAN-2023,21050,INE732I01013,
APLAPOLLO,EQ,1123.9,1139.8,1111.2,1119.6,1116.45,1123.9,283868,319477750.95,06-JAN-2023,15948,INE702C01027,
APOLLOHOSP,EQ,4442.05,4474.3,4369.0,4387.45,4376.0,4429.05,299640,1328259023.85,06-JAN-2023,27059,INE437A01024,
ASHOKLEY,EQ,148.45,150.25,147.35,147.75,147.5,148.45,9904195,1471681059.65,06-JAN-2023,104392,INE208A01029,
ASIANPAINT,EQ,3010.0,3023.5,2952.0,2978.4,2982.5,3004.35,1045526,3110528372.6,06-JAN-2023,110098,INE021A01026,
ASTRAL,EQ,2001.0,2090.0,2001.0,2060.25,2058.0,2010.05,954468,1968362117.8,06-JAN-2023,64209,INE006I01046,
AUBANK,EQ,635.0,639.35,619.45,625.8,625.95,636.1,1634322,1023474983.8,06-JAN-2023,107356,INE949L01017,
AUROPHARMA,EQ,444.25,455.65,440.4,442.05,441.7,443.9,1929565,863174576.45,06-JAN-2023,34628,INE406A01037,
AXISBANK,EQ,946.55,950.95,934.3,939.9,941.0,949.55,5787783,5443336337.1,06-JAN-2023,139498,INE238A01034,
BAJAJ-AUTO,EQ,3618.0,3648.0,3598.0,3642.25,3640.0,3621.15,173591,628690433.15,06-JAN-2023,23793,INE917I01010,
BAJAJFINSV,EQ,1473.55,1473.55,1423.0,1430.35,1430.0,1468.85,5207616,7492271472.0,06-JAN-2023,229148,INE918I01026,
BAJAJHLDNG,EQ,5695.0,5704.6,5651.1,5680.25,5688.1,5687.6,20655,117247045.1,06-JAN-2023,4007,INE118A01012,
BAJFINANCE,EQ,6130.0,6139.95,5941.6,5980.4,5984.0,6100.05,2931922,17642442150.3,06-JAN-2023,267972,INE296A01024,
BANDHANBNK,EQ,241.75,249.45,240.4,242.35,243.2,240.5,14306941,3513401631.05,06-JAN-2023,92107,INE545U01014,
BANKBARODA,EQ,184.95,185.3,181.2,183.25,183.5,184.05,16229775,2978552796.4,06-JAN-2023,94168,INE028A01039,
BANKINDIA,EQ,94.85,95.2,92.55,93.45,93.2,94.2,14508676,1356374212.5,06-JAN-2023,37851,INE084A01016,
BDL,EQ,939.95,954.55,930.05,937.1,935.0,939.2,437274,411862350.75,06-JAN-2023,23303,INE171Z01018,
BEL,EQ,99.8,100.5,98.7,98.95,98.9,99.95,7215940,716928512.2,06-JAN-2023,35664,INE263A01024,
BHARATFORG,EQ,879.0,884.0,865.35,869.5,867.0,879.7,477770,417304241.75,06-JAN-2023,19341,INE465A01025,
BHARTIARTL,EQ,807.55,812.25,792.0,796.0,795.0,807.1,3199618,2558133801.45,06-JAN-2023,100083,INE397D01024,
BHEL,EQ,82.3,83.5,81.1,81.75,81.5,81.95,25418809,2091190687.2,06-JAN-2023,54217,INE257A01026,
BIOCON,EQ,260.8,261.45,254.55,256.35,256.2,260.2,2352217,607978628.1,06-JAN-2023,29739,INE376G01013,
BLUESTARCO,EQ,1190.0,1207.0,1190.0,1202.65,1195.1,1200.3,26313,31557860.05,06-JAN-2023,4291,INE472A01039,
BOSCHLTD,EQ,17100.0,17199.0,16967.5,17065.7,17061.0,17006.7,21331,364652296.7,06-JAN-2023,8233,INE323A01026,
BPCL,EQ,342.0,346.55,340.25,344.7,345.0,342.35,3682205,1267534147.3,06-JAN-2023,60086,INE029A01011,
BRITANNIA,EQ,4313.2,4369.0,4310.0,4359.05,4365.0,4313.2,297438,1294123954.75,06-JAN-2023,29730,INE216A01030,
BSE,EQ,548.0,548.85,540.2,542.0,541.5,547.3,263709,143219534.6,06-JAN-2023,14622,INE118H01025,
CAMS,EQ,2220.75,2231.9,2214.0,2220.75,2220.0,2220.75,27983,62176564.2,06-JAN-2023,4414,INE596I01012,
CANBK,EQ,328.5,328.65,317.5,320.45,319.55,327.5,8893004,2869257787.85,06-JAN-2023,68421,INE476A01014,
CDSL,EQ,1132.8,1132.8,1115.0,1117.3,1118.2,1127.75,138798,155473914.8,06-JAN-2023,13114,INE736A01011,
CGPOWER,EQ,270.05,271.2,267.2,270.0,270.5,270.9,721930,194387859.55,06-JAN-2023,30323,INE067A01029,
CHOLAFIN,EQ,683.45,693.85,658.0,667.9,667.0,683.25,4278558,2866914924.7,06-JAN-2023,84399,INE121A01024,
CIPLA,EQ,1088.35,1093.1,1073.5,1076.35,1077.95,1088.35,824772,891190608.4,06-JAN-2023,34287,INE059A01026,
COALINDIA,EQ,219.0,219.9,212.0,214.25,214.1,218.15,12237065,2622567654.5,06-JAN-2023,100282,INE522F01014,
COCHINSHIP,EQ,520.4,522.1,497.0,501.55,502.0,517.8,900765,455203389.8,06-JAN-2023,25752,INE704P01017,
COFORGE,EQ,3939.8,3949.0,3880.05,3901.0,3886.1,3929.45,163783,641278464.95,06-JAN-2023,13773,INE591G01017,
COLPAL,EQ,1520.5,1535.05,1513.0,1516.7,1519.55,1524.95,174194,265024545.1,06-JAN-2023,9461,INE259A01022,
CONCOR,EQ,744.65,747.0,729.3,736.45,734.55,740.95,961838,709587048.25,06-JAN-2023,22873,INE111A01025,
CROMPTON,EQ,338.9,342.25,334.3,337.65,337.95,338.8,1142463,386443093.75,06-JAN-2023,30401,INE299U01018,
CUMMINSIND,EQ,1417.95,1434.4,1411.85,1431.35,1432.5,1413.6,392767,559919917.2,06-JAN-2023,30970,INE298A01020,
DABUR,EQ,573.15,573.95,548.5,552.85,552.9,572.75,2789534,1550500870.35,06-JAN-2023,46101,INE016A01026,
DALBHARAT,EQ,1880.0,1917.55,1866.0,1875.45,1879.9,1875.15,214277,403193512.05,06-JAN-2023,16698,INE00R701025,
DELHIVERY,EQ,326.0,326.0,319.0,320.8,321.5,326.05,1276326,409346138.65,06-JAN-2023,10401,INE148O01028,
DIVISLAB,EQ,3461.85,3485.2,3415.0,3434.9,3430.0,3461.85,353616,1220839137.6,06-JAN-2023,26924,INE361B01024,
DIXON,EQ,3830.0,3843.55,3785.05,3817.45,3825.0,3838.6,90644,345834700.05,06-JAN-2023,12036,INE935N01020,
DLF,EQ,373.9,374.3,367.55,369.75,368.7,372.75,2603968,965804270.2,06-JAN-2023,28979,INE271C01023,
