SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,1273.0,1278.45,1247.4,1270.7,1275.0,1276.6,46352,58617635.75,21-AUG-2015,6341,INE117A01022,
ADANIENT,EQ,82.6,83.2,80.6,82.1,82.0,83.2,3421899,279977717.1,21-AUG-2015,17004,INE423A01024,
ADANIPORTS,EQ,360.55,367.15,356.35,365.05,364.15,368.55,4288543,1554338472.45,21-AUG-2015,61391,INE742F01042,
ADANIPOWER,EQ,25.5,25.85,25.2,25.65,25.65,25.95,2961504,75605432.35,21-AUG-2015,8393,INE814H01011,
AMBUJACEM,EQ,221.2,237.9,220.9,227.05,226.45,223.95,3353922,760423345.9,21-AUG-2015,49847,INE079A01024,
APLAPOLLO,EQ,435.25,440.0,423.8,433.25,432.4,440.0,7721,3309794.25,21-AUG-2015,384,INE702C01019,
APOLLOHOSP,EQ,1337.0,1337.0,1282.55,1302.35,1302.9,1338.2,231773,301686933.7,21-AUG-2015,21712,INE437A01024,
ASHOKLEY,EQ,93.95,95.5,92.45,95.1,95.2,95.6,12997813,1223057476.2,21-AUG-2015,40666,INE208A01029,
ASIANPAINT,EQ,875.0,893.0,864.0,886.75,884.0,883.2,905933,793054734.0,21-AUG-2015,23352,INE021A01026,
ASTRAL,EQ,428.7,443.9,421.55,439.15,438.45,435.2,36924,15955620.05,21-AUG-2015,2149,INE006I01046,
AUROPHARMA,EQ,794.0,814.95,773.1,804.45,803.0,798.85,1891193,1514393233.3,21-AUG-2015,50668,INE406A01037,
AXISBANK,EQ,527.0,528.9,514.3,525.3,524.25,533.4,10454764,5468357174.1,21-AUG-2015,190765,INE238A01034,
BAJAJ-AUTO,EQ,2475.05,2508.6,2385.0,2406.2,2397.0,2491.8,604347,1462158757.55,21-AUG-2015,27860,INE917I01010,
BAJAJFINSV,EQ,1861.9,1895.0,1825.0,1878.0,1872.0,1879.35,34214,64058580.4,21-AUG-2015,3205,INE918I01018,
BAJAJHLDNG,EQ,1640.0,1674.9,1640.0,1656.1,1664.95,1660.25,26556,44004023.3,21-AUG-2015,1881,INE118A01012,
BAJFINANCE,EQ,5212.0,5398.4,5207.0,5344.35,5369.0,5307.8,49709,264035346.8,21-AUG-2015,7221,INE296A01016,
BANKBARODA,EQ,189.0,201.4,187.9,199.65,198.75,201.1,13854388,2724691094.75,21-AUG-2015,73820,INE028A01039,
BANKINDIA,EQ,162.7,167.5,160.95,166.5,166.0,169.65,4432334,727290901.4,21-AUG-2015,29223,INE084A01016,
BEL,EQ,3600.0,3609.9,3545.0,3581.3,3577.5,3622.7,154849,554788485.0,21-AUG-2015,14429,INE263A01016,
BHARATFORG,EQ,1238.9,1250.0,1208.0,1219.8,1220.05,1260.5,764722,934417957.25,21-AUG-2015,44325,INE465A01025,
BHARTIARTL,EQ,373.9,373.9,358.5,369.55,372.0,380.0,5941186,2190456813.05,21-AUG-2015,99105,INE397D01024,
BHEL,EQ,248.0,250.7,243.45,248.85,249.9,252.95,3241734,801770893.0,21-AUG-2015,41371,INE257A01026,
BIOCON,EQ,465.0,468.0,461.0,464.05,462.8,470.05,271593,126099243.45,21-AUG-2015,9652,INE376G01013,
BLUESTARCO,EQ,355.0,362.0,345.0,356.95,359.0,360.45,22870,8062191.4,21-AUG-2015,1253,INE472A01039,
BOSCHLTD,EQ,24661.0,24661.0,23790.9,24122.15,24070.0,24820.85,40591,978764936.8,21-AUG-2015,12412,INE323A01026,
BPCL,EQ,886.0,895.0,867.85,889.65,893.1,902.05,2071425,1834429810.6,21-AUG-2015,73207,INE029A01011,
BRITANNIA,EQ,3210.0,3216.9,3125.0,3199.35,3200.0,3224.4,163612,518902808.45,21-AUG-2015,17747,INE216A01022,
CANBK,EQ,314.1,331.8,310.5,327.7,326.95,326.35,4115482,1313467581.25,21-AUG-2015,50384,INE476A01014,
CHOLAFIN,EQ,625.35,640.95,601.0,622.75,620.2,634.65,55828,34884123.35,21-AUG-2015,2758,INE121A01016,
