SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,829.7,841.9,820.0,826.5,821.3,825.15,91133,75691386.65,28-APR-2014,3743,INE117A01022,
ADANIENT,EQ,433.0,436.3,418.1,428.05,428.85,432.5,3732678,1591027867.05,28-APR-2014,54644,INE423A01024,
ADANIPORTS,EQ,199.4,199.65,189.4,192.15,192.3,198.7,6111039,1179160789.0,28-APR-2014,68675,INE742F01042,
ADANIPOWER,EQ,50.2,51.9,50.15,51.25,51.4,50.75,5784450,296100946.65,28-APR-2014,18345,INE814H01011,
AMBUJACEM,EQ,207.0,208.0,199.45,200.1,200.15,209.05,3655029,736943770.3,28-APR-2014,52070,INE079A01024,
APLAPOLLO,EQ,208.0,219.0,203.8,217.2,212.85,214.35,3040,654564.95,28-APR-2014,50,INE702C01019,
APOLLOHOSP,EQ,900.2,919.5,900.2,909.95,908.65,891.75,488222,443547884.15,28-APR-2014,20449,INE437A01024,
ASHOKLEY,EQ,23.4,23.65,23.1,23.25,23.2,23.3,4468841,104348084.55,28-APR-2014,8119,INE208A01029,
ASIANPAINT,EQ,515.0,518.65,498.55,500.55,500.0,514.95,1434257,723901273.95,28-APR-2014,35670,INE021A01026,
ASTRAL,EQ,553.0,568.0,544.1,557.5,558.0,544.35,31948,17891279.05,28-APR-2014,1453,INE006I01038,
AUROPHARMA,EQ,583.4,593.7,583.0,589.35,587.2,579.25,2679723,1579666231.9,28-APR-2014,44984,INE406A01037,
AXISBANK,EQ,1550.0,1554.8,1525.0,1529.55,1535.0,1532.7,1773777,2727800741.45,28-APR-2014,49066,INE238A01026,
BAJAJ-AUTO,EQ,1998.75,1999.0,1977.95,1985.0,1984.05,1996.05,356855,708473151.55,28-APR-2014,23277,INE917I01010,
BAJAJFINSV,EQ,813.0,836.7,813.0,831.05,832.0,816.2,70977,58722009.1,28-APR-2014,3081,INE918I01018,
BAJAJHLDNG,EQ,1075.0,1090.0,1075.0,1088.9,1089.0,1076.35,148954,161898225.1,28-APR-2014,7091,INE118A01012,
BAJFINANCE,EQ,1839.3,1860.0,1802.0,1856.8,1848.55,1813.0,19005,34924833.0,28-APR-2014,1633,INE296A01016,
BANKBARODA,EQ,809.1,823.45,795.45,820.5,820.0,809.3,1365604,1108827201.35,28-APR-2014,39440,INE028A01013,
BANKINDIA,EQ,237.6,245.4,235.0,243.85,244.85,239.85,4317377,1041569620.9,28-APR-2014,41290,INE084A01016,
BEL,EQ,1244.1,1245.0,1215.0,1241.35,1240.0,1242.75,34061,41894210.25,28-APR-2014,3665,INE263A01016,
BHARATFORG,EQ,415.0,416.0,407.9,413.1,413.15,416.85,564400,233036725.65,28-APR-2014,21434,INE465A01025,
BHARTIARTL,EQ,340.35,343.45,334.8,337.65,338.0,341.7,1858182,627856556.5,28-APR-2014,39980,INE397D01024,
BHEL,EQ,191.2,191.95,185.55,186.2,186.5,191.2,3641960,682759686.3,28-APR-2014,28196,INE257A01026,
BIOCON,EQ,474.0,482.95,462.8,475.9,476.0,473.65,1028755,489094996.2,28-APR-2014,19349,INE376G01013,
BLUESTARCO,EQ,219.8,222.55,213.9,218.5,220.0,219.8,33823,7360540.9,28-APR-2014,1057,INE472A01039,
BOSCHLTD,EQ,10800.0,11030.0,10425.0,10555.9,10500.0,10713.95,9723,105185764.0,28-APR-2014,2553,INE323A01026,
BPCL,EQ,456.3,469.15,452.65,456.45,456.5,460.65,1694824,778090102.65,28-APR-2014,37347,INE029A01011,
BRITANNIA,EQ,885.0,898.3,885.0,891.45,890.35,890.0,243868,217530129.75,28-APR-2014,2097,INE216A01022,
CANBK,EQ,288.2,295.95,281.6,294.65,294.85,287.2,4126086,1194334803.9,28-APR-2014,37931,INE476A01014,
CHOLAFIN,EQ,296.0,304.75,290.45,298.95,297.0,294.1,59847,17939092.65,28-APR-2014,1777,INE121A01016,
CIPLA,EQ,394.25,409.5,394.25,406.9,407.65,394.25,1950705,787635473.95,28-APR-2014,32343,INE059A01026,
COALINDIA,EQ,298.15,299.5,294.1,295.7,295.75,299.95,3350917,993266541.3,28-APR-2014,21013,INE522F01014,
COLPAL,EQ,1467.55,1499.0,1464.95,1474.4,1468.05,1482.35,42181,62318303.3,28-APR-2014,4403,INE259A01022,
CONCOR,EQ,1036.65,1057.0,985.0,991.65,991.0,1025.5,93952,95322483.6,28-APR-2014,6319,INE111A01017,
CUMMINSIND,EQ,554.05,560.0,552.0,553.0,552.0,558.8,103251,57517788.7,28-APR-2014,5214,INE298A01020,
DABUR,EQ,178.0,182.35,178.0,180.1,180.1,178.8,1071098,193575252.05,28-APR-2014,21878,INE016A01026,
DIVISLAB,EQ,1374.95,1408.55,1372.7,1397.45,1395.35,1369.55,414609,579241259.75,28-APR-2014,20717,INE361B01024,
DLF,EQ,152.1,154.9,150.85,153.9,153.75,153.6,9132253,1399471354.4,28-APR-2014,56600,INE271C01023,
DRREDDY,EQ,2646.0,2684.0,2642.0,2676.75,2680.0,2629.25,382585,1020434072.35,28-APR-2014,33803,INE089A01023,
EICHERMOT,EQ,6100.0,6199.9,6099.95,6127.3,6101.3,6107.85,28908,177572339.35,28-APR-2014,1664,INE066A01013,
FEDERALBNK,EQ,94.1,95.35,92.55,94.75,95.1,94.1,3614764,338893768.9,28-APR-2014,14231,INE171A01029,
FORTIS,EQ,101.5,102.6,101.5,101.7,101.65,101.6,140398,14299828.6,28-APR-2014,1017,INE061F01013,
