SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,1274.45,1295.4,1271.3,1284.35,1281.5,1275.4,36078,46288553.0,12-MAY-2016,2320,INE117A01022,
ADANIENT,EQ,74.7,76.1,74.5,75.7,75.75,74.3,1375120,103611896.8,12-MAY-2016,6710,INE423A01024,
ADANIPORTS,EQ,194.2,197.65,193.6,195.15,195.0,193.0,6098282,1194725233.6,12-MAY-2016,42145,INE742F01042,
ADANIPOWER,EQ,30.7,30.7,30.0,30.25,30.3,30.1,3984903,120421184.15,12-MAY-2016,5501,INE814H01011,
ALKEM,EQ,1214.8,1219.8,1191.0,1196.85,1200.0,1204.5,42346,50884742.3,12-MAY-2016,5174,INE540L01014,
AMBUJACEM,EQ,220.3,222.6,219.15,221.0,221.1,220.55,702627,155440628.75,12-MAY-2016,13066,INE079A01024,
APLAPOLLO,EQ,834.0,854.0,820.5,847.35,848.0,831.6,16705,14109810.9,12-MAY-2016,827,INE702C01019,
APOLLOHOSP,EQ,1325.0,1328.6,1310.1,1322.6,1322.5,1320.3,149049,196916518.3,12-MAY-2016,15034,INE437A01024,
ASHOKLEY,EQ,104.2,105.0,103.6,104.15,104.25,104.2,3361288,350883612.9,12-MAY-2016,14964,INE208A01029,
ASIANPAINT,EQ,920.0,933.9,917.2,928.8,929.05,907.85,2382775,2207639640.15,12-MAY-2016,81152,INE021A01026,
ASTRAL,EQ,432.25,439.8,423.9,427.0,425.0,438.4,84113,36059475.3,12-MAY-2016,731,INE006I01046,
AUROPHARMA,EQ,820.5,821.35,797.85,801.3,799.9,817.45,1588529,1280745237.05,12-MAY-2016,39559,INE406A01037,
AXISBANK,EQ,498.6,506.9,490.6,492.55,494.0,498.2,13528266,6748889408.85,12-MAY-2016,209144,INE238A01034,
BAJAJ-AUTO,EQ,2512.3,2558.0,2512.3,2549.05,2550.0,2517.25,166196,422560137.4,12-MAY-2016,10464,INE917I01010,
BAJAJFINSV,EQ,1883.0,1937.0,1883.0,1893.05,1886.1,1873.1,103350,197536766.6,12-MAY-2016,8134,INE918I01018,
BAJAJHLDNG,EQ,1490.0,1515.0,1467.0,1511.4,1508.0,1478.6,10722,16012674.95,12-MAY-2016,1369,INE118A01012,
BAJFINANCE,EQ,7520.0,7695.0,7453.6,7670.15,7665.0,7482.85,94712,723004593.3,12-MAY-2016,16635,INE296A01016,
BANKBARODA,EQ,159.75,160.15,155.2,157.65,158.1,156.85,8079241,1272086991.45,12-MAY-2016,43954,INE028A01039,
