SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
20MICRONS,EQ,97.95,98.85,95.0,95.55,95.3,97.75,101234,9807696.1,03-OCT-2022,3911,INE144J01027,
21STCENMGM,EQ,22.85,22.85,22.85,22.85,22.85,23.3,3133,71589.05,03-OCT-2022,32,INE253B01015,
3IINFOLTD,EQ,43.85,44.35,43.0,43.35,43.6,43.85,216505,9439880.45,03-OCT-2022,2454,INE748C01038,
3MINDIA,EQ,24900.0,24900.0,23675.05,24295.3,23990.0,24606.3,4824,117002069.5,03-OCT-2022,2961,INE470A01017,
3PLAND,EQ,16.0,17.25,16.0,16.8,17.0,16.7,5966,100317.95,03-OCT-2022,123,INE105C01023,
4THDIM,EQ,56.95,56.95,56.95,56.95,56.95,54.25,150,8542.5,03-OCT-2022,2,INE382T01022,
5PAISA,EQ,343.0,343.15,332.0,335.2,336.0,338.15,21378,7226214.95,03-OCT-2022,1605,INE618L01018,
63MOONS,EQ,163.0,171.5,162.0,163.35,162.05,161.05,118451,19731388.9,03-OCT-2022,3121,INE111B01023,
A2ZINFRA,EQ,10.25,10.6,10.25,10.3,10.3,10.3,228911,2385453.2,03-OCT-2022,374,INE619I01012,
AAKASH,EQ,13.45,13.65,13.05,13.65,13.65,13.0,238395,3210121.6,03-OCT-2022,625,INE087Z01024,
AAREYDRUGS,EQ,39.35,39.9,38.05,38.4,39.0,38.85,31319,1224761.3,03-OCT-2022,433,INE198H01019,
AARON,BE,159.95,160.0,156.0,159.1,160.0,155.7,4383,697051.25,03-OCT-2022,191,INE721Z01010,
AARTIDRUGS,EQ,462.0,475.0,462.0,469.8,470.0,468.75,163280,76551782.65,03-OCT-2022,7786,INE767A01016,
AARTIIND,EQ,745.0,751.35,733.55,738.6,739.55,745.05,859084,636661649.7,03-OCT-2022,33500,INE769A01020,
AARTISURF,EQ,763.0,773.55,752.0,758.6,761.0,764.45,7583,5782276.8,03-OCT-2022,969,INE09EO01013,
AARVEEDEN,EQ,25.55,26.7,25.15,25.6,25.5,25.1,10390,266422.6,03-OCT-2022,290,INE273D01019,
AARVI,EQ,157.7,157.7,150.45,151.8,153.0,153.3,31345,4835929.5,03-OCT-2022,662,INE754X01016,
AAVAS,EQ,2242.8,2262.95,2196.85,2230.4,2230.0,2241.7,34357,76638670.9,03-OCT-2022,8719,INE216P01012,
ABAN,EQ,51.4,51.4,50.0,50.35,50.4,50.75,69490,3528681.9,03-OCT-2022,1309,INE421A01028,
ABB,EQ,3074.75,3125.1,2983.45,2994.8,2998.1,3088.4,388862,1186220592.8,03-OCT-2022,34559,INE117A01022,
ABBOTINDIA,EQ,19139.15,19382.95,18725.05,18833.3,18820.0,19139.15,29007,548265045.65,03-OCT-2022,6346,INE358A01014,
ABCAPITAL,EQ,111.0,112.6,108.55,109.75,109.5,111.8,2299023,254111982.8,03-OCT-2022,13122,INE674K01013,
ABFRL,EQ,348.0,348.25,328.5,332.35,332.0,349.1,4148230,1399828930.1,03-OCT-2022,43601,INE647O01011,
ABMINTLLTD,BE,74.7,74.75,74.7,74.75,74.75,74.75,97,7245.95,03-OCT-2022,2,INE251C01025,
ABSLAMC,EQ,455.0,456.6,450.5,452.65,452.75,455.0,30124,13627761.1,03-OCT-2022,2158,INE404A01024,
ABSLBANETF,EQ,39.28,39.28,38.0,38.11,38.16,38.8,7209,275925.7,03-OCT-2022,186,INF209KB17D5,
ABSLNN50ET,EQ,45.59,45.59,42.16,42.63,43.75,43.62,8637,371467.33,03-OCT-2022,178,INF209KB16D7,
ACC,EQ,2419.8,2434.9,2288.0,2301.3,2299.0,2415.65,1166442,2742903539.7,03-OCT-2022,48779,INE012A01025,
ACCELYA,EQ,1142.85,1156.0,1125.95,1137.8,1140.5,1125.85,33557,38345724.65,03-OCT-2022,3893,INE793A01012,
ACCURACY,EQ,261.9,269.8,260.3,264.65,264.0,260.65,93540,24836054.75,03-OCT-2022,1879,INE648Z01015,
ACE,EQ,277.35,287.35,274.55,280.55,281.8,275.15,510307,143617424.25,03-OCT-2022,11676,INE731H01025,
ACRYSIL,EQ,609.0,625.0,604.15,610.1,606.2,609.7,63651,39001238.55,03-OCT-2022,4967,INE482D01024,
ADANIENT,EQ,3440.0,3460.05,3110.2,3157.3,3164.75,3455.75,7578847,24552075642.15,03-OCT-2022,242309,INE423A01024,
ADANIGREEN,EQ,2263.85,2288.8,2006.0,2074.05,2087.85,2260.8,3136977,6739612305.0,03-OCT-2022,166248,INE364U01010,
ADANIPORTS,EQ,821.0,834.4,773.15,784.4,784.95,820.65,12903551,10409252465.9,03-OCT-2022,180259,INE742F01042,
ADANIPOWER,BE,375.0,375.7,354.85,354.85,354.85,373.5,1931959,698290543.3,03-OCT-2022,46314,INE814H01011,
ADANITRANS,EQ,3328.9,3420.0,3000.0,3123.65,3165.0,3289.8,1223636,3944693447.25,03-OCT-2022,90395,INE931S01010,
ADFFOODS,EQ,730.35,733.6,708.0,712.9,708.0,733.6,7235,5212322.75,03-OCT-2022,1010,INE982B01019,
ADL,BE,70.0,75.65,69.65,74.75,74.35,72.85,1669,120935.2,03-OCT-2022,26,INE0CHO01012,
ADORWELD,EQ,902.15,918.7,867.95,873.2,875.0,914.3,14779,13143093.5,03-OCT-2022,1836,INE045A01017,
ADROITINFO,EQ,18.25,18.25,16.55,16.55,16.55,17.4,19062,323550.35,03-OCT-2022,127,INE737B01033,
ADSL,EQ,104.9,104.9,102.6,102.9,103.4,103.45,45656,4720636.25,03-OCT-2022,1484,INE102I01027,
ADVANIHOTR,EQ,80.9,91.7,80.9,85.8,85.65,80.95,333220,29125123.4,03-OCT-2022,4916,INE199C01026,
ADVENZYMES,EQ,267.4,275.85,264.75,268.0,267.5,269.35,159300,43134853.8,03-OCT-2022,5374,INE837H01020,
AEGISCHEM,EQ,271.0,278.85,260.85,264.35,264.65,271.1,568857,154158701.05,03-OCT-2022,15367,INE208C01025,
AETHER,EQ,920.9,926.05,901.55,911.95,916.0,913.0,75880,69209560.1,03-OCT-2022,5940,INE0BWX01014,
AFFLE,EQ,1261.0,1263.0,1221.55,1246.1,1242.4,1261.15,237507,294791064.9,03-OCT-2022,18916,INE00WC01027,
AGARIND,EQ,643.0,646.85,618.15,623.0,624.0,638.5,48035,30392459.15,03-OCT-2022,5020,INE204E01012,
AGI,EQ,333.55,338.85,320.0,322.7,321.5,334.0,252794,83229089.8,03-OCT-2022,8008,INE415A01038,
AGRITECH,EQ,91.9,93.85,87.15,92.35,93.85,89.4,7582,693368.95,03-OCT-2022,304,INE449G01018,
AGROPHOS,EQ,37.25,37.9,36.2,36.55,36.35,36.4,45824,1685451.2,03-OCT-2022,521,INE740V01019,
AGSTRA,EQ,81.0,82.5,79.0,79.35,79.5,79.9,207419,16624998.85,03-OCT-2022,3103,INE583L01014,
AHLADA,BE,98.05,100.9,95.1,96.2,96.6,99.95,6302,617177.65,03-OCT-2022,103,INE00PV01013,
AHLEAST,BE,356.9,359.0,331.0,333.7,332.5,344.7,30633,10668493.95,03-OCT-2022,572,INE926K01017,
AHLUCONT,EQ,418.45,429.7,393.6,428.0,428.9,419.05,47350,19527794.3,03-OCT-2022,2392,INE758C01029,
AIAENG,EQ,2472.15,2508.95,2425.0,2466.4,2455.15,2509.2,58755,145657337.8,03-OCT-2022,16372,INE212H01026,
AIRAN,EQ,17.8,17.8,17.35,17.6,17.65,17.6,74409,1308318.65,03-OCT-2022,601,INE645W01026,
AIROLAM,EQ,124.7,129.5,110.1,110.1,110.1,122.3,428477,50320458.3,03-OCT-2022,5772,INE801L01010,
AJANTPHARM,EQ,1278.85,1303.0,1260.9,1286.9,1289.8,1272.45,358909,462457292.35,03-OCT-2022,11969,INE031B01049,
AJMERA,EQ,259.8,267.3,250.3,253.3,251.55,254.25,42949,11120953.95,03-OCT-2022,1907,INE298G01027,
AJOONI,EQ,40.05,40.7,38.5,39.3,39.3,39.35,260367,10306724.45,03-OCT-2022,1933,INE820Y01013,
AJRINFRA,EQ,1.7,1.75,1.65,1.65,1.65,1.7,1488091,2493158.45,03-OCT-2022,624,INE181G01025,
AKASH,EQ,35.6,35.6,33.85,34.8,35.2,35.6,40108,1381499.0,03-OCT-2022,307,INE737W01013,
AKG,BE,63.0,64.9,60.15,62.15,61.25,62.95,19628,1224194.25,03-OCT-2022,100,INE00Y801016,
AKSHAR,EQ,65.8,65.8,65.8,65.8,65.8,73.1,27166,1787522.8,03-OCT-2022,290,INE256Z01017,
AKSHARCHEM,EQ,324.15,332.5,321.0,323.35,321.5,326.2,8370,2730621.55,03-OCT-2022,731,INE542B01011,
AKSHOPTFBR,EQ,11.8,11.95,11.15,11.55,11.75,11.7,331809,3885182.45,03-OCT-2022,893,INE523B01011,
AKZOINDIA,EQ,2235.0,2260.0,2190.0,2211.1,2199.9,2205.65,18783,41935987.8,03-OCT-2022,3590,INE133A01011,
ALANKIT,EQ,11.85,11.95,11.3,11.4,11.3,11.8,186884,2166437.8,03-OCT-2022,720,INE914E01040,
ALBERTDAVD,EQ,579.0,579.0,563.5,566.55,563.5,572.7,1258,716720.1,03-OCT-2022,210,INE155C01010,
ALEMBICLTD,EQ,66.75,69.0,65.55,65.9,66.15,67.3,351591,23642054.45,03-OCT-2022,5469,INE426A01027,
ALICON,EQ,870.0,872.95,833.0,840.5,840.0,871.1,16112,13681294.1,03-OCT-2022,2088,INE062D01024,
ALKALI,EQ,105.0,111.3,98.5,111.3,111.3,101.2,368715,40419158.35,03-OCT-2022,4763,INE773I01017,
ALKEM,EQ,3294.4,3326.4,3240.0,3270.9,3264.95,3277.2,95764,314807777.65,03-OCT-2022,9288,INE540L01014,
ALKYLAMINE,EQ,2883.3,2923.25,2870.0,2912.05,2895.1,2868.95,24685,71749341.15,03-OCT-2022,6294,INE150B01039,
ALLCARGO,EQ,413.0,419.7,391.4,402.15,404.0,412.0,848102,345901414.85,03-OCT-2022,23387,INE418H01029,
ALLSEC,EQ,503.0,523.0,490.0,498.25,494.1,515.5,8353,4180102.75,03-OCT-2022,835,INE835G01018,
ALMONDZ,EQ,82.3,83.85,81.05,81.95,81.2,82.9,4315,354838.1,03-OCT-2022,215,INE326B01027,
ALOKINDS,BE,18.25,18.25,17.85,17.95,18.0,18.05,1546065,27847687.5,03-OCT-2022,4028,INE270A01029,
ALPA,EQ,59.55,62.3,56.85,57.55,57.95,60.05,50208,2945416.4,03-OCT-2022,728,INE385I01010,
ALPHAGEO,EQ,291.5,296.3,284.05,285.5,285.05,291.5,5194,1502028.9,03-OCT-2022,460,INE137C01018,
ALPSINDUS,EQ,2.5,2.65,2.45,2.45,2.45,2.55,429089,1080278.0,03-OCT-2022,166,INE093B01015,
AMARAJABAT,EQ,490.0,493.0,479.15,481.3,483.5,491.0,300684,146034524.15,03-OCT-2022,10648,INE885A01032,
AMBER,EQ,2354.7,2399.9,2323.0,2372.95,2383.0,2363.7,82717,196826742.65,03-OCT-2022,10439,INE371P01015,
AMBICAAGAR,BE,31.75,31.75,30.75,30.8,30.75,31.75,7845,243905.35,03-OCT-2022,84,INE792B01012,
AMBIKCO,EQ,1625.1,1630.0,1565.1,1574.55,1574.15,1625.1,19338,30891908.55,03-OCT-2022,5821,INE540G01014,
AMBUJACEM,EQ,516.1,519.95,471.05,488.65,488.0,515.6,14296197,7118067586.05,03-OCT-2022,180294,INE079A01024,
AMDIND,BE,77.3,78.9,74.25,75.85,75.75,77.1,10510,800396.4,03-OCT-2022,145,INE005I01014,
AMIORG,EQ,912.0,930.95,894.0,896.35,899.0,912.0,71983,65434162.3,03-OCT-2022,5366,INE00FF01017,
AMJLAND,EQ,27.4,28.15,27.15,27.95,28.1,27.75,17117,478547.75,03-OCT-2022,214,INE606A01024,
AMRUTANJAN,EQ,718.9,727.95,711.85,721.4,720.25,714.8,10103,7281826.55,03-OCT-2022,1518,INE098F01031,
ANANDRATHI,EQ,662.55,664.75,658.0,659.15,660.35,656.0,17428,11515958.15,03-OCT-2022,971,INE463V01026,
ANANTRAJ,EQ,96.05,100.5,93.2,94.0,93.5,97.05,5016000,487557447.7,03-OCT-2022,23021,INE242C01024,
