SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
ABB,EQ,982.0,1017.0,976.2,983.4,981.25,979.5,398732,396801333.75,06-JUL-2020,21554,INE117A01022,
ABCAPITAL,EQ,66.0,66.7,65.15,65.65,65.6,65.6,1946205,128275103.65,06-JUL-2020,8290,INE674K01013,
ADANIENT,EQ,161.95,165.2,160.5,164.2,164.6,160.0,3515715,575358335.5,06-JUL-2020,24317,INE423A01024,
ADANIGREEN,EQ,394.55,394.55,362.25,394.55,394.55,375.8,5078968,1954627114.45,06-JUL-2020,70512,INE364U01010,
ADANIPORTS,EQ,365.1,366.0,356.1,359.45,361.75,360.4,3360577,1216121914.5,06-JUL-2020,40192,INE742F01042,
ADANIPOWER,EQ,35.9,36.5,35.8,35.9,35.95,35.9,4527779,163460556.35,06-JUL-2020,10960,INE814H01011,
ALKEM,EQ,2359.9,2363.0,2325.0,2333.6,2339.9,2350.8,138448,322723001.7,06-JUL-2020,10808,INE540L01014,
AMBER,EQ,1496.9,1531.2,1476.0,1495.3,1497.7,1481.55,41285,62238854.75,06-JUL-2020,6922,INE371P01015,
AMBUJACEM,EQ,197.75,198.0,193.35,193.9,193.9,195.8,2632304,514438717.65,06-JUL-2020,32718,INE079A01024,
APLAPOLLO,EQ,1780.1,1827.95,1745.0,1761.5,1769.8,1784.75,47214,84737222.55,06-JUL-2020,3877,INE702C01019,
APOLLOHOSP,EQ,1384.8,1412.85,1381.6,1410.05,1409.0,1379.8,684309,959406024.55,06-JUL-2020,28567,INE437A01024,
ASHOKLEY,EQ,49.8,52.0,49.45,51.75,52.0,49.1,58137129,2958038634.85,06-JUL-2020,120189,INE208A01029,
ASIANPAINT,EQ,1708.95,1712.0,1692.15,1708.85,1708.65,1695.65,1236745,2107637025.05,06-JUL-2020,56629,INE021A01026,
ASTRAL,EQ,997.9,997.9,965.0,975.0,970.0,981.55,75085,73942223.6,06-JUL-2020,5457,INE006I01046,
AUBANK,EQ,573.0,595.25,567.7,595.25,595.25,566.95,710784,416555521.4,06-JUL-2020,13805,INE949L01017,
AUROPHARMA,EQ,777.85,786.6,764.5,767.9,768.5,777.85,2204399,1695960503.1,06-JUL-2020,36134,INE406A01037,
AXISBANK,EQ,434.15,437.6,431.1,434.0,433.75,428.45,18425359,8006028768.35,06-JUL-2020,181904,INE238A01034,
BAJAJ-AUTO,EQ,2942.05,2946.0,2884.0,2897.1,2901.0,2932.4,1126391,3268163202.7,06-JUL-2020,54165,INE917I01010,
BAJAJFINSV,EQ,6217.0,6321.0,6161.0,6285.0,6272.0,6149.4,1220298,7627978436.5,06-JUL-2020,115445,INE918I01018,
BAJAJHLDNG,EQ,2565.0,2669.95,2565.0,2654.45,2663.0,2546.5,98296,258135014.65,06-JUL-2020,10408,INE118A01012,
BAJFINANCE,EQ,2970.0,3134.65,2955.0,3108.8,3121.0,2931.5,11437602,34750005479.25,06-JUL-2020,406997,INE296A01024,
BANDHANBNK,EQ,351.7,359.3,349.0,356.95,356.4,347.15,12831651,4547986992.85,06-JUL-2020,116870,INE545U01014,
BANKBARODA,EQ,51.0,52.0,50.9,51.45,51.35,50.75,28186246,1450564583.45,06-JUL-2020,54685,INE028A01039,
BANKINDIA,EQ,50.55,50.95,49.0,49.85,49.7,50.55,3417213,171688537.55,06-JUL-2020,9804,INE084A01016,
BDL,EQ,384.2,446.45,374.3,428.85,424.9,374.3,12559724,5238158432.3,06-JUL-2020,183599,INE171Z01018,
BEL,EQ,98.2,103.55,97.0,102.2,101.5,97.2,44028726,4393312939.05,06-JUL-2020,145729,INE263A01024,
BHARATFORG,EQ,360.1,370.0,353.75,368.35,369.75,358.8,4786462,1733999628.65,06-JUL-2020,54705,INE465A01025,
BHARTIARTL,EQ,587.6,589.3,575.05,576.6,575.9,581.45,15818188,9196796978.75,06-JUL-2020,215898,INE397D01024,
BHEL,EQ,39.05,44.4,38.8,43.55,43.4,38.65,253755560,10458336449.4,06-JUL-2020,291389,INE257A01026,
BIOCON,EQ,399.05,406.35,392.65,401.85,401.55,395.6,4992143,1995541241.0,06-JUL-2020,64385,INE376G01013,
BLUESTARCO,EQ,502.65,507.05,496.0,497.65,496.55,500.15,93050,46553991.4,06-JUL-2020,3721,INE472A01039,
BOSCHLTD,EQ,11849.9,12128.0,11780.0,12037.3,12040.0,11777.05,47140,565702035.05,06-JUL-2020,9612,INE323A01026,
BPCL,EQ,388.0,396.75,385.4,390.2,390.0,385.4,4963439,1948915419.7,06-JUL-2020,66616,INE029A01011,
BRITANNIA,EQ,3560.0,3646.0,3541.0,3624.45,3625.8,3538.35,538078,1936834186.0,06-JUL-2020,39680,INE216A01030,
BSE,EQ,475.0,488.45,472.1,481.4,480.05,469.85,294248,141096876.9,06-JUL-2020,6828,INE118H01025,
CANBK,EQ,104.1,105.65,103.4,104.9,104.7,103.0,14554223,1526005978.45,06-JUL-2020,53242,INE476A01014,
CDSL,EQ,285.0,288.75,281.25,285.5,285.2,283.65,649211,185287953.25,06-JUL-2020,8888,INE736A01011,
CGPOWER,EQ,10.25,10.25,9.35,10.25,10.25,9.8,16586669,165306279.4,06-JUL-2020,9421,INE067A01029,
CHOLAFIN,EQ,200.0,202.0,196.65,201.1,200.9,196.7,11027733,2198366197.65,06-JUL-2020,80982,INE121A01024,
