SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,UNNAMED: 11
ABB,EQ,707.95,723.95,695.65,713.55,712.0,701.25,394101,281482122.85,17-JUL-2009,
ADANIENT,EQ,812.0,824.4,801.05,806.1,810.0,803.3,128466,104056695.55,17-JUL-2009,
AMBUJACEM,EQ,97.0,99.4,96.8,98.1,98.15,97.8,3618144,354312520.65,17-JUL-2009,
APOLLOHOSP,EQ,547.0,560.0,540.0,552.35,560.0,545.4,12054,6647492.4,17-JUL-2009,
ASHOKLEY,EQ,31.85,34.45,31.8,34.0,33.6,31.65,7106759,236855423.05,17-JUL-2009,
ASIANPAINT,EQ,1190.0,1198.0,1183.0,1189.35,1183.0,1190.95,3818,4540862.75,17-JUL-2009,
ASTRAL,EQ,107.7,107.7,101.15,105.0,105.0,103.85,981,102587.6,17-JUL-2009,
AUROPHARMA,EQ,482.0,499.0,467.05,488.9,490.0,473.6,227911,111835775.75,17-JUL-2009,
AXISBANK,EQ,807.0,857.5,802.0,851.1,854.05,798.65,3553744,2972539064.75,17-JUL-2009,
BAJAJ-AUTO,EQ,1159.0,1205.0,1131.05,1153.6,1157.0,1147.3,234667,276920110.35,17-JUL-2009,
BAJAJFINSV,EQ,375.0,379.0,363.0,366.95,364.35,370.15,43221,16076920.75,17-JUL-2009,
BAJAJHLDNG,EQ,431.1,474.95,411.45,428.2,427.55,401.15,167113,71818231.5,17-JUL-2009,
BANKBARODA,EQ,409.7,419.4,400.95,413.1,412.05,401.55,621151,256115669.05,17-JUL-2009,
BANKINDIA,EQ,333.0,341.7,329.55,339.7,340.9,329.65,1265770,424938684.2,17-JUL-2009,
BEL,EQ,1419.9,1427.5,1385.15,1402.95,1414.5,1404.05,211850,297234409.0,17-JUL-2009,
BHARATFORG,EQ,147.85,151.9,145.15,148.25,148.5,145.85,204181,30358444.5,17-JUL-2009,
BHARTIARTL,EQ,788.1,836.0,788.1,826.25,831.95,784.85,4341890,3571001349.65,17-JUL-2009,
BHEL,EQ,2208.0,2238.4,2200.35,2227.2,2227.0,2200.45,698078,1551784467.15,17-JUL-2009,
BIOCON,EQ,217.0,220.75,207.05,208.8,210.0,215.4,630502,134979478.95,17-JUL-2009,
BLUESTARCO,EQ,333.0,337.0,329.0,330.5,332.0,333.1,31424,10478240.2,17-JUL-2009,
BOSCHLTD,EQ,3420.1,3465.0,3414.85,3423.1,3420.0,3411.8,2025,6967366.6,17-JUL-2009,
BPCL,EQ,460.0,463.5,448.2,459.35,463.0,459.25,379499,173640055.35,17-JUL-2009,
BRITANNIA,EQ,1580.0,1599.9,1580.0,1585.2,1581.0,1583.75,379,601606.25,17-JUL-2009,
CANBK,EQ,255.0,275.9,253.2,273.55,275.45,254.1,1260539,333630323.45,17-JUL-2009,
CIPLA,EQ,278.0,282.0,277.1,279.55,280.0,276.35,1631171,456395699.15,17-JUL-2009,
COLPAL,EQ,638.9,652.0,632.1,644.15,645.0,629.1,512904,329268305.75,17-JUL-2009,
CONCOR,EQ,954.95,975.0,950.0,965.05,970.0,945.0,30831,29777264.6,17-JUL-2009,
CUMMINSIND,EQ,254.0,260.8,249.35,250.6,251.9,252.85,398626,102019946.55,17-JUL-2009,
DABUR,EQ,133.9,133.9,131.4,132.0,131.55,132.05,244057,32214716.15,17-JUL-2009,
DIVISLAB,EQ,1062.0,1094.5,1045.3,1059.9,1065.0,1058.05,72586,77650933.1,17-JUL-2009,
DLF,EQ,320.0,337.85,320.0,332.65,337.6,316.75,13560545,4483807548.9,17-JUL-2009,
DRREDDY,EQ,761.0,776.9,750.0,768.6,773.0,755.35,137363,105541165.15,17-JUL-2009,
EICHERMOT,EQ,325.4,334.5,323.5,330.2,330.1,326.6,13797,4536355.15,17-JUL-2009,
FEDERALBNK,EQ,232.0,234.5,230.0,231.45,231.5,230.05,161427,37409312.55,17-JUL-2009,
FORTIS,EQ,85.7,94.0,84.4,92.65,93.4,84.4,837493,75283081.45,17-JUL-2009,
GAIL,EQ,341.4,344.7,331.1,336.3,338.4,338.55,1860816,626715479.25,17-JUL-2009,
GLENMARK,EQ,225.0,238.75,225.0,230.8,231.8,222.4,1222661,284771468.65,17-JUL-2009,
GODFRYPHLP,EQ,1311.0,1390.0,1301.3,1373.7,1385.0,1331.85,4847,6607790.3,17-JUL-2009,
GODREJCP,EQ,172.4,177.95,171.5,174.9,174.45,172.4,37450,6569833.25,17-JUL-2009,
GRASIM,EQ,2608.6,2749.0,2598.0,2700.0,2744.0,2608.6,207189,552946707.55,17-JUL-2009,
HAVELLS,EQ,266.15,284.9,266.15,280.95,280.95,276.2,49152,13809181.35,17-JUL-2009,
HCLTECH,EQ,198.0,218.8,195.1,215.45,216.9,194.25,2096998,436566404.35,17-JUL-2009,
HDFCBANK,EQ,1390.0,1448.85,1374.05,1436.65,1427.1,1390.45,1248867,1766392023.65,17-JUL-2009,
HINDALCO,EQ,80.2,85.2,79.7,84.3,84.25,79.2,7840029,646300132.25,17-JUL-2009,
HINDPETRO,EQ,322.0,330.0,318.0,324.4,327.5,322.05,731616,236546408.1,17-JUL-2009,
HINDUNILVR,EQ,268.45,269.35,264.65,266.75,267.6,266.2,3497017,930932720.35,17-JUL-2009,
HINDZINC,EQ,620.0,632.0,616.65,621.8,624.0,614.55,65913,41186171.05,17-JUL-2009,
ICICIBANK,EQ,701.1,748.5,701.1,742.85,748.0,693.85,10057555,7353604234.35,17-JUL-2009,
IDEA,EQ,73.8,74.5,72.1,73.95,74.15,71.55,4669798,342534868.9,17-JUL-2009,
INDHOTEL,EQ,60.45,62.6,59.7,62.05,62.25,60.1,1904375,117231476.55,17-JUL-2009,
INDIANB,EQ,130.0,132.0,128.5,129.75,129.8,128.0,191283,24894601.4,17-JUL-2009,
INDUSINDBK,EQ,86.25,89.5,86.05,87.55,87.3,85.6,1603226,140605790.25,17-JUL-2009,
IOC,EQ,548.0,569.8,539.0,553.35,556.0,540.1,290081,158374829.45,17-JUL-2009,
ITC,EQ,219.8,232.0,215.9,229.25,230.7,217.35,7456132,1678781333.35,17-JUL-2009,
JINDALSTEL,EQ,2620.9,2679.0,2603.1,2622.4,2620.0,2587.95,649771,1716088713.15,17-JUL-2009,
JSWSTEEL,EQ,586.1,607.7,572.35,600.3,600.0,579.65,2804230,1657555150.55,17-JUL-2009,
KEI,BE,24.95,25.25,24.0,25.1,25.25,24.05,94504,2372187.65,17-JUL-2009,
KOTAKBANK,EQ,623.0,648.65,623.0,641.7,644.7,622.45,1035989,661889692.0,17-JUL-2009,
LICHSGFIN,EQ,616.7,628.0,613.2,622.3,623.5,609.95,654123,407118663.85,17-JUL-2009,
LT,EQ,1380.0,1431.9,1380.0,1419.45,1425.0,1379.1,2932725,4141164448.3,17-JUL-2009,
LUPIN,EQ,893.85,940.0,893.0,902.45,902.0,890.55,301159,277131609.7,17-JUL-2009,
M&M,EQ,727.0,790.0,727.0,778.05,786.0,720.55,1563006,1194352833.25,17-JUL-2009,
MARICO,EQ,81.0,81.5,77.5,78.55,78.5,80.7,221549,17518524.15,17-JUL-2009,
MARUTI,EQ,1159.0,1193.65,1148.0,1181.45,1192.0,1142.0,1156812,1358732529.3,17-JUL-2009,
MOTILALOFS,EQ,147.3,152.0,147.0,149.35,150.0,146.65,33484,4986435.05,17-JUL-2009,
MPHASIS,EQ,369.0,398.0,368.1,385.4,390.5,365.95,1412440,543527142.2,17-JUL-2009,
NATIONALUM,EQ,283.4,293.9,283.4,290.9,292.85,281.55,261301,75689460.55,17-JUL-2009,
