SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
ABB,EQ,1458.0,1475.0,1450.0,1451.45,1450.5,1458.0,6354,9240123.3,10-JUL-2017,466,INE117A01022
ADANIENT,EQ,138.9,138.9,131.2,134.85,134.45,134.2,619714,83722137.15,10-JUL-2017,3776,INE423A01024
ADANIPORTS,EQ,382.7,382.7,371.9,374.95,374.0,371.6,860478,322493143.2,10-JUL-2017,8328,INE742F01042
ADANIPOWER,EQ,30.0,30.0,28.0,29.8,29.7,28.4,3846095,113973589.45,10-JUL-2017,6333,INE814H01011
ALKEM,EQ,1810.5,1848.1,1810.5,1835.95,1833.0,1821.55,5213,9579874.9,10-JUL-2017,807,INE540L01014
AMBUJACEM,EQ,253.0,255.3,230.75,254.4,254.6,253.45,180006,45419056.5,10-JUL-2017,1775,INE079A01024
APLAPOLLO,EQ,1610.0,1683.0,1430.5,1600.6,1598.15,1597.95,3466,5541625.45,10-JUL-2017,172,INE702C01019
APOLLOHOSP,EQ,1255.0,1260.0,1240.1,1248.85,1250.95,1247.6,48177,60187735.75,10-JUL-2017,2556,INE437A01024
ASHOKLEY,EQ,107.0,107.0,100.0,105.15,105.4,103.9,2496489,261973356.45,10-JUL-2017,10108,INE208A01029
ASIANPAINT,EQ,1215.45,1215.45,1075.0,1127.75,1127.0,1115.45,70602,79593495.9,10-JUL-2017,2627,INE021A01026
ASTRAL,EQ,690.0,765.0,670.0,676.4,676.6,680.15,14166,9661581.2,10-JUL-2017,263,INE006I01046
AUBANK,EQ,530.0,547.0,523.7,541.65,536.75,525.0,10585689,5675821262.65,10-JUL-2017,99367,INE949L01017
AUROPHARMA,EQ,702.0,712.0,690.0,709.4,711.9,697.05,606940,429899654.6,10-JUL-2017,10801,INE406A01037
AXISBANK,EQ,521.0,529.75,488.4,509.95,510.0,503.15,1245716,635914884.6,10-JUL-2017,7548,INE238A01034
BAJAJ-AUTO,EQ,2844.0,2844.0,2700.0,2730.65,2731.0,2708.25,20831,56857642.95,10-JUL-2017,1050,INE917I01010
BAJAJFINSV,EQ,4116.1,4145.3,4090.7,4103.0,4090.7,4115.9,17464,71805556.25,10-JUL-2017,1153,INE918I01018
BAJAJHLDNG,EQ,1750.0,2158.0,1750.0,2127.1,2120.2,2135.3,814,1720056.25,10-JUL-2017,161,INE118A01012
BAJFINANCE,EQ,1451.55,1451.55,1395.0,1412.8,1411.55,1391.7,150018,211560811.05,10-JUL-2017,3910,INE296A01024
BANKBARODA,EQ,166.0,167.5,154.4,166.6,166.6,160.55,6073542,1010783793.85,10-JUL-2017,25944,INE028A01039
BANKINDIA,EQ,155.0,155.0,141.9,149.2,149.25,141.2,1912180,283048725.75,10-JUL-2017,8736,INE084A01016
BEL,EQ,172.0,174.15,166.35,172.7,172.9,170.2,697237,120369270.15,10-JUL-2017,6384,INE263A01024
BHARATFORG,EQ,1090.0,1130.0,1075.0,1120.5,1115.0,1120.85,83120,93057004.75,10-JUL-2017,2092,INE465A01025
BHARTIARTL,EQ,388.1,410.15,363.8,405.7,405.0,385.9,1901518,768356181.1,10-JUL-2017,14555,INE397D01024
BHEL,EQ,137.85,138.6,127.0,137.65,137.5,135.0,984995,135639269.3,10-JUL-2017,5727,INE257A01026
BIOCON,EQ,370.0,370.0,303.5,322.05,321.9,336.85,590777,190626214.85,10-JUL-2017,11253,INE376G01013
BLUESTARCO,EQ,605.0,669.3,600.0,604.9,600.0,602.95,4115,2497163.0,10-JUL-2017,193,INE472A01039
BOSCHLTD,EQ,23600.0,23999.0,23500.0,23890.0,23950.0,23585.3,5755,137044095.55,10-JUL-2017,1859,INE323A01026
BPCL,EQ,645.2,691.2,645.2,664.65,663.7,663.95,489540,326648373.15,10-JUL-2017,5810,INE029A01011
BRITANNIA,EQ,3710.45,3748.8,3698.0,3715.95,3712.2,3692.35,17112,63573491.35,10-JUL-2017,1157,INE216A01022
BSE,EQ,1161.05,1161.05,1063.9,1085.1,1081.35,1066.9,102668,111955604.6,10-JUL-2017,3898,INE118H01025
CANBK,EQ,334.7,362.6,334.7,361.55,362.6,346.0,902687,324323417.25,10-JUL-2017,9109,INE476A01014
CDSL,EQ,355.0,366.0,325.0,354.15,355.0,331.15,8928724,3159076813.85,10-JUL-2017,94184,INE736A01011
CGPOWER,EQ,83.0,84.0,82.75,83.1,82.9,82.8,191920,15994621.35,10-JUL-2017,1214,INE067A01029
CHOLAFIN,EQ,1137.5,1150.0,1121.0,1130.55,1126.9,1138.5,34152,38651008.45,10-JUL-2017,1647,INE121A01016
CIPLA,EQ,550.0,560.0,546.0,549.2,548.75,547.15,123415,67834518.9,10-JUL-2017,1963,INE059A01026
COALINDIA,EQ,255.0,259.35,250.0,258.8,258.3,251.1,719435,185459195.55,10-JUL-2017,7497,INE522F01014
COLPAL,EQ,1090.0,1103.7,1055.1,1094.4,1096.1,1088.7,72426,79217669.2,10-JUL-2017,2002,INE259A01022
CONCOR,EQ,1200.0,1206.5,1181.5,1200.25,1200.0,1183.75,62012,74392338.5,10-JUL-2017,1881,INE111A01017
CROMPTON,EQ,225.25,227.5,223.1,224.85,223.55,226.7,35950,8084447.85,10-JUL-2017,396,INE299U01018
CUMMINSIND,EQ,875.0,918.0,875.0,912.55,913.9,909.35,44508,40644276.8,10-JUL-2017,710,INE298A01020
DABUR,EQ,303.7,304.65,300.0,303.85,304.0,301.85,89139,27051979.1,10-JUL-2017,1379,INE016A01026
DIVISLAB,EQ,705.0,748.0,657.6,735.4,733.15,680.0,1283748,943189934.15,10-JUL-2017,27127,INE361B01024
DLF,EQ,203.0,206.4,200.0,203.15,201.9,202.25,3203008,653830819.95,10-JUL-2017,13009,INE271C01023
DMART,EQ,940.2,944.0,890.0,934.6,942.2,895.45,646394,599822541.9,10-JUL-2017,13896,INE192R01011
DRREDDY,EQ,2733.3,2745.5,2698.0,2726.2,2722.0,2705.4,40393,110400852.95,10-JUL-2017,2475,INE089A01023
EICHERMOT,EQ,28113.85,28200.0,27695.0,27931.3,27901.1,27852.25,4136,115367414.8,10-JUL-2017,1455,INE066A01013
FEDERALBNK,EQ,118.0,118.0,113.85,114.5,115.0,115.9,2826576,324954172.55,10-JUL-2017,7576,INE171A01029
FORTIS,EQ,174.0,174.7,158.75,162.55,162.5,158.85,825741,134579146.05,10-JUL-2017,6128,INE061F01013
GAIL,EQ,369.0,393.3,327.6,366.0,366.0,358.95,264486,96502306.8,10-JUL-2017,4259,INE129A01019
GLENMARK,EQ,671.55,680.0,665.0,677.3,678.0,665.25,262108,177126479.8,10-JUL-2017,5480,INE935A01035
GODFRYPHLP,EQ,1251.0,1265.0,1240.0,1247.15,1250.95,1250.3,25260,31690575.7,10-JUL-2017,1189,INE260B01028
GODREJCP,EQ,980.0,985.0,952.0,974.65,974.95,971.0,61538,60005810.35,10-JUL-2017,3552,INE102D01028
GODREJPROP,EQ,517.0,522.0,515.4,518.35,517.8,516.25,18773,9733151.05,10-JUL-2017,441,INE484J01027
GRASIM,EQ,1307.1,1375.0,1242.6,1255.45,1252.8,1250.85,331341,416003301.65,10-JUL-2017,8926,INE047A01021
HAVELLS,EQ,470.55,479.9,469.15,474.5,474.0,469.05,83424,39506589.65,10-JUL-2017,1995,INE176B01034
HCLTECH,EQ,834.0,856.85,830.1,849.65,848.55,831.9,234294,198361677.0,10-JUL-2017,4274,INE860A01027
HDFCBANK,EQ,1670.7,1748.0,1661.05,1676.35,1674.0,1667.2,334769,560535368.7,10-JUL-2017,6377,INE040A01026
HEROMOTOCO,EQ,3699.55,3740.0,3687.0,3731.0,3725.2,3681.65,43195,160888828.4,10-JUL-2017,3510,INE158A01026
HINDALCO,EQ,199.0,205.15,182.6,195.8,196.25,194.9,3395722,666108165.75,10-JUL-2017,8618,INE038A01020
HINDPETRO,EQ,513.95,529.8,487.35,512.6,512.4,501.45,1003509,513137951.15,10-JUL-2017,7627,INE094A01015
HINDUNILVR,EQ,1150.0,1150.0,1090.0,1096.25,1096.0,1097.7,155828,171193942.25,10-JUL-2017,4583,INE030A01027
HINDZINC,EQ,269.05,269.9,266.55,268.55,269.3,267.3,406830,109306583.95,10-JUL-2017,4227,INE267A01025
ICICIBANK,EQ,305.15,305.15,286.15,291.45,291.9,289.7,1371383,399911897.95,10-JUL-2017,12669,INE090A01021
ICICIPRULI,EQ,500.0,500.0,477.0,484.2,484.8,482.85,122902,59725179.35,10-JUL-2017,1758,INE726G01019
IDEA,EQ,85.0,91.65,79.6,87.2,87.05,83.35,6257489,542988182.3,10-JUL-2017,13364,INE669E01016
INDHOTEL,EQ,127.9,128.35,126.65,127.4,127.7,127.25,40997,5225315.75,10-JUL-2017,415,INE053A01029
INDIANB,EQ,314.05,329.0,293.05,307.0,307.0,299.1,416733,127985982.35,10-JUL-2017,6889,INE562A01011
INDIGO,EQ,1268.0,1268.55,1218.6,1239.2,1239.5,1247.6,77479,96423395.6,10-JUL-2017,4296,INE646L01027
INDUSINDBK,EQ,1541.55,1564.95,1503.5,1560.35,1554.0,1526.3,260961,404551996.4,10-JUL-2017,7001,INE095A01012
INFY,EQ,945.0,1028.9,888.65,957.05,953.3,935.4,847546,808125207.5,10-JUL-2017,17862,INE009A01021
INOXWIND,EQ,144.7,148.0,144.45,146.05,146.0,144.45,37782,5530924.0,10-JUL-2017,464,INE066P01011
IOC,EQ,387.0,390.15,379.5,383.45,383.8,382.25,410854,158019409.9,10-JUL-2017,4093,INE242A01010
ITC,EQ,341.0,367.7,324.3,333.3,333.0,334.3,1427399,475960047.05,10-JUL-2017,11885,INE154A01025
JINDALSTEL,EQ,136.0,136.0,131.45,134.45,134.2,132.15,1971807,264572458.2,10-JUL-2017,11769,INE749A01030
JSWENERGY,EQ,64.55,66.0,64.05,64.35,64.25,64.15,1511654,97597516.25,10-JUL-2017,4062,INE121E01018
JSWSTEEL,EQ,220.0,220.55,200.0,218.05,217.7,216.1,1299870,283801081.0,10-JUL-2017,8061,INE019A01038
JUBLFOOD,EQ,1134.0,1134.0,1099.9,1112.0,1115.0,1093.35,129919,144380289.1,10-JUL-2017,5133,INE797F01012
KEI,EQ,230.7,263.8,229.4,234.95,234.5,229.35,46276,10890127.15,10-JUL-2017,816,INE878B01027
KOTAKBANK,EQ,964.0,972.8,960.0,968.0,962.65,964.7,354368,343174446.05,10-JUL-2017,5417,INE237A01028
LAURUSLABS,EQ,617.5,640.0,608.1,617.4,616.3,619.9,10047,6219431.1,10-JUL-2017,334,INE947Q01010
LICHSGFIN,EQ,763.45,763.45,740.0,743.2,743.2,741.25,201435,149979190.65,10-JUL-2017,3124,INE115A01026
LT,EQ,1720.1,1739.0,1675.0,1732.15,1734.7,1704.4,216490,374523153.1,10-JUL-2017,6451,INE018A01030
LUPIN,EQ,1150.8,1229.0,1082.7,1148.85,1150.0,1117.3,518323,595756960.2,10-JUL-2017,11790,INE326A01037
