SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,UNNAMED: 13
20MICRONS,EQ,118.8,119.8,116.0,116.6,116.05,118.1,208695,24530085.05,16-AUG-2012,2887,INE144J01019,
3IINFOTECH,BE,9.45,9.45,8.85,8.9,8.95,9.25,917114,8242908.5,16-AUG-2012,2972,INE748C01020,
3MINDIA,EQ,3949.0,3949.0,3870.05,3897.75,3870.05,3907.5,137,534287.5,16-AUG-2012,39,INE470A01017,
A2ZMES,EQ,79.0,80.7,77.6,78.1,78.4,78.85,314154,24833677.65,16-AUG-2012,8137,INE619I01012,
AANJANEYA,EQ,621.95,665.75,620.0,641.85,642.0,618.9,171122,111616645.75,16-AUG-2012,8209,INE928K01013,
AARTIDRUGS,EQ,143.55,143.55,138.8,141.05,142.5,143.2,8519,1202581.15,16-AUG-2012,331,INE767A01016,
AARTIIND,EQ,71.0,73.55,68.55,72.5,72.55,70.95,22202,1587446.05,16-AUG-2012,300,INE769A01020,
AARVEEDEN,EQ,39.95,43.2,39.95,42.6,43.2,39.95,14664,620435.65,16-AUG-2012,530,INE273D01019,
ABAN,EQ,414.2,414.2,401.0,404.85,404.5,410.55,426644,173582906.85,16-AUG-2012,10792,INE421A01028,
ABB,EQ,778.05,783.35,764.0,767.95,768.1,777.1,45707,35446318.85,16-AUG-2012,2827,INE117A01022,
ABBOTINDIA,EQ,1560.0,1585.0,1545.0,1571.0,1572.25,1557.0,3030,4742974.0,16-AUG-2012,235,INE358A01014,
ABCIL,EQ,81.0,81.7,76.4,80.8,80.85,81.7,8413,676806.4,16-AUG-2012,294,INE605B01016,
ABGSHIP,EQ,354.35,360.45,353.5,356.7,357.4,356.05,15328,5472438.8,16-AUG-2012,530,INE067H01016,
ABHISHEK,EQ,7.35,7.35,7.0,7.05,7.3,7.05,2513,18277.9,16-AUG-2012,15,INE004I01017,
ABIRLANUVO,EQ,777.25,810.0,771.6,804.55,804.45,774.7,259938,207488587.5,16-AUG-2012,14649,INE069A01017,
ACC,EQ,1356.0,1358.05,1335.1,1338.45,1336.0,1354.7,124774,167828944.15,16-AUG-2012,9414,INE012A01025,
ACE,EQ,24.2,24.5,24.0,24.05,24.0,24.05,24926,602898.55,16-AUG-2012,189,INE731H01025,
ACROPETAL,EQ,13.9,14.2,13.85,14.0,14.0,13.6,119934,1685212.55,16-AUG-2012,518,INE055L01013,
ADANIENT,EQ,192.0,195.3,189.7,191.0,190.45,191.8,2965497,573148018.85,16-AUG-2012,33270,INE423A01024,
ADANIPORTS,EQ,128.3,130.4,125.15,127.15,128.5,128.15,1322874,169177231.05,16-AUG-2012,22256,INE742F01042,
ADANIPOWER,EQ,43.4,44.15,42.85,43.5,43.45,43.2,1284794,56139145.55,16-AUG-2012,6125,INE814H01011,
ADFFOODS,EQ,47.9,50.0,47.7,48.95,49.2,46.6,7658,375693.1,16-AUG-2012,175,INE982B01019,
ADHUNIK,EQ,29.1,29.25,28.25,28.5,28.25,28.75,31674,911594.75,16-AUG-2012,430,INE400H01019,
